Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/billId;billId;Informação que identifica a fatura;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;3459087XXZTR
/data/dueDate;dueDate;Data de vencimento da Fatura, que aparece para pagamento pelo cliente;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21
/data/billTotalAmount;billTotalAmount;Valor total da fatura;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;number;100000.04
/data/billTotalAmountCurrency;billTotalAmountCurrency;Moeda referente ao valor de pagamento total da fatura, segundo modelo ISO-4217. p.ex. 'BRL' Todos os valores informados estão representados com a moeda vigente do Brasil;Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/billMinimumAmount;billMinimumAmount;Valor do pagamento minimo da fatura;Número;19;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;number;1000.04
/data/billMinimumAmountCurrency;billMinimumAmountCurrency;Moeda referente ao valor de pagamento minimo da fatura, segundo modelo ISO-4217. p.ex. 'BRL' Todos os valores informados estão representados com a moeda vigente do Brasil;Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/isInstalment;isInstalment;Indica se a fatura permite parcelamento (true) ou não (false).;Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;false
/data/financeCharges;financeCharges;Lista dos encargos cobrados na fatura;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/financeCharges/type;type;"Traz a denominação dos Encargos que
incidem na fatura da conta de pagamento pós-paga. (Vide Enum)
- Juros remuneratórios por atraso no pagamento da fatura
- Multa por atraso no pagamento da fatura
- Juros de mora por atraso no pagamento da fatura
- IOF
- Sem Encargo
- Outros";Texto;44;Obrigatório;;"JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA 
MULTA_ATRASO_PAGAMENTO_FATURA 
JUROS_MORA_ATRASO_PAGAMENTO_FATURA 
IOF 
SEM_ENCARGO 
OUTROS";1;1;"";Não permitido;string;
/data/financeCharges/additionalInfo;additionalInfo;Campo livre, de preenchimento obrigatório se selecionado tipo de encargo 'OUTROS';Texto;140;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;Informações Adicionais
/data/financeCharges/amount;amount;Valor cobrado pelo encargo. Expresso em valor monetário com 4 casas decimais;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.04
/data/financeCharges/currency;currency;"Moeda referente ao valor cobrado pelo encargo, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/payments;payments;Lista que traz os valores relativos aos pagamentos da Fatura da conta de pagamento pós-paga;Lista;;Obrigatório;;;0;N;"";Não permitido;array;
/data/payments/valueType;valueType;"Traz os tipos dos valores relativos aos pagamentos da fatura da conta de pagamento pós-paga: (Vide Enum)
 - Valor de pagamento da fatura com parcelamento
 - Valor pagamento da fatura realizado
 - Outro Valor pago na fatura";Texto;32;Obrigatório;;"VALOR_PAGAMENTO_FATURA_PARCELADO 
VALOR_PAGAMENTO_FATURA_REALIZADO 
OUTRO_VALOR_PAGO_FATURA";1;1;"";Não permitido;string;
/data/payments/paymentDate;paymentDate;Data efetiva de quando o Pagamento da fatura foi realizado;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21
/data/payments/paymentMode;paymentMode;"Traz as formas de efetivação do pagamento realizado: (Vide Enum)
- Débito em conta corrente
- Boleto bancário
- Averbação em folha
- PIX";Texto;21;Obrigatório;;"DEBITO_CONTA_CORRENTE 
BOLETO_BANCARIO 
AVERBACAO_FOLHA 
PIX";1;1;"";Não permitido;string;
/data/payments/amount;amount;Valor pagamento segundo o valueType.  Expresso em valor monetário com 4 casas decimais;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;number;100000.04
/data/payments/currency;currency;Moeda referente ao valor de pagamento da fatura, segundo modelo ISO-4217. p.ex. 'BRL' Todos os valores informados estão representados com a moeda vigente do Brasil;Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
