Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
GET /accounts/{creditCardAccountId}/bills;;Método para obter a lista de faturas da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;;;;;;;;;;
data/;;Conjunto das informações referentes a lista de faturas associadas à conta de pagamento pós-paga;Lista;;;;;;;;;
data/billId;billId;Informação que identifica a fatura;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;;;;;String
data/dueDate;dueDate;"Data de vencimento da Fatura, que 
aparece para pagamento pelo cliente";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;String
data/billTotalAmount;billTotalAmount;Valor total da fatura;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;Não há restrição;;Double
data/billTotalAmountCurrency;billTotalAmountCurrency;"Moeda referente ao valor de pagamento total da fatura, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;Não há restrição;;String
data/billMinimumAmount;billMinimumAmount;Valor do pagamento minimo da fatura;Número;19;Obrigatório;;;1;1;Não há restrição;;Double
data/billMinimumAmountCurrency;billMinimumAmountCurrency;"Moeda referente ao valor de pagamento minimo da fatura, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;Não há restrição;;String
data/isInstalment;isInstalment;Indica se a fatura permite parcelamento (true) ou não (false).  ;Booleano;;Obrigatório;;"true
false";1;1;Não há restrição;;Boolean
data/financeCharges/;;Lista dos encargos cobrados na fatura;Lista;;Obrigatório;;;1;N;;;Lista
data/financeCharges/type;type;"Traz a denominação dos Encargos que 
incidem na fatura da conta de pagamento pós-paga. (Vide Enum)
- Juros remuneratórios por atraso no pagamento da fatura
- Multa por atraso no pagamento da fatura
- Juros de mora por atraso no pagamento da fatura
- IOF
- Sem Encargo
- Outros";Texto;44;Obrigatório;;"JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA
MULTA_ATRASO_PAGAMENTO_FATURA
JUROS_MORA_ATRASO_PAGAMENTO_FATURA
IOF
SEM_ENCARGO
OUTROS";1;1;Não há restrição;;String
data/financeCharges/additionalInfo;additionalInfo;"Campo livre, de preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'";Texto;140;Condicional;\w*\W*;;0;1;"Preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'";;String
data/financeCharges/amount;amount;"Valor cobrado pelo encargo. Expresso em
valor monetário com 4 casas decimais";Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;Não há restrição;aceita nulo;Double
data/financeCharges/currency;currency;"Moeda referente ao valor dos encargos da fatura da conta de pagamento pós-paga, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;Não há restrição;;String
data/payments/;;"Lista que traz os valores relativos aos 
pagamentos da Fatura da conta de 
pagamento pós-paga";Lista;;Obrigatório;;;1;N;;;Lista
data/payments/valueType;valueType;"Traz os tipos dos valores relativos aos pagamentos da fatura da conta de pagamento pós-paga: (Vide Enum)
- Valor de pagamento da fatura com parcelamento
- Valor pagamento da fatura realizado
- Outro Valor pago na fatura";Texto;32;Obrigatório;;"VALOR_PAGAMENTO_FATURA_PARCELADO
VALOR_PAGAMENTO_FATURA_REALIZADO
OUTRO_VALOR_PAGO_FATURA";1;1;Não há restrição;;Enum
data/payments/paymentDate;paymentDate;"Data efetiva de quando o Pagamento 
da fatura foi realizado ";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;String
data/payments/paymentMode;paymentMode;"Traz as formas de efetivação do 
pagamento realizado: (Vide Enum)
- Débito em conta corrente
- Boleto bancário
- Averbação em folha
- PIX";Texto;21;Obrigatório;;"DEBITO_CONTA_CORRENTE 
BOLETO_BANCARIO 
AVERBACAO_FOLHA 
PIX";1;1;Não há restrição;;Enum
data/payments/amount;amount;Valor pagamento segundo o valueType.  Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;;;1;1;Não há restrição;;Double
data/payments/currency;currency;"Moeda referente ao valor de pagamento da fatura, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;Não há restrição;;String
