;;brand;;;;;;;;;;;;;
; ; ;companies;;;;;;;;;;;;
; ; ; ; ;businessCustomers;;;;;;;;;;
; ; ; ; ;qualification;;;;;;;;;;
; ; ; ; ; ; ;economicActivities;;informedRevenue;;;;informedPatrimony;;
;Exemplo;name;name;cnpjNumber;requestDateTime;updateDateTime;code;isMain;frequency;amount;currency;year;amount;currency;year
;1; 'Organização A'; 'Empresa A' ;21128159000166';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';8599604';true';DIARIA;500.00';BRL';2020';200000.00';BRL';2020'
;; ; ; ; ; ;'6204000' ;'false'; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;2; 'Organização A1'; 'Empresa A1' ;30817625000101';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';5320202';true';SEMANAL;2500.00';BRL';2020';30000.00';BRL';2019'
;; ; ; ; ; ;'6621502';'false'; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;3; 'Organização B'; 'Empresa B' ;22034751000161';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';4781400';true';QUINZENAL;5000.00';BRL';2020';150000.00';BRL';2018'
;; ; ; ; ; ; 2539001; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;4; 'Organização B1'; 'Empresa B1' ;22735911000108';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';8599604';true';MENSAL;10000.00';BRL';2020';297000.00';BRL';2020'
;;;;;;;;;;;;;;;
;5; 'Organização C'; 'Empresa C' ;79424399000198';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';5320202';true';BIMESTRAL;20000.00';BRL';2020';258300.00';BRL';2019'
;;;;;;;;;;;;;;;
;6; 'Organização C1'; 'Empresa C1' ;60030188000142';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';4781400';true';TRIMESTRAL;60000.00';BRL';2020';457000.00';BRL';2018'
;;;;;;;;;;;;;;;
;7; 'Organização D'; 'Empresa D' ;68005525000153';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';8599604';true';SEMESTRAL;120000.00';BRL';2020';392000.00';BRL';2020'
;;;;;;;;;;;;;;;
;8; 'Organização D1'; 'Empresa D1' ;69677545000133';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';5320202';true';ANUAL;240000.00';BRL';2020';355000.00';BRL';2019'
;;;;;;;;;;;;;;;
;9; 'Organização E'; 'Empresa E ' ;06437130000172';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';4781400';true';DIARIA;759.00';BRL';2020';654100.00';BRL';2018'
;;;;;;;;;;;;;;;
;10; 'Organização E1'; 'Empresa E1' ;59854754000151';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';4781400';true';DIARIA;964.00';BRL';2020';329000.00';BRL';2020'
