;loans;;;;;;;;;;;;;;;;
;payments;;;;;;;;;;;;;;;;
; ; ; ; ;releases;;;;chargesOverParcel;;;;taxesOverParcel;;;;
;requestDateTime;"paid
Instalments";currency;"contract
OutstandingBalance";paymentId;InstalmentId;paidDate;paidAmount;feeName;feeCode;feePaidDate;feeAmount;taxType;taxAdditionalInfo;taxPaidDate;taxAmount;
1;2020-01-05T08:30:00Z';73';BRL';11400.00';Parcela regular;15;2020-01-10';200.00';reavaliação periódica do bem;aval_bem;2020-01-10';200.00';JUROS_MORA_ATRASO; ;2020-01-10';200.00';
; ; ; ; ;Amortização;NA;2020-01-10';80.00'; ; ; ; ; ; ; ; ;
;;;;;;;;;;;;;;;;;
2;2020-01-05T08:30:00Z';36';BRL';0.00';NA;NA;NA;NA;NA;NA;NA;NA;NA; ;NA;NA;
;;;;;;;;;;;;;;;;;
3;2020-01-05T08:30:00Z';36';BRL';0.00';Amortização;NA;2020-01-10';200.00';NA;NA;NA;NA;NA; ;NA;NA;
;;;;;;;;;;;;;;;;;
4;2020-01-05T08:30:00Z';108';BRL';84000.00';parcela;24 de 60;2020-01-10';200.00';NA;NA;NA;NA;NA; ;NA;NA;
;;;;;;;;;;;;;;;;;
5;2020-01-05T08:30:00Z';60';BRL';95400.00';NA;NA;NA;NA;NA;NA;NA;NA;MULTA_MORA_ATRASO; ;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;
6;2020-01-05T08:30:00Z';12';BRL';15000.00';NA;NA;NA;NA;NA;NA;NA;NA;IOF_CONTRATACAO; ;2020-01-10';10.00';
;;;;;;;;;;;;;;;;;
7;2020-01-05T08:30:00Z';10';BRL';25000.00';PARCELA;8 regular;2020-01-10';200.00';NA;NA;NA;NA;MULTA_ATRASO_PAGAMENTO; ;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;
8;2020-01-05T08:30:00Z';3';BRL';21058.00';Parcela;xpto;2020-01-10';200.00';NA;NA;NA;NA;JUROS_MORA_ATRASO; ;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;
9;2020-01-05T08:30:00Z';108';BRL';84000.00';Amortização;parcela única ADF;2020-01-10';200.00';NA;NA;NA;NA;IOF_CONTRATACAO; ;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;
10;2020-01-05T08:30:00Z';60';BRL';0.00';NA;NA;NA;NA;NA;NA;NA;NA;JUROS_REMUNERATORIOS_POR_ATRASO; ;2020-01-10';200.00';
