;unarrangedAccountOverdraft - list - contracts;;;;;;;
;;;;;;;;
;brandName;companyCnpj;productType;productSubType;ipocCode;contractId;;
1;Organização A+B4:G5;60500998000144;ADIANTAMENTO_A_DEPOSITANTES;ADIANTAMENTO_A_DEPOSITANTES;92792126019929279212650822221989319252576;xcjklompowsa279212650822221989319aadrtjk;;
;Organização A;60876988000199;ADIANTAMENTO_A_DEPOSITANTES;ADIANTAMENTO_A_DEPOSITANTES;29533208100122953320866597501618419473449;29533208100122953320866597501618419473449;;
;;;;;;;;
2;Organização A;33456988000105;ADIANTAMENTO_A_DEPOSITANTES;ADIANTAMENTO_A_DEPOSITANTES;37736815020323773681554178847302312895636;gfhjkl00223068809537093775700678433123;;
;;;;;;;;
3;Organização A;004566988000112;ADIANTAMENTO_A_DEPOSITANTES;ADIANTAMENTO_A_DEPOSITANTES;30688095100223068809537093775700678433123;agbvfdrtj1002230688095370jjkloipq06784hjklfd;;
;;;;;;;;
4;Organização A;23457888000178;ADIANTAMENTO_A_DEPOSITANTES;ADIANTAMENTO_A_DEPOSITANTES;55327069088125532706944396385047137805072;asdfghj8125532706944jkloiu8504713juytr5072;;
