Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participant/name;name;Nome do participante do Open Banking.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participant/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/society;society;Conjunto de informações relativas à seguradora do produto de open insurance;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/society/name;name;Nome da Sociedade Seguradora.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Society A1
/data/society/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Produto A
/data/code;code;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;0001
/data/category;category;"Indicar a categoria do Produto&#58;<br><ol><li>Tradicional</li><li>Microsseguro</li></ol>";Texto;12;Opcional;;"TRADICIONAL 
MICROSSEGURO";0;1;"";Não permitido;string;TRADICIONAL
/data/modality;modality;<ol><li>Funeral</li><li>Prestamista (exceto Habitacional e Rural)</li><li>Viagem</li><li>Educacional</li><li>Dotal (Misto e Puro)</li><li>Acidentes Pessoais</li><li>Vida</li><li>Perda do Certificado de Habilitação de Voo – PCHV</li><li>Doenças Graves ou Doença Terminal</li><li>Desemprego/ Perda de Renda</li><li>Eventos Aleatórios</li><li>Pecúlio</li><li>Pensão prazo certo</li><li>Pensão menores 21 anos</li><li>Pensão menores 24 anos</li><li>Pensão cônjuge vitalícia</li><li>Pensão cônjuge temporária</li></ol>;Texto;33;Opcional;;"FUNERAL 
PRESTAMISTA 
VIAGEM 
EDUCACIONAL 
DOTAL 
ACIDENTES_PESSOAIS 
VIDA 
PERDA_CERTIFICADO_HABILITACAO_VOO 
DOENCAS_GRAVES_DOENCA_TERMINAL 
DESEMPREGO_PERDA_RENDA 
EVENTOS_ALEATORIOS 
PECULIO 
PENSAO_PRAZO_CERTO 
PENSAO_MENORES_21 
PENSAO_MENORES_24 
PENSAO_CONJUGE_VITALICIA 
PENSAO_CONJUGE_TEMPORARIA";0;1;"";Não permitido;string;FUNERAL
/data/coverages;coverages;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/coverages/type;type;É o conjunto dos riscos cobertos elencados na apólice. (RESOLUÇÃO CNSP Nº 341/2016). Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas, conforme Tabela Tipo de Cobertura.;Texto;9;Obrigatório;;"MORTE 
INVALIDEZ 
OUTROS";1;1;"";Não permitido;string;MORTE
/data/coverages/typeAdditionalInfos;typeAdditionalInfos;"Lista de textos para complementar informação relativa ao campo type, quando for selecionada a opção 'OUTROS'.
Restrição: Campo de preenchimento obrigatório se 'type' estiver preenchida a opção 'OUTROS'";Lista;100;Opcional;;;0;N;"";Não permitido;array;
/data/coverages/attributes;attributes;Atributos da cobertura;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/coverages/attributes/indemnityPaymentMethods;indemnityPaymentMethods;Listagem da forma de pagamento da indenização para cada combinação de modalidade/cobertura do produto;Lista;42;Opcional;;"PAGAMENTO_CAPITAL_SEGURADO_VALOR_MONETARIO 
REEMBOLSO_DESPESAS 
PRESTACAO_SERVICOS";0;N;"";Não permitido;array;
/data/coverages/attributes/indemnityPaymentFrequencies;indemnityPaymentFrequencies;Listagem de tipos de frequência de pagamento de indenização para cada combinação de modalidade/cobertura do produto;Lista;17;Opcional;;"INDENIZACAO_UNICA 
DIARIA_OU_PARCELA";0;N;"";Não permitido;array;INDENIZACAO_UNICA
/data/coverages/attributes/minValue;minValue;Listagem do valor mínimo de cobertura (Capital Segurado), diária ou parcela aceito pela sociedade para cada combinação de modalidade/cobertura do produto.<br>Conforme moeda.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/coverages/attributes/minValue/amount;amount;"";Texto;21;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;0.01
/data/coverages/attributes/minValue/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/coverages/attributes/maxValue;maxValue;Listagem do valor máximo de cobertura (Capital Segurado), diária ou parcela aceito pela sociedade para cada combinação de modalidade/cobertura do produto.<br>Conforme moeda.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/coverages/attributes/maxValue/amount;amount;"";Texto;21;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;0.01
/data/coverages/attributes/maxValue/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/coverages/attributes/indemnifiablePeriods;indemnifiablePeriods;"";Lista;31;Opcional;;"QUANTIDADE_DETERMINADA_PARCELAS 
FIM_CICLO_DETERMINADO";0;N;"";Não permitido;array;QUANTIDADE_DETERMINADA_PARCELAS
/data/coverages/attributes/maximumQtyIndemnifiableInstallments;maximumQtyIndemnifiableInstallments;Caso o período indenizável seja relacionado a parcelas, listagem de número máximo de parcelas indenizáveis para cada combinação de modalidade/ cobertura do produto.;Inteiro;;Opcional;;;0;1;"";Não permitido;integer;10
/data/coverages/attributes/gracePeriod;gracePeriod;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/coverages/attributes/gracePeriod/amount;amount;Informar o prazo de carência;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;90
/data/coverages/attributes/gracePeriod/unit;unit;"Informar o critério de carência para a cobertura&#58;<br><ol><li>Dias</li><li>Meses</li><li>Não se aplica</li></ol>";Texto;10;Obrigatório;;"DIAS 
MESES 
NAO_APLICA";1;1;"";Não permitido;string;MESES
/data/coverages/attributes/differentiatedGracePeriod;differentiatedGracePeriod;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/coverages/attributes/differentiatedGracePeriod/amount;amount;Informar o prazo de carência;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;90
/data/coverages/attributes/differentiatedGracePeriod/unit;unit;"Informar o critério de carência para a cobertura&#58;<br><ol><li>Dias</li><li>Meses</li><li>Não se aplica</li></ol>";Texto;10;Obrigatório;;"DIAS 
MESES 
NAO_APLICA";1;1;"";Não permitido;string;MESES
