Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participant/name;name;Nome do participante do Open Banking.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participant/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/society;society;Conjunto de informações relativas à seguradora do produto de open insurance;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/society/name;name;Nome da Sociedade Seguradora.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Society A1
/data/society/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Produto A
/data/code;code;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;0001
/data/segment;segment;"Segmento do qual se trata o produto contratado
1. Seguro de Pessoas
2. Previdência";Texto;20;Obrigatório;;"SEGURO_PESSOAS 
PREVIDENCIA";1;1;"";Não permitido;string;PREVIDENCIA
/data/modality;modality;"1. Contribuição Variável;
2. Benefício Definido.";Texto;21;Opcional;;"CONTRIBUICAO_VARIAVEL 
BENEFICIO_DEFINIDO";0;1;"";Não permitido;string;BENEFICIO_DEFINIDO
/data/additionalInfo;additionalInfo;Campo aberto (possibilidade de incluir URL);Texto;1024;Opcional;;;0;1;"";Não permitido;string;https://openinsurance.com.br/aaa
/data/termsAndConditions;termsAndConditions;"";Lista;;Opcional;;;1;N;"";Não permitido;array;
/data/termsAndConditions/susepProcessNumber;susepProcessNumber;"Sequência numérica utilizada para consulta dos processos eletrônicos na SUSEP, com caracteres especiais, conforme campo de consulta no site da SUSEP (XXXXX.XXXXXX/XXXX-XX)<br>Observação&#58; Mascaras da SUSEP – Serão permitidos todas as máscaras de Produtos. Limitar pelos códigos das Máscaras.";Texto;20;Obrigatório;^\d{5}\.\d{6}/\d{4}-\d{2}$;;1;1;"";Não permitido;string;15414.622222/2222-22
/data/termsAndConditions/detail;detail;Representam as Condições Gerais, Condições Especiais e Condições ou Cláusulas Particulares de um mesmo produto. (Circular SUSEP 321/06). Campo aberto (possibilidade de incluir URL);Texto;1024;Obrigatório;;;1;1;"";Não permitido;string;https://openinsurance.com.br/aaa
/data/type;type;"1.  PGBL
2.  PRGP
3.  PAGP
4.  PRSA
5.  PRI
6.  PDR
7.  VGBL
8.  VRGP
9.  VAGP
10. VRSA
11. VRI
12. VDR
13. Demais produtos de Previdência.";Texto;27;Obrigatório;;"PGBL 
PRGP 
PAGP 
PRSA 
PRI 
PDR 
VGBL 
VRGP 
VAGP 
VRSA 
VRI 
VDR 
DEMAIS_PRODUTOS_PREVIDENCIA";1;1;"";Não permitido;string;
/data/defferalPeriod;defferalPeriod;Período de Diferimento;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/defferalPeriod/interestRate;interestRate;Taxa de juros mensal garantida que remunera o plano durante a fase de diferimento/acumulação.;Texto;8;Opcional;^[0-1]\.\d{6}$;;0;1;"";Não permitido;string;0.251231
/data/defferalPeriod/updateIndex;updateIndex;"Índice utilizado na atualização do prêmio e do capital segurado, caso critério de atualização por meio de índice:
1. IPCA (IBGE);
2. IGP-M (FGV);
3. INPC (IBGE).";Texto;5;Opcional;;"IPCA 
IGP_M 
INPC";0;1;"";Não permitido;string;IPCA
/data/defferalPeriod/otherMinimumPerformanceGarantees;otherMinimumPerformanceGarantees;Para produtos do tipo PDR e VDR, indicação do índice de ampla divulgação utilizados como garantia mínima de desempenho.;Texto;12;Opcional;;;0;1;"";Não permitido;string;SELIC
/data/defferalPeriod/reversalFinancialResults;reversalFinancialResults;Percentual de reversão de excedente financeiro na concessão. Em %.;Texto;8;Opcional;^[0-1]\.\d{6}$;;0;1;"";Não permitido;string;0.051230
/data/defferalPeriod/minimumPremiums;minimumPremiums;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/defferalPeriod/minimumPremiums/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;;Opcional;^[A-Z]{3}$;;0;1;"";Não permitido;string;BRL
/data/defferalPeriod/minimumPremiums/periodicity;periodicity;"";Texto;10;Opcional;;"DIARIO 
SEMANAL 
QUINZENAL 
MENSAL 
BIMESTRAL 
TRIMESTRAL 
SEMESTRAL 
ANUAL 
UNICO";0;1;"";Não permitido;string;MENSAL
/data/defferalPeriod/minimumPremiums/amount;amount;Valor mínimo em R$ de prêmio/ contribuição aceita pela sociedade ao plano (identificar valor mensal e/ou aporte único).;Texto;21;Opcional;^\d{1,16}\.\d{2,4}$;;0;1;"";Não permitido;string;250.00
/data/defferalPeriod/premiumPaymentMethods;premiumPaymentMethods;"";Lista;27;Obrigatório;;"CARTAO_CREDITO 
DEBITO_CONTA 
DEBITO_CONTA_POUPANCA 
BOLETO_BANCARIO 
PIX 
CARTAO_DEBITO 
REGRA_PARCEIRO 
CONSIGNACAO_FOLHA_PAGAMENTO 
PONTOS_PROGRAMA_BENEFICIO 
TED_DOC 
OUTROS";1;N;"";Não permitido;array;CARTAO_CREDITO
/data/defferalPeriod/permissionExtraordinaryContributions;permissionExtraordinaryContributions;"Se ficam permitidos aportes extraordinários. A considerar os seguintes domínios:
1. true
2. false";Booleano;;Opcional;;;0;1;"";Não permitido;boolean;true
/data/defferalPeriod/permissionScheduledFinancialPayments;permissionScheduledFinancialPayments;"Se ficam permitidos pagamentos financeiros programados. A considerar os seguintes domínios:
1. true
2. false";Booleano;;Opcional;;;0;1;"";Não permitido;boolean;true
/data/defferalPeriod/gracePeriod;gracePeriod;Prazo de carência;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/defferalPeriod/gracePeriod/redemption;redemption;Prazo em dias de carência para resgate Para Coletivos: Valor máximo da carência.;Número;;Obrigatório;;;1;1;"";Não permitido;number;100
/data/defferalPeriod/gracePeriod/betweenRedemptionRequests;betweenRedemptionRequests;Prazo em dias de carência entre pedidos de resgate Para Coletivos: Valor máximo da carência;Número;;Obrigatório;;;1;1;"";Não permitido;number;30
/data/defferalPeriod/gracePeriod/portability;portability;Prazo em dias de carência para portabilidade (entre empresas diferentes).;Número;;Obrigatório;;;1;1;"";Não permitido;number;12
/data/defferalPeriod/gracePeriod/betweenPortabilityRequests;betweenPortabilityRequests;Prazo em dias de carência entre pedidos de portabilidade (entre empresas diferentes).;Número;;Obrigatório;;;1;1;"";Não permitido;number;15
