Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações do Titulo de Capitalização;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/termsAndConditions;termsAndConditions;Conjunto de informações relativas ao Título de Capitalização;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/termsAndConditions/susepNumber;susepNumber;Sequência numérica utilizada para consulta dos processos eletrônicos na SUSEP com caracteres especiais, conforme campo de consulta no site da SUSEP(15414.6XXXXX/AAAA-DV).;Texto;20;Obrigatório;;;1;1;"";Não permitido;string;15414.622222/2222-22
/data/termsAndConditions/generalConditions;generalConditions;"Conjunto de cláusulas que regem um mesmo título de capitalização, estabelecendo obrigações e direitos, da sociedade de capitalização, do titular, e do subscritor. Campo aberto (possibilidade de incluir URL).
Observação: As URLs são limitadas a 2048 caracteres mas, para o contexto do Open Insurance foi adotado a metade deste tamanho (1024 caracteres).";Texto;1024;Obrigatório;;;1;1;"";Não permitido;string;https://ACME.exemplo/capitalizacao/tradicional/pdf/condicoes_gerais.pdf
/data/quotas;quotas;Conjunto de informações relativas ao Título de Capitalização;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/quotas/tranche;tranche;Número da parcela.;Inteiro;3;Obrigatório;;;1;1;"";Não permitido;integer;999
/data/quotas/capitalization;capitalization;Percentual da contribuição destinado à constituição de capital referente ao direito de resgate. (Resolução CNSP 384/20) Em porcentagem(%).;Número;9;Obrigatório;;;1;1;"";Não permitido;number;100000.04
/data/quotas/drawing;drawing;Percentual da contribuição destinado a custear os sorteios, se previstos no plano. (Resolução CNSP 384/20) Em porcentagem(%).;Número;9;Obrigatório;;;1;1;"";Não permitido;number;100000.04
/data/quotas/loadingRate;loadingRate;Percentual da contribuição destinado aos custos de despesas com corretagem, colocação e administração do título de capitalização, emissão, divulgação, lucro da sociedade de capitalização e eventuais despesas relativas ao custeio da contemplação obrigatória e da distribuição de bônus. (Resolução CNSP 384/20) Em porcentagem(%).;Número;9;Obrigatório;;;1;1;"";Não permitido;number;100000.04
/data/periodMonths;periodMonths;Período entre a data de início e a data final para constituição do capital a ser pago ao(s) titular(es) do direito de resgate. Prazo de vigência do título de capitalização em meses (Resolução CNSP 384/20). Em meses.;Número;3;Obrigatório;;;1;1;"";Não permitido;number;48
/data/serieSize;serieSize;Os títulos de capitalização que prevejam sorteio devem ser estruturados em séries, ou seja, em sequências ou em grupos de títulos submetidos às mesmas condições e características, à exceção do valor do pagamento.;Inteiro;10;Opcional;;;0;1;"";Não permitido;integer;5000000000
/data/capitalizationPeriod;capitalizationPeriod;Conjunto de informações relativas ao Título de Capitalização;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/capitalizationPeriod/interestRate;interestRate;Taxa que remunera a parte da mensalidade destinada a formar o Capital, ou seja, a Provisão Matemática de Resgate, também chamada de saldo de capitalização. Em porcentagem ao mês (% a.m.).;Número;6;Obrigatório;;;1;1;"";Não permitido;number;0.25123
/data/capitalizationPeriod/adjustmentIndex;adjustmentIndex;"Índice utilizado na correção que remunera a provisão matemática para capitalização.
  1. IPCA (IBGE)
  2. IGP M (FGV)
  3. INPC (IBGE)
  4. TR (BC)
  5. Índice de remuneração dos depósitos de poupança
  6. Outros";Texto;33;Obrigatório;;"IGPM_FGV 
INPC_IBGE 
TR_BC 
INDICE_DE_REMUNERACAO_DOS_DEPOSITOS_DE_POUPANCA 
OUTROS";1;1;"";Não permitido;string;IGPM_FGV
/data/capitalizationPeriod/adjustmentIndexOthers;adjustmentIndexOthers;Lista string a ser preenchida pelas participantes quando houver ‘Outros’ no campo ‘Índice de atualização’.;Texto;10;Opcional;;;0;1;"";Não permitido;string;""
/data/capitalizationPeriod/contributionMinimum;contributionMinimum;"Corresponde ao pagamento efetuado pelo subscritor à sociedade de capitalização para a aquisição do título de capitalização, podendo ser única, periódica ou mensal (Resolução CNSP 384/20). Valores em reais (R$). Esclarecimentos adicionais SUSEP.
Na modalidade Tradicional, informar a faixa de valor mínimo em R$ de contribuição ao plano. Para as demais modalidades, informar a lista com os valores permitidos de contribuição ao plano. Em todas as situações indicar para qual periodicidade de pagamento se aplicam os valores: pagamento mensal, pagamento único ou periódico.";Número;200;Obrigatório;;;1;1;"";Não permitido;number;5000
/data/capitalizationPeriod/contributionAmountMaximum;contributionAmountMaximum;"Corresponde ao pagamento efetuado pelo subscritor à sociedade de capitalização para a aquisição do título de capitalização, podendo ser única, periódica ou mensal (Resolução CNSP 384/20). Valores em reais (R$). Esclarecimentos adicionais SUSEP.
Na modalidade Tradicional, informar a faixa de valor máximo em R$ de contribuição ao plano. Para as demais modalidades, informar a lista com os valores permitidos de contribuição ao plano. Em todas as situações indicar para qual periodicidade de pagamento se aplicam os valores: pagamento mensal, pagamento único ou periódico.";Número;200;Obrigatório;;;1;1;"";Não permitido;number;5000
/data/capitalizationPeriod/contributionAmountAllowed;contributionAmountAllowed;"Corresponde ao pagamento efetuado pelo subscritor à sociedade de capitalização para a aquisição do título de capitalização, podendo ser única, periódica ou mensal (Resolução CNSP 384/20). Valores em reais (R$). Esclarecimentos adicionais SUSEP.
Na modalidade Tradicional, informar a faixa de valor mínimo e máximo em R$ de contribuição ao plano. Para as demais modalidades, informar a lista com os valores permitidos de contribuição ao plano. Em todas as situações indicar para qual periodicidade de pagamento se aplicam os valores: pagamento mensal, pagamento único ou periódico.";Número;200;Obrigatório;;;1;1;"";Não permitido;number;5000
