Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;;;;;;;;;;;;;;;;;;;;;
GET /unarranged-account-overdraf/v1/contract/{contractId};contractId;Um identificador único e imutável usado para identificar o recurso do contrato da operação de crédito. Este identificador não tem significado para o tomador da operação de crédito.;texto;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/;;Conjunto de informações de operações de crédito de adiantamento a depositantes contratadas;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/;;Conjunto de informações referentes à identificação da operação de crédito de adiantamento a depositantes;Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/IpocCode;IpocCode;"Número padronizado do contrato -  IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por, : 
- CNPJ da instituição: 8 (oito) posições iniciais;
- Modalidade da operação: 4 (quatro) posições;
- Tipo do cliente: 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- Código do cliente: O número de posições varia conforme o tipo do cliente:
1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- Código do contrato: 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.";Texto;67;Obrigatório;;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/productName;productName;Denominação/Identificação do nome da Modalidade da Operação de Crédito divulgado ao cliente ;Texto;140;Obrigatório;\w*\W*;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/productType;productType;"Tipo da modalidade de crédito contratada, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Enum)
Adiantamento a depositantes

";Enum;;Obrigatório;;"ADIANTAMENTO_A_DEPOSITANTES

";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/productSubType;productSubType;"Sub tipo da modalidades de crédito contratadas, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Enum)
Adiantamento a depositantes

";Enum;;Obrigatório;;"ADIANTAMENTO_A_DEPOSITANTES
";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractDate;contractDate;"Data de contratação da operação de crédito. Especificação 
RFC-3339";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/disbursementDate;disbursementDate; Data do Desembolso do valor contratado. Especificação RFC-3339;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractAmount;contractAmount;"Valor contratado da operação. Expresso em valor monetário com
2 casas decimais";Número;19;Obrigatório;;;1;1;Não há restrição;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
