Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<Brand>/name;name;Nome da marca proprietário da dependência (titular). Ex. 'Organização A' ;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/name;name;Nome da Instituição, pertencente à organização, responsável pela Dependência. Ex. 'Empresa da Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pela dependência - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Os oito primeiros números à esquerda (XX. XXX. XXX) formam a ""raiz"" ou base, que identifica a empresa de forma única. Ex. '50.685.362'. Os 4 próximos números indicam filial. Os últimos dois dígitos são para o número verificador do CNPJ, calculado em duas etapas utilizando o módulo de divisão 11, utilizando-se os 12 primeiros números do CNPJ - inscrição e filial.
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9.;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/identification/type;type;"Tipo da dependência, segundo a regulamentação do Bacen, 
na Resolução Nº 4072, de 26 de abril de 2012:
1 - Agência é a dependência destinada ao atendimento aos clientes e ao público em geral no exercício de atividades da instituição, não podendo ser móvel ou transitória;
  Dependência de instituições financeiras e demais instituições, autorizadas a funcionar pelo Banco Central do Brasil, destinada à prática das atividades para as quais a instituição esteja regularmente habilitada.
2 - Posto de Atendimento é a dependência subordinada a agência  ou à sede da instituição financeira, destinada ao atendimento ao público no exercício de uma ou mais de suas atividades, podendo ser fixo ou móvel. Segundo Art.15. Os Postos de Atendimento Bancário (PAB), Postos Avançados de Atendimento (PAA), Postos de Atendimento Transitórios (PAT), Postos de Compra de Ouro (PCO), Postos de Atendimento Cooperativo (PAC), Postos de Atendimento de Microcrédito (PAM), Postos Bancários de Arrecadação e Pagamento (PAP) e os Postos de Câmbio atualmente em funcionamento serão considerados PA.
3 - Posto de Atendimento Eletrônico é a dependência constituída por um ou mais terminais de autoatendimento, subordinada a agência ou à sede da instituição, destinada à prestação de serviços por meio eletrônico, podendo ser fixo ou móvel, permanente ou transitório";Enum;2;Mandatório;^\d{1,2}$;"1 - Agência
2 - Posto de Atendimento
3 - Posto de Atendimento Eletrônico";1;3;N/A;
openBankingBrazil/<Brand>/companies/branches/identification/code;code;Código identificador da dependência. Ex. '3006','3035', '1382', '2516', '2856'. ;Texto;4;Mandatório;^\d{4}$;Números de 0 a 9;1;1;Para qualquer tipo de dependência informada deverá ser sempre preenchido com a identificação da Agência;
openBankingBrazil/<Brand>/companies/branches/identification/checkDigit;checkDigit;Dígito verificador do código da dependência;Texto;1;Opcional;^\d{1}$;;;;N/A;
openBankingBrazil/<Brand>/companies/branches/identification/name;name;"Nome da dependência, exemplos: 
         3006, 'SP Ponte Morumbi'
         3035, 'Uberaba São Benedito'
         1382, 'ALPHAVILLE-BARUERI'
         2516, 'PRIME-ALPHAVILLE'
         2856, 'CID.DE DEUS-U.OSASCO'
   ";Texto;100;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/postalAddress/streetType;streetType;Logradouro é o termo utilizado pelos Correios para designar uma localidade específica. O logradouro é composto pelo seu tipo seguido dos nomes oficiais. Os tipos de logradouro são: aeroporto, alameda, área, avenida, campo, chácara, colônia, condomínio, conjunto, distrito, esplanada, estação, estrada, fazenda, feira, jardim, ladeira, lago, lagoa ,largo, loteamento, núcleo, parque, passarela, pátio, praça, quadra, recanto, residencial, rodovia, rua, setor, sítio, travessa, trecho, trevo, vale, vereda, via, viaduto, viela, vila;Texto;10;Mandatório;\w*\W*;Os tipos de logradouro são: aeroporto, alameda, área, avenida, campo, chácara, colônia, condomínio, conjunto, distrito, esplanada, estação, estrada, fazenda, feira, jardim, ladeira, lago, lagoa ,largo, loteamento, núcleo, parque, passarela, pátio, praça, quadra, recanto, residencial, rodovia, rua, setor, sítio, travessa, trecho, trevo, vale, vereda, via, viaduto, viela, vila;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/postalAddress/streetName;streetName;Os logradouros são identificados pelo nome oficial atribuído pelo município ao qual estão vinculados. Exemplo: Avenida Paulista, sendo “Avenida” o tipo e “Paulista” o nome do logradouro;Texto;50;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/postalAddress/buildingNumber;buildingNumber;O número especifica o imóvel. Ocorrem, raras vezes, de o imóvel não ter número. Para os logradouros sem numeração recomenda-se a utilização da sigla 's/n'.;Texto;6;Mandatório;\w*\W*;;1;1;N/A;
