Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/name;name;Nome da marca. P.ex. 'Organização A' ;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à organização, responsável pela comercialização das modalidades de Empréstimos para Pessoas Jurídicas consultadas. Ex. 'Empresa da Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"O responsável pela comercialização das modalidades de Empréstimos para Pessoas Jurídicas consultadas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Composto por: os oito primeiros números à esquerda (XX. XXX. XXX) formam a ""raiz"" ou base, que identifica a empresa de forma única. Os quatro seguintes números de ordem das filiais da empresa. Normalmente a empresa matriz tem este campo preenchido com '0001'. Os dois últimos números correspondem ao dígito verificador.  Composição do CNPJ pode ser assim representada, conforme ex. '50.685.362/0001-35'.
Deve-se ter apenas os números do CNPJ, sem máscara.
";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9. ;1;1;N/A;
openBankingBrazil/<brand>/companies/businessLoans/types;types;"Modalidades de empréstimos ofertados para pessoas Jurídicas, conforme Circular 4015-Bacen. Segundo cartilha do Bacen: Empréstimo é um contrato entre o cliente e uma instituição financeira (banco, cooperativa de crédito, caixa econômica) pelo qual o cliente recebe uma quantia em dinheiro que deverá ser devolvida em prazo determinado, acrescida dos juros acertados. Os recursos obtidos no empréstimo não tem destinação específica. 
Adiantamento a depositante - É um crédito emergencial. É um serviço onde o banco cede ao cliente um crédito adicional para cobrir um débito quando sua conta não possui saldo, ou seja está com saldo insuficiente ou negativo. 
Cheque especial - operações de crédito vinculadas à conta corrente, nas quais determinado limite de crédito é disponibilizado aos clientes para utilização de acordo com suas conveniências, sem necessidade de comunicação prévia à instituição financeira
Conta garantida - operações de crédito rotativo, nas quais determinado limite de crédito é disponibilizado para utilização pelo cliente, através da simples movimentação da conta corrente e/ou solicitação formal à instituição financeira. As operações classificadas nessa modalidade não devem ter data definida para a amortização do saldo devedor, exceto a estabelecida para vigência do contrato
Capital de giro com prazo de vencimento até 365 dias: operações de crédito voltadas para o financiamento de curto prazo (igual ou inferior a 365 dias) das pessoas jurídicas, vinculadas às necessidades de capital de giro e a um contrato específico que estabeleça prazos, taxas e garantias
Capital de giro com prazo vencimento superior a 365 dias: operações de crédito voltadas para o financiamento de médio e longo prazo (superior a 365 dias) das pessoas jurídicas, vinculadas às necessidades de capital de giro e a um contrato específico que estabeleça prazos, taxas e garantias
Capital de giro rotativo: operações de crédito voltadas para o financiamento de capital de giro, vinculadas a um contrato que estabeleça linha de crédito rotativo, de forma que, à medida que a empresa devedora amortize os empréstimos já tomados, o limite disponível para utilização seja restituído, e amortizações com datas predeterminadas, podendo ser facultado ao devedor repactuar o fluxo de pagamentos ao longo da vigência do contrato
ARO – adiantamento de receitas orçamentárias:operações de crédito por antecipação de receita ao setor público
Microcrédito Produtivo Orientado - segundo PNMPO é o crédito concedido para financiamento das atividades produtivas, cuja metodologia será estabelecida em regulamento, observada a preferência do relacionamento direto com os empreendedores, admitido o uso de tecnologias digitais e eletrônicas que possam substituir o contato presencial
Outros empréstimos - deve ser utilizada quando inexistir submodalidade adequada para a operação sob registro e na composição de dívidas de diferentes submodalidades
Cartão de crédito – não migrado: operações anteriormente informadas na modalidade crédito rotativo vinculado a cartão de crédito, sem previsão de consignação em folha de pagamento, quando não forem liquidadas integralmente no vencimento do crédito rotativo vinculado a cartão de crédito e não tenha havido financiamento do saldo devedor nos prazos previstos na Resolução 4.549, de 26 de janeiro de 2017. 
Recebíveis adquiridos: operações relativas à compra de créditos decorrentes da negociação de bens e serviços mediante pagamento a prazo, onde os referidos créditos não estão devidamente identificados. Nessas operações, o cedente será informado como o cliente devedor da operação
";Enum;;Mandatório;;"Adiantamento a depositante
Cheque especial
Conta garantida
Capital de giro com prazo de vencimento até 365 dias
Capital de giro com prazo de vencimento superior a 365 dias
Capital de giro rotativo
ARO -  Adiantamento de receitas orçamentárias
Microcrédito produtivo orientado
Cartão de crédito – não migrado
";1;1;;
openBankingBrazil/<brand>/companies/businessLoans/fees/serviceName;serviceName;Nomes das Tarifas cobradas sobre Serviços ofertados à Modalidade de Empréstimo, para pessoa jurídica. (Campo Livre). p.ex. 'Cheque Especial';Texto;50;Mandatório;\w*\W*;;1;n;;
openBankingBrazil/<brand>/companies/businessLoans/fees/serviceCode;serviceCode;Sigla de identificação do serviço relacionado à Modalidade de Empréstimo informada, para pessoa jurídica. Campo aberto. p. ex. 'Cheque Especial';Texto;30;Mandatório;\w*\W*;;1;n;;
openBankingBrazil/<brand>/companies/businessLoans/fees/chargingTriggerInfo;chargingTriggerInfo;"Fatores geradores de cobrança que incidem sobre as Modalidades de Empréstimos informada, para pessoa jurídica. P. ex. '(e) Tarifa válida a partir de 06.01.2020, para novas contratações de Cheque Especial e Cheque Empresarial direcionado a clientes MEI
(f) Tarifa válida a partir de 01.06.2020, para contratações de Cheque Especial e Cheque Empresarial direcionado a clientes MEI realizadas até 05.01.2020'
";Texto;2000;Mandatório;\w*\W*;;1;n;;
openBankingBrazil/<brand>/companies/businessLoans/fees/price/type;type;Indica os tipos: mínimo, médio e máximo do valor informado. P.ex.'mínimo' ;Enum;6;Opcional;;"Mínimo
Médio
Máximo";0;3;Este campo deve estar obrigatoriamente preenchido se não houver conteúdo para o item priceInfo;
openBankingBrazil/<brand>/companies/businessLoans/fees/price/value;value;Valor da tarifa cobrada, relativa ao serviço ofertado para a Modalidade de Empréstimo, para pessoa jurídica. P.ex. 45,00;Texto;12;Opcional;^(\d{1,9}\,\d{2}){1}$;;0;3;Este campo deve estar obrigatoriamente preenchido se não houver conteúdo para o item priceInfo;
openBankingBrazil/<brand>/companies/businessLoans/fees/price/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Opcional;^(\W{3}){1}$;moeda (ISO-4217);0;3;Este campo deve estar obrigatoriamente preenchido se não houver conteúdo para o item priceInfo;
openBankingBrazil/<brand>/companies/businessLoans/fees/additionalInfo;additionalInfo;Descrição de como é composto o valor da tarifa. p.ex. '0,25% sobre o excedente do limite acima de R$ 500,00';Texto;80;Opcional;\w*\W*;;0;N;Este campo deve estar obrigatoriamente preenchido se não houver conteúdo para os itens: value, currency e type;
openBankingBrazil/<brand>/companies/businessLoans/fees/changingUnit;changingUnit;Unidade ou forma de cobrança. P.ex. 'Por mês';Texto;50;Mandatório;\w*\W*;;1;N;este campo sempre deverá estar preenchido;
openBankingBrazil/<brand>/companies/businessLoans/interestRates/rate;rate;Percentual que incide sobre a composição das taxas de juros remuneratórias;Texto;7;Opcional;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;0;n;;
openBankingBrazil/<brand>/companies/businessLoans/interestRates/referencialRate;referencialRate;Taxa Referencial se configura como uma taxa de juros de referência, ou seja, um indicador geral da economia brasileira. Por isso, é utilizada na hora de calcular o rendimento de determinadas aplicações financeiras;Texto;10;Opcional;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;0;n;;
