Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pela Dependência. p. ex. 'Empresa da Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pela dependência - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9.;1;1;N/A
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;N/A
openBankingBrazil/<brand>/companies/branches/identification/type;type;"Tipo da dependência, segundo a regulamentação do Bacen,  na Resolução Nº 4072, de 26 de abril de 2012:
Agência é a dependência destinada ao atendimento aos clientes e ao público em geral no exercício de atividades da instituição, não podendo ser móvel ou transitória;
  Dependência de instituições financeiras e demais instituições, autorizadas a funcionar pelo Banco Central do Brasil, destinada à prática das atividades para as quais a instituição esteja regularmente habilitada.
Posto de Atendimento é a dependência subordinada a agência  ou à sede da instituição financeira, destinada ao atendimento ao público no exercício de uma ou mais de suas atividades, podendo ser fixo ou móvel. Segundo Art.15. Os Postos de Atendimento Bancário (PAB), Postos Avançados de Atendimento (PAA), Postos de Atendimento Transitórios (PAT), Postos de Compra de Ouro (PCO), Postos de Atendimento Cooperativo (PAC), Postos de Atendimento de Microcrédito (PAM), Postos Bancários de Arrecadação e Pagamento (PAP) e os Postos de Câmbio atualmente em funcionamento serão considerados PA.
Posto de Atendimento Eletrônico é a dependência constituída por um ou mais terminais de autoatendimento, subordinada a agência ou à sede da instituição, destinada à prestação de serviços por meio eletrônico, podendo ser fixo ou móvel, permanente ou transitório";Texto;100;Mandatório;\W*;"Agência
Posto de Atendimento
Posto de Atendimento Eletrônico";1;3;N/A
openBankingBrazil/<brand>/companies/branches/identification/code;code;Código identificador da dependência. Ex. '3006','3035', '1382', '2516', '2856'. ;Texto;4;Mandatório;^\d{4}$;Números de 0 a 9;1;1;Para qualquer tipo de dependência informada deverá ser sempre preenchido com a identificação da Agência
openBankingBrazil/<brand>/companies/branches/identification/checkDigit;checkDigit;Dígito verificador do código da dependência;Texto;1;Mandatório;^\d{1}$;;1;1;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/identification/name;name;"Nome da dependência, exemplos: 
         3006, 'SP Ponte Morumbi'
         3035, 'Uberaba São Benedito'
         1382, 'ALPHAVILLE-BARUERI'
         2516, 'PRIME-ALPHAVILLE'
         2856, 'CID.DE DEUS-U.OSASCO'
   ";Texto;100;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/streetType;streetType;Logradouro é o termo utilizado pelos Correios para designar uma localidade específica. O logradouro é composto pelo seu tipo seguido dos nomes oficiais. Os tipos de logradouro são: aeroporto, alameda, área, avenida, campo, chácara, colônia, condomínio, conjunto, distrito, esplanada, estação, estrada, fazenda, feira, jardim, ladeira, lago, lagoa ,largo, loteamento, núcleo, parque, passarela, pátio, praça, quadra, recanto, residencial, rodovia, rua, setor, sítio, travessa, trecho, trevo, vale, vereda, via, viaduto, viela, vila;Texto;10;Mandatório;\w*\W*;Os tipos de logradouro são: 'aeroporto', 'alameda', 'área', 'avenida', 'campo', 'chácara', 'colônia', 'condomínio', 'conjunto', 'distrito', 'esplanada', 'estação', 'estrada', 'fazenda', 'feira', jardim', 'ladeira', 'lago', 'lagoa' 'largo', 'loteamento', 'núcle'o, 'parque', 'passarela', 'pátio', 'praça', 'quadra', 'recanto', 'residencial', 'rodovia', 'rua', 'setor', 'sítio', 'travessa',' trecho', 'trevo', 'vale', 'vereda', 'via', 'viaduto', 'viela', 'vila';1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/streetName;streetName;Os logradouros são identificados pelo nome oficial atribuído pelo município ao qual estão vinculados. p.ex.: Avenida Paulista, sendo “Avenida” o tipo e “Paulista” o nome do logradouro;Texto;50;Mandatório;\w*\W*;;1;1;N/A
