Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização dos tipos de contas de pessoas jurídicas cosultadas. Ex. 'Empresa da Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"O responsável pela comercialização das modalidades de Contas para Pessoas Jurídicas consultadas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;;1;1;N/A;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/type;type;"Tipos de contas ofertadas para pessoas jurídicas, conforme Resolução 3.919 do Bacen. p.ex. 'conta de depósito à vista'.
Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante
Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado
Conta de pagamento pré-paga: destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados";Texto;70;Mandatório;;"Conta de depósito à vista
Conta de poupança
Conta de pagamento pré-paga";1;3;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/name;name;"Nome atribuído a Outros Serviços disponíveis para os tipos de contas informados. 
Outros Serviços são quaisquer serviços que a instituição ofereça para a modalidade de Contas e não estejam definidos na lista de Serviços Prioritários definidos na resolução 3.919 do Bacen.";Texto;50;Opcional;;;0;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/code;code;Sigla de identificação de Outros Serviços que incidem sobre os tipos de contas informados.;Texto;30;Opcional;;;0;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/chargingTriggerInfo;chargingTriggerInfo;Outros Fatos geradores de cobrança referentes aos Outros Serviços que incidem sobre as contas comercializadas.;Texto;500;Opcional;;;0;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/price/interval;interval;Faixas de valor referentes a tarifa informada:1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/price/value;value;"Valor da mediana da tarifa cobrada referente aos Outros Serviços. p.ex.'45.00'
(representa um valor monetário. p.ex: 1547368.92 .Este  valor, considerando que a moeda seja BRL, significa R$ 1.547.368,9). O único separador presente deverá ser o ' .'  (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/price/currency;currency;Moeda referente ao valor da mediana da tarifa cobrada de Outros Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/minimum/value;value;Valor mínimo cobrado para a tarifa de Outros Serviços na base de clientes do mês de referência.;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa de Outros Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/maximum/value;value;Valor máximo cobrado para a tarifa de Outros Serviços na base de clientes do mês de referência.;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/maximum/currency;currency;Moeda referente ao valor máximo da tarifa de outros serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/additionalInfo;additionalInfo;Descrição de como é composto o valor da tarifa. p.ex. '0,5% do valor do orçamento';Texto;80;Opcional;\w*\W*;;0;N;Este campo deve estar obrigatoriamente preenchido se não houver conteúdo para os itens: value, currency e type;
openBankingBrazil/<brand>/companies/businessAccounts/fees/otherServices/chargingUnit;chargingUnit;Unidade ou forma de cobrança. p.ex. 'Por depósito recebido';Texto;50;Mandatório;\w*\W*;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/name;name;Nome do Pacote de Serviços dado pela Instituição;Texto;50;Mandatório;;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/code;code;Código que identifica o Serviço que compõe o Pacote de Serviços.  p.ex. 'SAQUEterminal';Texto;30;Mandatório;;Lista de 'code' de Outros Serviços (otherService);1;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/eventLimitQuantity;eventLimitQuantity;Quantidade de eventos previstos no Pacote de Serviços (Número de eventos incluídos no mês) p.ex.'2';Texto;4;Mandatório;^(\d{1,4}){1}$;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/freeEventQuantity;freeEventQuantity;Quantidade de eventos previstos no Pacote de Serviços com isenção de Tarifa. P.ex.'1';Texto;4;Mandatório;^(\d{1,4}){1}$;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/price/interval;interval;Faixas de valor referentes ao Serviço que compõe o Pacote de Serviços informado: mínimo, 1ª faixa de clientes, 2ª faixa de clientes, 3ª faixa de clientes e 4ª faixa de clientes;Texto;30;Mandatório;;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/price/value;value;"Valor mediano da tarifa referente ao Serviço que compõe o Pacote de Serviços. p.ex. '70.00'
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.'  (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/price/currency;currency;Moeda referente ao valor da mediana da tarifa cobrada pelo Serviço que compõe o Pacote de Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/minimum/value;value;Valor mínimo cobrado para o Serviço que compõe o Pacote de Serviços no mês de referência.;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa do Serviço que compõe o Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/maximum/value;value;Valor máximo cobrado para o Serviço que compõe o Pacote de Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/maximum/currency;currency;Moeda referente ao valor máximo da tarifa do Serviço que compõe o Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/price/interval;interval;Faixas de valor referentes ao pagamento mensal do Pacote de Serviços informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/price/monthlyFee;monthlyFee;Valor da mediana da tarifa mensal referente ao Pacote de Serviços. p.ex. '130.00' (representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separado separador presente deve ser o ' .'  (ponto) para indicar a casa decimal. Não deve haver separador de milhar);Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/price/currency;currency;Moeda referente ao valor da mediana da tarifa mensal do Pacote de Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/minimum/value;value;Valor mínimo cobrado para a tarifa mensal do Pacote de Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/minimum/currency;currency;Moeda referente ao valor  mínimo da tarifa mensal do Pacote de Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/maximum/value;value;Valor máximo cobrado para a tarifa mensal do Pacote de Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/maximum/currency;currency;Moeda referente ao valor  máximo da tarifa mensal do Pacote de Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/openingClosingChannels ;openingClosingChannels ;Canais disponíveis para abertura e encerramento de contas, p.ex. 'dependências próprias';Texto;30;Mandatório;;"Dependências próprias
Correspondentes bancários
Internet banking
Mobile banking
Central telefônica
Chat
Outros (p.ex. Website/Apps de terceiros)";1;7;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/additionalInfo;additionalInfo;Texto livre para complementar informação relativa ao Canal disponível, quando no campo 'openingCloseChannels' estiver preenchida a opção 'Outros';Texto;100;Opcional;\w*\W*;;0;1;Campo de preenchimento obrigatório se em  'openingClosingChannels' estiver preenchida a opção 'Outros';
openBankingBrazil/<brand>/companies/businessAccounts/transactionMethods  ;transactionMethods  ;Lista de formas de movimentação possíveis para a conta, p. ex. 'movimentação com cartão'.;Texto;30;Mandatório;;" 'Movimentação eletrônica', 
'Movimentação com cheque', 
'Movimentação com cartão', 
'Movimentação presencial'";1;4;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/minimumBalance;minimumBalance;Saldo mínimo exigido nos Termos e condições contratuais, que regem as contas comercializadas. p.ex. '500.00' (representa um valor monetário. p.e: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente dever ser o '.'  (ponto) para indicar a casa decimal. Não deve haver separador de milhar);Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/minimumBalanceCurrency;minimumBalanceCurrency;Moeda referente ao saldo mínimo exigido, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Critérios de qualificação do cliente com a finalidade de definir sua elegibilidade para a aquisição do tipo de conta. Possibilidade de inscrição da URL. Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;1024;Mandatório;;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/closingProcessInfo;closingProcessInfo;Procedimentos de encerramento para o tipo de conta tratado. Possibilidade de inscrição da URL. Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Mandatório;;;1;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/rate;rate;"Valor do percentual que corresponde a taxa de remuneração prevista para a conta do tipo 'poupança'.
(representação de uma porcentagem. p.ex: 0.15. Este valor  representa 15%. O valor 1 representa 100%)";Texto;7;Opcional;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;0;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/referencialRate;referencialRate;Taxa Referencial se configura como uma taxa de juros de referência, ou seja, um indicador geral da economia brasileira. Por isso, é utilizada na hora de calcular o rendimento de determinadas aplicações financeiras;Texto;7;Opcional;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;0;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/indexer;indexer;Indexador é o termo utilizado para se referir aos índices usados como base para corrigir os valores monetários de um determinado ativo. No Brasil, os indexadores mais comuns são o IPCA, a taxa Selic e o CDI;Texto;30;Opcional;;;0;1;N/A;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/prePostTax;prePostTax;"Indicador de indexador pré ou pós fixado.
A diferença básica é que, enquanto o prefixado apresenta rentabilidade definida, o pós-fixado acompanha algum indicador. Assim, quem investe no primeiro grupo sabe como será seu rendimento previamente, enquanto quem investe no segundo, só conhecerá os resultados na data de vencimento";Texto;3;Opcional;;"Pré
Pós";0;1;N/A;
