Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelas contas de pagamento pós-pagas (cartões de crédito) p.ex. 'Empresa da Organização A' ;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelas contas de pagamento pós-pagas (cartões de crédito) para pessoas Jurídicas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;N/A;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/name;name;Denominação/Identificação do nome da conta de pagamento pós-paga (cartão). p.ex. 'Cartão Empresa Bem-Vindo';Texto;50;Mandatório;\w*\W*;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/identification/productType;productType;"Categoria atribuída a um cartão de pagamento, sob uma certa denominação, que lhe agrega um conjunto de vantagens, diferenciando-o de acordo com o perfil do portador. p.ex.'Classic Nacional', 'Classic Internacional'.
Essa categoria é definida pelo BACEN e está contida no documento de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores""";Texto;100;Mandatório;\w*\W*;"Classic Nacional
Classic Internacional
Gold
Platinum
Infinite
Electron
Standard Nacional
Standard Internacional";1;1;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/identification/creditCardNetwork;creditCardNetwork;"Categoria de Bandeiras de Cartões de Crédito.
Bandeira é a detentora de todos os direitos e deveres da utilização da marca estampada no cartão, inclusive as bandeiras pertencentes aos emissores. p.ex. ""American Express"", ""Diners Club"".
Essas bandeiras estão definidas em documento do BACEN de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores""";Texto;100;Mandatório;\w*\W*;"VISA 
MasterCard 
American Express 
Diners Club 
Hipercard 
Bandeira própria 
Cheque Eletrônico 
Elo 
Outras";1;1;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/identification/additionalInfo;additionalInfo;Texto livre para especificar categoria de bandeira marcada como 'Outras';Texto;50;Opcional;\w*\W*;;0;1;Se no campo 'creditCardNetwork' vier selecionado o campo 'Outras' é mandatório que esteja preenchido o 'additonalInfo' com o nome da bandeira;
openBankingBrazil/<brand>/companies/businessCreditCards/rewardsProgram/hasRewardProgram;hasRewardProgram;"Indicador da existência de programa de fidelidade/recompensa associado à conta.
Falso
Verdadeiro";Booleano;1;Mandatório;;"Falso
Verdadeiro";1;1;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/rewardsProgram/rewardProgramInfo;rewardProgramInfo;Informações de Termos e condições do programa de fidelidade/recompensa. Pode ser informada a URL referente ao endereço onde constam as condições informadas.;Texto;2000;Opcional;\w*\W*;;0;1;"Caso o campo ""hasRewardProgram""  indique que há programa de recompensa (Verdadeiro), a informação de termos e condições deve ser preenchida";
openBankingBrazil/<brand>/companies/businessCreditCards/fees/services/name;name;"Nomes das Tarifas cobradas sobre Serviços relacionados à Modalidade informada de Contas de Pagamento Pós-Pagas para pessoa jurídica. p.ex. '2ª via do Cartão de crédito'
Para as pessoas jurídicas, não há uma regulamentação específica sobre os serviços a serem prestados, como há para pessoas físicas";Texto;50;Mandatório;\w*\W*;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/fees/services/code;code;"Sigla de identificação do serviço relacionado à Modalidade de Contas de Pagamento Pós-Pagas para pessoa jurídica informada. p.ex. '2a VIA CARTÃO CRÉDITO' 
Para as pessoas jurídicas, não há uma regulamentação específica sobre os serviços a serem prestados, como há para pessoas físicas";Texto;30;Mandatório;\w*\W*;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/fees/services/chargingTriggerInfo;chargingTriggerInfo;"Fatos geradores de cobrança que incidem sobre as Modalidades inforrmadas de Contas de Pagamento Pós-Pagas para pessoa jurídica
Para as pessoas jurídicas, não há uma regulamentação específica sobre os serviços a serem prestados, como há para pessoas físicas.p.ex. 'Confecção e emissão de novo cartão de Crédito, restrito a casos de pedidos de reposição formulados pelo detentor do cartão, decorrente de perda, roubo, furto, danificação e outros motivos não imputáveis à instituição emitente'";Texto;300;Mandatório;\w*\W*;;1;N;N/A;
openBankingBrazil/<brand>/companies/businessCreditCards/fees/services/price/interval;interval;Faixas para cobrança de valores de tarifas por Serviço informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\w*\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;
