Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;;;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;N/A;;;;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelos  Canais de Atendimento Eletrônico (titular). p.ex. 'Empresa da Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A;;;;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo canal eletrônico - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;N/A;;;;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;N/A;;;;;
openBankingBrazil/<brand>/companies/channels/Identification/type;type;"Tipo de canal de atendimento:
'Internet banking'
'Mobile banking' 
'SAC'
'Ouvidoria'
'Chat'                         
'Outros' . p.ex. 'SIC'";Texto;30;Mandatório;\W*;" 'Internet banking'
 'Mobile banking' 
 'SAC'
 'Ouvidoria'
 'Chat'
 'Outros'";1;6;"O Tipo de Canal determina o Tipo de Acesso a ele relacionado: 
URL para acesso ao internet banking,
URL para aquisição do app , 
URL da central, 
URL do SAC, 
URL da ouvidoria, 
URL para chat
URL para outros ";;;;;
openBankingBrazil/<brand>/companies/channels/Identification/additionalInfo;additionalInfo;"Campo de texto livre para descrever quando o tipo de canal de atendimento for 
Outros";Texto;256;Opcional;\w*\W*;;0;1;Só será preenchido quando o tipo de canal de atendimento for Outros;;;;;
openBankingBrazil/<brand>/companies/channels/identification/url;url;Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;1024;Opcional;\w*\W*;;0;N;N/A;;;;;
openBankingBrazil/<brand>/companies/channels/service/codes;codes;"Enumeração de serviços disponíveis no Canal de 
Atendimento Eletrônico consultado:
'Abertura de contas'
'Recebimentos, pagamentos e transferências eletrônicas'
'Recebimentos e pagamentos de qualquer natureza'
Operações de crédito'
'Cartão de crédito'
'Operações de câmbio'
'Investimentos'
'Seguros'
'Outros'
O Atendimento as demandas de cliente se dividem em:
'Reclamação'
'Cancelamento'
'Informações'
'Falar com atendente'
Essa informação será retornada em um array.";Texto;50;Mandatório;\W*;" 'Abertura de contas'
'Recebimentos, pagamentos e transferências eletrônicas'
'Recebimentos e pagamentos de qualquer natureza'
'Operações de crédito'
'Cartão de crédito'
'Operações de câmbio'
'Investimentos'
'Seguros'
'Reclamação'
'Cancelamento'
'Informações'
'Falar com atendente'
'Outros'";1;13;N/A;;;;;
openBankingBrazil/<brand>/companies/channels/service/additionalInfo;additionalInfo;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;0;1;N/A;;;;;
;;;;;;;;;;;;;;;
