Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização das modalidades de Direitos Creditórios Descontados para Pessoas Físicas consultadas. p.ex.'Empresa da Organização A';Texto;80;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"O responsável pela comercialização das modalidades de Direitos Creditórios Descontados - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara
";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;NA;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/type;type;"Modalidades de Direitos Creditórios Descontados ofertados, conforme Circular 4015-Bacen. Direito creditório descontado é a antecipação de créditos relativos por ex. ao: desconto de duplicatas, desconto de cheques, antecipação de fatura de cartão de crédito
desconto de duplicatas: operações de crédito para adiantamento de recursos com base em fluxo de caixa futuro vinculado a duplicatas mercantis
desconto de cheques: operações de crédito para adiantamento de recursos com base em fluxo de caixa futuro vinculado a cheques custodiados
antecipação de fatura de cartão de crédito: operações de crédito para adiantamento de recursos  com base em fluxo de caixa futuro vinculado a direitos creditórios sob a forma de faturas de cartão de crédito
outros direitos creditórios descontados: operação  de crédito que permite antecipar o valor da venda a prazo dos produtos ou serviços mediante desconto de nota promissória
outros títulos descontados: demais títulos descontados, regulamentação própria ";Texto;70;Mandatório;;"DESCONTO_DUPLICATAS
DESCONTO_CHEQUES
ANTECIPACAO_FATURA_CARTAO_CREDITO
OUTROS_DIREITOS_CREDITORIOS_DESCONTADOS
OUTROS_TITULOS_DESCONTADOS





";1;5;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/name;name;Nomes das Tarifas cobradas sobre Serviços ofertados à Modalidade de Direitos Creditórios Descontados, para pessoa física. (Campo Livre). p.ex.  'Avaliação de Garantia Hipotecária, Avaliação de Propriedade Rural e Parecer Técnico para Prorrogação de Operações Rurais';Texto;50;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/code;code;Sigla de identificação do serviço relacionado à Modalidade de Direitos Creditórios Descontados informada, para pessoa física.(Campo Livre). ;Texto;30;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/chargingTriggerInfo;chargingTriggerInfo;"Fatos geradores de cobrança que incidem sobre as Modalidades deDireitos Creditórios Descontados informada, para pessoa física. 
(Campo Livre) ";Texto;2000;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/prices/interval;interval;Faixas para cobrança de valores de tarifas por produto/serviço informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/prices/value;value;"Valor da mediana da tarifa, relativa ao serviço ofertado, para pessoa física, sobre a base de clientes, informado no período. p.ex. '45.00'
(representa um valor monetário, p.ex.1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;4;4;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/prices/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;;moeda (ISO-4217);4;4;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/minimum/value;value;Valor mínimo cobrado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
