Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização das modalidades de Empréstimos para Pessoas Físicas consultadas. p.ex.'Empresa da Organização A';Texto;80;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"O responsável pela comercialização das modalidades de Empréstimos para Pessoas Físicas consultadas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara
";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;NA;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/personalLoans/type;type;"Modalidades de empréstimos ofertados para pessoas Físicas, conforme Circular 4015-Bacen. Segundo cartilha do Bacen: Empréstimo é um contrato entre o cliente e uma instituição financeira (banco, cooperativa de crédito, caixa econômica) pelo qual o cliente recebe uma quantia em dinheiro que deverá ser devolvida em prazo determinado, acrescida dos juros acertados. Os recursos obtidos no empréstimo não tem destinação específica. 
Adiantamento a depositante - É um crédito emergencial. É um serviço onde o banco cede ao cliente um crédito adicional para cobrir um débito quando sua conta não possui saldo, ou seja está com saldo insuficiente ou negativo 
Empréstimo-Crédito pessoal consignado -  operações de crédito com retenção de parcela do salário ou benefício do tomador, para o pagamento das prestações do empréstimo – desconto em folha de pagamento – nos termos da legislação em vigor
Empréstimo-Home equity - empréstimos pessoas físicas, garantidos por hipoteca ou por alienação fiduciária de bens imóveis residenciais, sem vinculação a aquisição de bens
Empréstimo-Microcrédito Produtivo Orientado - segundo PNMPO é o crédito concedido para financiamento das atividades produtivas, cuja metodologia será estabelecida em regulamento, observada a preferência do relacionamento direto com os empreendedores, admitido o uso de tecnologias digitais e eletrônicas que possam substituir o contato presencial
Empréstimo-Crédito pessoal não consignado -  operações de empréstimos às pessoas físicas, sem vinculação com aquisição de bem ou serviço e sem retenção de parcela do salário ou benefício do tomador para o pagamento das prestações do empréstimo
Empréstimo-Cheque especial - operações de crédito vinculadas à conta corrente, nas quais determinado limite de crédito é disponibilizado aos clientes para utilização de acordo com suas conveniências, sem necessidade de comunicação prévia à instituição financeira
Empréstimo-Conta garantida - operações de crédito rotativo, nas quais determinado limite de crédito é disponibilizado para utilização pelo cliente, através da simples movimentação da conta corrente e/ou solicitação formal à instituição financeira. As operações classificadas nessa modalidade não devem ter data definida para a amortização do saldo devedor, exceto a estabelecida para vigência do contrato



";Texto;70;Mandatório;;"ADIANTAMENTO_DEPOSITANTE
EMPRESTIMO_CREDITO_PESSOAL_CONSIGNADO
EMPRESTIMO_CREDITO_PESSOAL_NAO_CONSIGNADO
EMPRESTIMO_HOME_EQUITY
EMPRESTIMO_MICROCREDITO_PRODUTIVO_ORIENTADO
EMPRESTIMO_CHEQUE_ESPECIAL
EMPRESTIMO_CONTA_GARANTIDA



";1;7;NA;;
openBankingBrazil/<brand>/companies/personalLoans/fees/service/name;name;Nomes das Tarifas cobradas sobre Serviços ofertados à Modalidade de Empréstimo, para pessoa física. (Campo Livre). p.ex. 'Cheque  Especial';Texto;50;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/personalLoans/fees/service/code;code;Sigla de identificação do serviço relacionado à Modalidade de Empréstimo informada, para pessoa física.(Campo Livre). p ex. 'ChequeEspecial';Texto;30;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/personalLoans/fees/service/chargingTriggerInfo;chargingTriggerInfo;"Fatos geradores de cobrança que incidem sobre as Modalidades de Empréstimos informada, para pessoa física. p.ex.' Tarifa válida a partir de 06.01.2020, para novas contratações de Cheque Especial e Cheque Empresarial direcionado a clientes MEI'
'Tarifa válida a partir de 01.06.2020, para contratações de Cheque Especial e Cheque Empresarial direcionado a clientes MEI realizadas até 05.01.2020'
";Texto;2000;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/personalLoans/fees/service/prices/interval;interval;Faixas para cobrança de valores de tarifas por produto/serviço informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/personalLoans/fees/service/prices/value;value;"Valor da mediana da tarifa, relativa ao serviço ofertado, para pessoa física, sobre a base de clientes, informado no período. p.ex. '45.00'
(representa um valor monetário, p.ex.1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;4;4;NA;;
