Xpath;Nome ;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado
Json"
data/<account>/;;Conjunto de informações das Contas de: depósito à vista, poupança e de pagamento pré-paga;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<account>/balances/;;Traz as informações relativas aos saldos para  Contas de: depósito à vista, poupança e de pagamento pré-paga ;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<account>/balances/ispbCode;ispbCode;Código identificador atribuído pelo Banco Central do Brasil às instituições participantes do STR (Sistema de Transferência de reservas). O número-código substituiu o antigo código COMPE. Todos os participantes do STR, exceto as Infraestruturas do Mercado Financeiro (IMF) e a Secretaria do Tesouro Nacional, possuem um número-código independentemente de participarem da Centralizadora da Compensação de Cheques (Compe). O campo tem a anotação “n/a” (“não se aplica”) para os participantes do STR aos quais não é atribuído um número-código;Texto;8;Obrigatório;\d{8}|^NA$;;1;1;Não há restrição;;Texto
data/<account>/balances/branchCode;branchCode;Código da Agência detentora da conta. (Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, no exercício de atividades da instituição, não podendo ser móvel ou transitória);Texto;4;Obrigatório;\d{4}|^NA$;;1;1;Não há restrição;;Texto
data/<account>/balances/number;number;Número da conta;Texto;20;Obrigatório;\d{8}|^NA$;;1;1;Não há restrição;;Texto
data/<account>/balances/checkDigit;checkDigit;Dígito da conta;Texto;1;Obrigatório;\d{1}|^NA$;;1;1;Não há restrição;;Texto
data/<account>/balances/brandName;brandName;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<account>/balances/companyCnpj;companyCnpj;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;Texto
data/<account>/balances/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<account>/balances/currency;currency;"Moeda referente ao saldo informado, segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;;;Texto
data/<account>/balances/statementAccount/;;Lista os saldos referentes às contas de: depósito à vista, poupança ou de pagamento pré-paga;Lista;;Obrigatório;;;1;3;Preenchimento obrigatório se informado valor do saldo;;Lista
data/<account>/balances/statementAccount/type;type;"Enum que traz os tipos de saldo em conta: (vide enum) informados:
- Saldo disponível para utilização imediata. No caso de conta de depósito a vista, sem considerar cheque especial e investimentos atrelados a conta. Admite saldo negativo.
- Saldo bloqueado, não disponível para utilização imediata, por motivo de bloqueio apresentado para o cliente nos canais eletrônicos
- Saldo disponível com aplicação automática - corresponde a soma do saldo disponível acrescido do valor obtido a partir da aplicação automática";Enum;;Obrigatório;;"SALDO_DISPONIVEL
SALDO_BLOQUEADO
SALDO_DISPONIVEL_APLICACAO_AUTOMATICA";1;1;Não há restrição;;Enum
data/<account>/balances/statementAccount/amount;amount;Valor do Saldo, representado em valor monetário com 2 casas decimais. ;Número;12;Obrigatório;;;1;1;Não há restrição;aceita null;Número
