Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado
Json";;
data/<account>/;;Conjunto de informações das Contas de: depósito à vista, poupança e de pagamento pré-paga;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;;
data/<account>/overdraftlimits/;;Conjunto das informações relativas aos Limites referentes ao valor das operações de crédito (Cheque especial e Adiantamento a Depositantes) vinculadas à conta de depósito à vista ou conta corrente ;Objeto;;Condicional;;;;;Esta lista está relacionada, exclusivamente, à conta do tipo depósito à vista;;Lista;;
data/<account>/overdraftlimits/ispbCode;ispbCode;Código identificador atribuído pelo Banco Central do Brasil às instituições participantes do STR (Sistema de Transferência de reservas). O número-código substituiu o antigo código COMPE. Todos os participantes do STR, exceto as Infraestruturas do Mercado Financeiro (IMF) e a Secretaria do Tesouro Nacional, possuem um número-código independentemente de participarem da Centralizadora da Compensação de Cheques (Compe). O campo tem a anotação “n/a” (“não se aplica”) para os participantes do STR aos quais não é atribuído um número-código;Texto;8;Obrigatório;\d{8}|^NA$;;1;1;Não há restrição;;Texto;;
data/<account>/overdraftlimits/branchCode;branchCode;Código da Agência detentora da conta. (Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, no exercício de atividades da instituição, não podendo ser móvel ou transitória);Texto;4;Obrigatório;\d{4}|^NA$;;1;1;Não há restrição;;Texto;;
data/<account>/overdraftlimits/number;number;Número da conta;Texto;20;Obrigatório;\d{8}|^NA$;;1;1;Não há restrição;;Texto;;
data/<account>/overdraftlimits/checkDigit;checkDigit;Dígito da conta;Texto;1;Obrigatório;\d{1}|^NA$;;1;1;Não há restrição;;Texto;;
data/<account>/overdraftlimits/brandName;brandName;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto;;
data/<account>/overdraftlimits/companyCnpj;companyCnpj;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;Texto;;
data/<account>/overdraftlimits/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto;;
data/<account>/overdraftlimits/currency;currency;"Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Preenchimento obrigatório se informado valor da transação;;Texto;;
data/<account>/overdraftlimits//;;Lista dos valores referentes ao Limite de Cheque especial e ao adiantamento a depositante;Lista;;Obrigatório;;;1;3;Preenchimento obrigatório se informado valor do saldo;;Lista;;
data/<account>/overdraftlimits/balances/type;type;"Tipo de  saldo informado: (vide Enum)
- valor contratado no produto cheque especial
- valor utilizado do limite do cheque especial
- saldo a descoberto em conta de depósito à vista (relativo ao excesso do limite de cheque especial ou ao adiantamento a depositante)";ENUM;;Obrigatório;;"VALOR_CONTRATADO_LIMITE
VALOR_UTILIZADO_LIMITE
SALDO_DESCOBERTO";1;1;Não há restrição;;ENUM;;
data/<account>/overdraftlimits/balances/amount;amount;Valor do saldo. Expressa em valor monetário com 2 casas decimais. ;Número;12;Obrigatório;;;1;1;Não há restrição;aceita 'null';Número;;
