Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
GET /accounts/{accountId}/transactions;;Método para obter as transações da conta de depósito à vista, poupança ou pagamento pré-paga identificada por accountId mantida pelo cliente na instituição transmissora;;;;;;;;;;
data/;;Lista dos lançamentos referentes às transações realizadas e de lançamentos futuros para as contas de: depósito à vista, poupança e de pagamento pré-paga;Lista;;Obrigatório;;;1;N;Preenchimento obrigatório se informado valor do saldo;;Lista
data/completedAuthorisedPaymentType;completedAuthorisedPaymentType;"Indicador da transação: 
- Transação efetivada
- Lançamento futuro
 Vide enum";ENUM;;Obrigatório;;"TRANSACAO_EFETIVADA
LANÇAMENTO_FUTURO";1;1;Não há restrição;;ENUM
data/creditDebitType;creditDebitType;"Indicador do tipo de lançamento: 
- Crédito
- Débito
Vide enum";ENUM;;Obrigatório;;"CREDITO
DEBITO";1;1;Não há restrição;;ENUM
data/transactionIdentification;transactionIdentification;Campo livre que corresponde ao identificador da transação na instituição financeira ;Texto;60;Obrigatório;\w*\W*;;1;1;;;Texto
data/type;type;Tipo de Transação;ENUM;;Obrigatório;;"TED
DOC
PIX
TRANSFERENCIA_MESMA_INSTITUICAO
BOLETO
CONVENIO
ARRECADACAO
PACOTE_TARIFA_SERVICOS
TARIFA_SERVICOS_AVULSOS
FOLHA_PAGAMENTO
DEPOSITO
SAQUE
CARTAO
JUROS_CHEQUE_ESPECIAL
RENDIMENTO 
RECEBÍVEIS DE CARTÃO DE DÉBITO 
RECEBÍVEIS DE CARTÃO DE CRÉDITO
OUTRO
";1;1;;;ENUM
data/additionalInfo;additionalInfo;Campo livre, de preenchimento obrigatório para complementar informação, quando selecionado o tipo de transação: OUTRO ;Texto;30;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se Tipo de Transação selecionada for 'OUTRO';;Texto
data/amount;amount;Valor da transação. Expressa em valor monetário com 4 casas decimais.;Número;19;Obrigatório;;;1;1;Não aceita valor negativo;;Número
data/transactionDate;transactionDate;"Se indicador de transação:
TRANSACAO_EFETIVADA - corresponde a data de lançamento da transação
LANÇAMENTO_FUTURO - corresponde a data prevista de efetivação da transação";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;Texto
data/payerCnpjCpf;payerCnpjCpf;Identificação do Pagador da transação (Preencher com o CPF ou CNPJ, sem formatação);Texto;14;Obrigatório;^\d{11}$|^\d{14}$|^NA$;;1;1;Não há restrição;;Texto
data/payerPersonType;payerPersonType;"Identificação do Tipo de Pessoa do Pagador da transação. Vide Enum
Pessoa Natural - Informar CPF no campo “payerCnpjCpf”
Pessoa Jurídica - Informar CNPJ no campo “payerCnpjCpf”";ENUM;;Obrigatório;;"PESSOA_NATURAL
PESSOA_JURIDICA";1;1;Não há restrição;;ENUM
data/payerCompeCode;payerCompeCode;Código identificador atribuído pelo Banco Central do Brasil às instituições participantes do STR (Sistema de Transferência de reservas) referente ao Pagador da transação. O número-código substituiu o antigo código COMPE. Todos os participantes do STR, exceto as Infraestruturas do Mercado Financeiro (IMF) e a Secretaria do Tesouro Nacional, possuem um número-código independentemente de participarem da Centralizadora da Compensação de Cheques (Compe). O campo tem a anotação “n/a” (“não se aplica”) para os participantes do STR aos quais não é atribuído um número-código;Texto;3;Obrigatório;\d{3}|^NA$;;1;1;Não há restrição;;Texto
data/payerBranchCode;payerBranchCode;Código da Agência detentora da conta do Pagador. (Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, no exercício de atividades da instituição, não podendo ser móvel ou transitória);Texto;4;Obrigatório;\d{4}|^NA$;;1;1;Não há restrição;;Texto
data/payerNumber;payerNumber;Número da conta do Pagador;Texto;20;Obrigatório;^\d{8,20}$|^NA$;;1;1;Não há restrição;;Texto
data/payerCheckDigit;payerCheckDigit;Dígito da conta do Pagador;Texto;1;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/payeeCnpjCpf;payeeCnpjCpf;Identificação do Recebedor da transação (Preencher com o CPF ou CNPJ, sem formatação);Texto;14;Obrigatório;^\d{11}$|^\d{14}$|^NA$;;1;1;Não há restrição;;Texto
data/payeePersonType;payeePersonType;"Identificação do Tipo de Pessoa do Recebedor da transação. Vide Enum
Pessoa Natural - Informar CPF no campo “payerCnpjCpf”
Pessoa Jurídica - Informar CNPJ no campo “payerCnpjCpf”";ENUM;;Obrigatório;;"PESSOA_NATURAL
PESSOA_JURIDICA";1;1;Não há restrição;;ENUM
data/payeeCompeCode;payeeCompeCode;Código identificador atribuído pelo Banco Central do Brasil às instituições participantes do STR (Sistema de Transferência de reservas) referente ao Recebedor da transação. O número-código substituiu o antigo código COMPE. Todos os participantes do STR, exceto as Infraestruturas do Mercado Financeiro (IMF) e a Secretaria do Tesouro Nacional, possuem um número-código independentemente de participarem da Centralizadora da Compensação de Cheques (Compe). O campo tem a anotação “n/a” (“não se aplica”) para os participantes do STR aos quais não é atribuído um número-código;Texto;3;Obrigatório;\d{3}|^NA$;;1;1;Não há restrição;;Texto
data/payeeBranchCode;payeeBranchCode;Código da Agência detentora da conta do Recebedor. (Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, no exercício de atividades da instituição, não podendo ser móvel ou transitória);Texto;4;Obrigatório;\d{4}|^NA$;;1;1;Não há restrição;;Texto
data/payeeNumber;payeeNumber;Número da conta do Recebedor;Texto;20;Obrigatório;^\d{8,20}$|^NA$;;1;1;Não há restrição;;Texto
data/payeeCheckDigit;payeeCheckDigit;Dígito da conta do Recebedor;Texto;1;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
