Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/;;Conjunto de informações de operações de crédito contratadas;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/;;Conjunto de informações referentes à identificação da operação de crédito;Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/ContractId;ContractId;"Número padronizado do contrato -IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por, : 
- CNPJ da instituição: 8 (oito) posições iniciais;
- Modalidade da operação: 4 (quatro) posições;
- Tipo do cliente: 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- Código do cliente: O número de posições varia conforme o tipo do cliente:
1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- Código do contrato: 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.";Texto;67;Obrigatório;;;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/productName;productName;Denominação/Identificação do nome da Modalidade da Operação de Crédito divulgado ao cliente ;Texto;140;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/productType;productType;"Modalidades de crédito contratadas, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Enum)
Adiantamento a depositante, Direitos creditórios descontados antecipação fatura de cartão de crédito, direitos creditórios descontados desconto de cheques, direitos creditórios descontados desconto de duplicatas, direitos creditórios descontados outros direitos creditórios descontados, direitos creditórios descontados outros títulos descontados, empréstimo capital de giro prazo vencimento até 365 dias, empréstimo capital de giro prazo de vencimento superior a 365 dias, empréstimo capital de giro rotativo, empréstimo de cheque especial, empréstimo de conta garantida, empréstimo de crédito pessoal sem consignação, empréstimo de crédito pessoal consignado, empréstimo home equity, empréstimo microcrédito produtivo orientado, financiamento aquisição de bens outros bens, financiamento aquisição de bens veículos automotores, financiamento imobiliário do sistema financeiro habitação SFH, sistema financeiro da habitação SFI, financiamento microcrédito, financiamento rural comercialização, financiamento rural custeio, financiamento rural industrialização, financiamento rural investimento

";Enum;;Obrigatório;;"ADIANTAMENTO_A_DEPOSITANTE
DIREITOS_CREDITORIOS_DESCONTADOS_ANTECIPACAO_FATURA_CARTAO_CREDITO
DIREITOS_CREDITORIOS_DESCONTADOS_DESCONTO_CHEQUES
DIREITOS_CREDITORIOS_DESCONTADOS_DESCONTO_DUPLICATAS
DIREITOS_CREDITORIOS_DESCONTADOS_OUTROS_DIREITOS_CREDITORIOS_DESCONTADOS
DIREITOS_CREDITORIOS_DESCONTADOS_OUTROS_TITULOS_DESCONTADOS
EMPRESTIMO_CAPITAL_GIRO_PRAZO_VENCIMENTO_ATE_365_DIAS
EMPRESTIMO_CAPITAL_GIRO_PRAZO_VENCIMENTO_SUPERIOR_365_DIAS
EMPRESTIMO_CAPITAL_GIRO_ROTATIVO
EMPRESTIMO_CHEQUE_ESPECIAL
EMPRESTIMO_CONTA_GARANTIDA
EMPRESTIMO_CREDITO_PESSOAL_SEM_CONSIGNACAO
EMPRESTIMO_CREDITO_PESSOAL_CONSIGNADO
EMPRESTIMO_HOME_EQUITY
EMPRESTIMO_MICROCREDITO_PRODUTIVO_ORIENTADO
FINANCIAMENTO_AQUISICAO_BENS_OUTROS_BENS
FINANCIAMENTO_AQUISICAO_BENS_VEICULOS_AUTOMOTORES
FINANCIAMENTO_IMOBILIARIO_SISTEMA_FINANCEIRO_HABITACAO-SFH
FINANCIAMENTO_IMOBILIARIO_SISTEMA_FINANCEIRO_HABITACAO-SFI
FINANCIAMENTO-MICROCREDITO
FINANCIAMENTO_RURAL_COMERCIALIZACAO
FINANCIAMENTO_RURAL_CUSTEIO
FINANCIAMENTO_RURAL_INDUSTRIALIZACAO
FINANCIAMENTO_RURAL_INVESTIMENTO

";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/contractDate;contractDate;"Data de contratação da operação de crédito. Especificação 
RFC-3339";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/disbursementDate;disbursementDate; Data do Desembolso do valor contratado. Especificação RFC-3339;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/contractAmount;contractAmount;"Valor contratado da operação. Expresso em valor monetário com
2 casas decimais";Número;12;Obrigatório;;;1;1;Não há restrição;;Número;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
