Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;
data/<bankBorrowing>/;;Conjunto de informações de operações de crédito contratadas;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<bankBorrowing>/instalments/;;Conjunto de informações referentes às parcelas / prestações da operação de crédito contratada;Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto;
data/<bankBorrowing>/instalments/contractId;contractId;"Número padronizado do contrato -IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por, : 
- CNPJ da instituição: 8 (oito) posições iniciais;
- Modalidade da operação: 4 (quatro) posições;
- Tipo do cliente: 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- Código do cliente: O número de posições varia conforme o tipo do cliente:
1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- Código do contrato: 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.";Texto;67;Obrigatório;;;1;1;Não há restrição;;Texto;
data/<bankBorrowing>/instalments/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto;
data/<bankBorrowing>/instalments/totalNumberOfInstalments;totalNumberOfInstalments;Prazo Total em meses do contrato referente à Modalidade de Crédito informada;Número;3;Obrigatório;;;1;1;Não há restrição;;Número;
data/<bankBorrowing>/instalments/contractRemainingMonths;contractRemainingMonths;Prazo Remanescente em meses do contrato referente à Modalidade de Crédito informada;Número;3;Obrigatório;;;1;1;Não há restrição;;Número;
data/<bankBorrowing>/instalments/dueInstalments;dueInstalments;Quantidade de prestações a vencer. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero);Número;3;Obrigatório;;;1;1;Não há restrição;;Número;
data/<bankBorrowing>/instalments/pastDueInstalments;pastDueInstalments;Quantidade de prestações vencidas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero);Número;3;Obrigatório; ;;1;1;Não há restrição;;Número;
data/<bankBorrowing>/instalments/paidInstalments;paidInstalments;Quantidade de prestações pagas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero);Número;3;Obrigatório;;;1;1;Não há restrição;;Número;
data/<bankBorrowing>/instalments/balloonPayment/;;Conjunto de informações relativas às parcelas não regulares do contrato da modalidade de crédito consultada;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<bankBorrowing>/instalments/balloonPayment/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;Texto;
data/<bankBorrowing>/instalments/balloonPayment/instalments/;;Lista que traz as datas de vencimento e valor das parcelas não regulares  do contrato da modalidade de crédito consultada;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista;
data/<bankBorrowing>/instalments/balloonPayment/instalments/dueDate;dueDate;Traz a data de vencimento da parcela não regular  a vencer do contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto;
data/<bankBorrowing>/instalments/balloonPayment/instalments/amount;amount;Valor monetário da parcela não regular a vencer.  Expresso em valor monetário com 2 casas decimais;Número;12;Obrigatório;;;1;1;Não há restrição;aceita nulo;Texto;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
