Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;
data/<bankBorrowing>/;;Conjunto de informações de operações de crédito contratadas;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<bankBorrowing>/payments/;;Conjunto de informações dos pagamentos referentes às operações de crédito contratadas;Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto;
data/<bankBorrowing>/payments/contractId;contractId;"Número padronizado do contrato -IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por, : 
- CNPJ da instituição: 8 (oito) posições iniciais;
- Modalidade da operação: 4 (quatro) posições;
- Tipo do cliente: 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- Código do cliente: O número de posições varia conforme o tipo do cliente:
1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- Código do contrato: 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.";Texto;67;Obrigatório;;;1;1;Não há restrição;;Texto;
data/<bankBorrowing>/payments/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto;
data/<bankBorrowing>/payments/paidInstalments;paidInstalments;Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada;Número;3;Obrigatório;;;1;1;Não há restrição;;Número;
data/<bankBorrowing>/payments/nonRegulatedCharge/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;Texto;
data/<bankBorrowing>/payments/contractOutstandingBalance;contractOutstandingBalance;"Saldo devedor Remanescente, divulgado nos canais eletrônicos, do contrato referente à Modalidade de Crédito informada.
Expresso em valor monetário com 2 casas decimais";Número;12;Obrigatório;;;1;1;Não há restrição;;Texto;
data/<bankBorrowing>/payments/releases/;;Lista dos pagamentos realizados no período;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista;
data/<bankBorrowing>/payments/releases/paymentType;paymentType;"Tipo de pagamento que está sendo informado (Vide Enum)
- Parcela regular
- Parcela não regular
- Tarifa avulsa
- Encargo avulso";Enum;;Obrigatório;;"PARCELA_REGULAR
PARCELA_NAO_REGULAR
TARIFA_AVULSA
ENCARGO_AVULSO
PAGAMETNO_EXTRAORDINARIO_AMORTIZACAO";1;1;Não há restrição;;Enum;
data/<bankBorrowing>/payments/instalmentPeriodicity;instalmentPeriodicity;"Informação relativa à periodicidade regular das parcelas. (Vide Enum)
mensal, trimestral, semestral, anual";Número;3;Condicional; ;"SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL ";0;1;"Seleção obrigatória
 se Tipo de pagamento selecionado for 'PARCELA_REGULAR'";;Enum;
