Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' utilizada está em definição pelos participantes.;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelo Correspondente. p. ex. 'Empresa da Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pela dependência - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9.;1;1;N/A;
openBankingBrazil/<brand>/companies/contractors/name;name;Nome do contratante do serviço do correspondente. Ex. 'Empresa Contratante';Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/contractors/cnpjNumber;cnpjNumber;"Número completo do CNPJ do contratante do correspondente - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9.;1;1;N/A;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/identification/corporationName;corporationName;"Nome do Correspondente Bancário. Segundo Glossário do
Bacen: Correspondentes no pais são Empresas, integrantes ou não do Sistema Financeiro Nacional, contratadas por instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil para a prestação de serviços de atendimento aos clientes e usuários dessas instituições. Os correspondentes mais conhecidos são as lotéricas e o banco postal. Ex. 'Empresa Correspondente S.A.'";Texto;100;Mandatório;\w*\W*;;1;N;N/A;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/identification/groupName;groupName;"Nome do conglomerado ao qual pertence o agente bancário, por exemplo: 
""Companhia Brasileira de Distribuição""
""Empresa Brasileira de Correios e Telegrafos - ECT""
'Grupo Pão de Açúcar'";Texto;100;Opcional;\w*\W*;;0;1;N/A;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/identification/cnpjNumber;cnpjNumber;"Número completo do CNPJ do correspondente - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9.;1;1;N/A;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/postalAdress/streetType;streetType;Logradouro é o termo utilizado pelos Correios para designar uma localidade específica. O logradouro é composto pelo seu tipo seguido dos nomes oficiais. Os tipos de logradouro são: aeroporto, alameda, área, avenida, campo, chácara, colônia, condomínio, conjunto, distrito, esplanada, estação, estrada, fazenda, feira, jardim, ladeira, lago, lagoa ,largo, loteament, núcleo, parque, passarela, pátio, praça, quadra, recanto, residencial, rodovia, rua, setor, sítio, travessa, trecho, trevo, vale, vereda, via, viaduto, viela, vila;Texto;10;Mandatório;\w*\W*;Os tipos de logradouro são: 'aeroporto', 'alameda', 'área', 'avenida', 'campo', 'chácara', 'colônia', 'condomínio', 'conjunto', 'distrito', 'esplanad'a, 'estação', 'estrada', 'fazenda', 'feira', jardim', 'ladeira', 'lago', 'lagoa' 'largo', 'loteamento', 'núcle'o, 'parque', 'passarela', 'pátio', 'praça', 'quadra', 'recanto', 'residencial', 'rodovia', 'rua', 'setor', 'sítio', 'travessa',' trecho', 'trevo', 'vale', 'vereda', 'via', 'viaduto', 'viela', 'vila';1;1;N/A;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/postalAdress/streetName;streetName;Os logradouros são identificados pelo nome oficial atribuído pelo município ao qual estão vinculados. Exemplo: Avenida Paulista, sendo “Avenida” o tipo e “Paulista” o nome do logradouro;Texto;50;Mandatório;\w*\W*;;1;1;N/A;
