Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<Brand>/Name;Name;"Nome do conglomerado proprietário da dependência (titular). Ex. 'Organização Bradesco'; 'Itaú Unibanco'";Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Identification/Type;Type;"Tipo da dependência, segundo a regulamentação do Bacen, 
na Resolução Nº 4072, de 26 de abril de 2012:
- Agência é a dependência destinada ao atendimento aos clientes e ao público em geral no exercício de atividades da instituição, não podendo ser móvel ou transitória;
  Dependência de instituições financeiras e demais instituições, autorizadas a funcionar pelo Banco Central do Brasil, destinada à prática das atividades para as quais a instituição esteja regularmente habilitada.
- Posto de Atendimento é a dependência subordinada a agência  ou à sede da instituição financeira, destinada ao atendimento ao público no exercício de uma ou mais de suas atividades, podendo ser fixo ou móvel. Segundo Art.15. Os Postos de Atendimento Bancário (PAB), Postos Avançados de Atendimento (PAA), Postos de Atendimento Transitórios (PAT), Postos de Compra de Ouro (PCO), Postos de Atendimento Cooperativo (PAC), Postos de Atendimento de Microcrédito (PAM), Postos Bancários de Arrecadação e Pagamento (PAP) e os Postos de Câmbio atualmente em funcionamento serão considerados PA.
- Posto de Atendimento Eletrônico é a dependência constituída por um ou mais terminais de autoatendimento, subordinada a agência ou à sede da instituição, destinada à prestação de serviços por meio eletrônico, podendo ser fixo ou móvel, permanente ou transitório";Texto;35;Mandatório;\w*\W*;"Agência
Posto de atendimento
Posto de atendimento eletrônico";1;3;N/A;
openBankingBrazil/<Brand>/Branches/Identification/Identification;Identification;Código identificador da dependência. Ex. Para Tipo Agência: '0933', '1382'.;Texto;5;Mandatório;^\w*\W*$;;1;1;;
openBankingBrazil/<Brand>/Branches/Identification/CheckDigit;CheckDigit;Dígito verificador do código da dependência;Texto;1;Opcional;^\w^\W$;;;;;
openBankingBrazil/<Brand>/Branches/Identification/Name;Name;"Nome da dependência, exemplo: 'Agência Itaú do Centro Empresarial'; 
Mais exemplos de agências:
          SAO PAULO-SP
          ARARI-MA                                                             
          METRO JOAO PESSOA-MA
 
Exemplos de posto de atendimento:
          PA-OROCO
          PAA JOVIANIA
          PAB VIRTUAL PRIME PCA FLORIANO";Texto;100;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Identification/BrandCNPJRoot;BrandCNPJRoot;"Raiz do CNPJ da instituição responsável pela dependência - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Os oito primeiros números à esquerda (XX. XXX. XXX) formam a ""raiz"" ou base, que identifica a empresa de forma única";Texto;10;Mandatório;(\d{2})\.(\d{3})\.(\d{3});Número de 0 a 9 e o caracter ponto (.).;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Identification/BrandCNPJBranch;BrandCNPJBranch;"Filial do CNPJ da instituição responsável pela dependência - corresponde aos quatro seguintes números 
de ordem das filiais da empresa. Normalmente a empresa matriz tem este campo preenchido com '0001' ";Número;4;Mandatório;\d{4};Números de 0 a 9;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Identification/BrandCNPJCheckDigit;BrandCNPJCheckDigit;"2 dígitos de verificação do CNPJ da instituição responsável pela dependência, corresponde aos dois últimos números . 
A composição do CNPJ completo pode ser assim representada, conforme ex. '50.685.362/0002-35'";Número;2;Mandatório;\d{2};Números de 0 a 9;1;1;O número verificador do CNPJ, composto por dois dígitos, é calculado em duas etapas utilizando o módulo de divisão 11, utilizando-se os 12 primeiros números do CNPJ - inscrição e filial;
openBankingBrazil/<Brand>/Branches/PostalAdress/StreetType;StreetType;Logradouro é o termo utilizado pelos Correios para designar uma localidade específica. O logradouro é composto pelo seu tipo seguido dos nomes oficiais. Os tipos de logradouro são: aeroporto, alameda, área, avenida, campo, chácara, colônia, condomínio, conjunto, distrito, esplanada, estação, estrada, fazenda, feira, jardim, ladeira, lago, lagoa ,largo, loteament, núcleo, parque, passarela, pátio, praça, quadra, recanto, residencial, rodovia, rua, setor, sítio, travessa, trecho, trevo, vale, vereda, via, viaduto, viela, vila;Texto;10;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/PostalAdress/StreetName;StreetName;Os logradouros são identificados pelo nome oficial atribuído pelo município ao qual estão vinculados. Exemplo: Avenida Paulista, sendo “Avenida” o tipo e “Paulista” o nome do logradouro;Texto;50;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/PostalAdress/BuildingNumber;BuildingNumber;O número especifica o imóvel. Ocorrem, raras vezes, de o imóvel não ter número. Para os logradouros sem numeração recomenda-se a utilização da sigla 's/n'.;Texto;6;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/PostalAdress/AdditionalInfo;AdditionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';Texto;30;Opcional;\w*\W*;;0;1;N/A;
openBankingBrazil/<Brand>/Branches/PostalAdress/District;District;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. Exemplo: 'Paraíso';Texto;50;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/PostalAdress/TownName;TownName;"Localidade: O nome da localidade corresponde à designação
da cidade ou município no qual o endereço está localizado. Ex. 'São Paulo'
";Texto;50;Mandatório;\w*\W*;;1;1;N/A;
