Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado
Json";
data/<brand>/;;Objeto que define a Organização controladora do grupo de instituições financeiras;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto;
data/<brand>/companies/;;Companies traz uma lista de todas as instituições da Marca;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista;
data/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelo Cadastro. p. ex. 'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto;
data/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;Texto;
data/<brand>/companies/businessCustomers/;;Objeto que agrupa as informações Cadastrais do Cliente Pessoa jurídica;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<brand>/companies/businessCustomers/qualification/;;Objeto que reúne as informações relativas ao processo de qualificação. Considera-se qualificação as informações que permitam as instituições apreciar, avaliar, caracterizar e classificar o cliente com a finalidade de conhecer o seu perfil de risco e sua capacidade econômico-financeira ;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<brand>/companies/businessCustomers/qualification/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto;
data/<brand>/companies/businessCustomers/qualification/updateDateTime;updateDateTime;"Data e hora da atualização do bloco de Qualificação, conforme especificação RFC-3339. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto;
data/<brand>/companies/businessCustomers/qualification/economicActivities/;;Lista dos demais códigos relativos às demais atividades econômicas da empresa,  segundo padrão CNAE (Classificação Nacional de Atividades Econômicas). De preenchimento obrigatório, se houver;Texto;;Obrigatório;;;1;1;;;Lista;
data/<brand>/companies/businessCustomers/qualification/economicActivities/code;code;Traz o código do ramo da atividade da empresa consultada, segundo padrão CNAE (Classificação Nacional de Atividades Econômicas);Número;7;Obrigatório;;;1;1;Obrigatóro trazer o código da atividade econômica principal;;Número;
data/<brand>/companies/businessCustomers/qualification/economicActivities/isMain;isMain;Informa se é o principal ramo de atividade;Booleano;;Obrigatório;;"true
false";1;1;Somente uma ocorrêcia relativa ao código da atividade econômica principal deve trazer o valor 'true';;Booleano;
data/<brand>/companies/businessCustomers/qualification/informedRevenue/;;Objeto que agrupa informações relativas ao faturamento da empresa informado;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<brand>/companies/businessCustomers/qualification/informedRevenue/frequency;frequency;"Traz a frequência ou período do faturamento informado. ""O faturamento é calculado a partir de todos os benefícios que a empresa conseguiu com sua atividade econômica em um determinado período. Esses benefícios são os rendimentos ou ganhos da organização através de suas vendas ou serviços prestados"". Vide enum ";Enum;;Obrigatório;;"DIARIA
SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL";1;1;Não há restrição;;Enum;
data/<brand>/companies/businessCustomers/qualification/informedRevenue/amount;amount;"Valor do faturamento informado. Expresso em valor monetário com 2 casas decimais. 
""O faturamento corresponde à soma das vendas de produtos e/ou serviços em determinado período. Ou seja, é todo o dinheiro que entra no caixa da empresa, a partir da venda de produtos, mercadorias e serviços"". ";Número;12;Obrigatório;;;1;1;Não há restrição;Aceita null;Número;
data/<brand>/companies/businessCustomers/qualification/informedRevenue/currency;currency;"Moeda referente ao valor do faturamento, segundo modelo 
ISO-4217. p.ex.'BRL' ";Texto;3;Condicional;;moeda (ISO-4217);0;1;Não há restrição;;Texto;
data/<brand>/companies/businessCustomers/qualification/informedRevenue/year;year;"Ano de referência do Faturamento, conforme especificação RFC-3339. 
p.ex. 2014";Número;4;Obrigatório;;;1;1;Não há restrição;;Número;
data/<brand>/companies/businessCustomers/qualification/informedPatrimony/;;Objeto que agrupa informações relativas ao patrimônio da empresa;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;
data/<brand>/companies/businessCustomers/qualification/informedPatrimony/amount;amount;"Valor do patrimônio informado. Expresso em valor monetário com 2 casas decimais.  
""Patrimônio é o conjunto de bens vinculado a uma pessoa ou a uma entidade""";Número;12;Obrigatório;;;1;1;Não há restrição;Aceita null;Número;
data/<brand>/companies/businessCustomers/qualification/informedPatrimony/currency;currency;Moeda referente ao valor do patrimônio, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Condicional;;moeda (ISO-4217);0;1;Não há restrição;;Texto;
data/<brand>/companies/businessCustomers/qualification/informedPatrimony/year;year;"Data do Patrimônio, conforme especificação
RFC-3339. p.ex. 2014-03-19";Número;4;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Número;
