Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações do Título de Capitalização;Lista;;Obrigatório;;;0;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao Título de Capitalização;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;""
/data/participantIdentification/participantName;participantName;"Nome da Instituição, pertencente à marca, responsável pela comercialização do produto/serviço.
p.ex.'Empresa da Organização A'";Texto;120;Obrigatório;;;1;1;"";Não permitido;string;""
/data/participantIdentification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;;;1;1;"";Não permitido;string;""
/data/societyIdentification;societyIdentification;Conjunto de informações relativas ao Título de Capitalização;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/societyIdentification/name;name;"Nome da Sociedade Seguradora. 
p. ex. ‘Sociedade A'";Texto;80;Obrigatório;;;1;1;"";Não permitido;string;ACME cap da ACME seguros
/data/societyIdentification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;;;1;1;"";Não permitido;string;12345678901234
/data/product;product;Conjunto de informações relativas aos Títulos de Capitalização;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/product/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;ACMEcap
/data/product/productId;productId;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;01234589_cap
/data/product/modality;modality;"1. Tradicional: A modalidade tradicional tem por objetivo restituir ao titular, ao final do prazo de vigência, no mínimo, o valor total das contribuições efetuadas pelo subscritor, desde que todas as contribuições previstas tenham sido realizadas nas datas programadas. (Res CNSP 384/20)
2. Instrumento de Garantia: A modalidade tem por objetivo propiciar que a provisão matemática para capitalização do título de capitalização seja utilizada para assegurar o cumprimento de obrigação assumida em contrato principal pelo titular perante terceiro. (Res CNSP 384/20)
3. Compra Programada: A modalidade compra programada garante o valor de resgate em moeda corrente nacional, sendo disponibilizada ao assim desejar e sem qualquer outro custo, pelo recebimento do bem e/ou serviço referenciado no subsidiado por acordos comerciais celebrados com indústrias, atacadistas, empresas comerciais ou prestadores de serviço. (Res CNSP 384/20)
4. Popular: A modalidade popular tem por objetivo propiciar a capitalização da contribuição e a participação do titular em sorteios, sem que haja devolução integral do valor pago. (Res CNSP 384/20)
5. Incentivo: A modalidade incentivo tem por objetivo a vinculação a um evento promocional de caráter comercial instituído pelo subscritor para alavancar a venda de seu(s) produto(s) ou serviços ou para fidelizar seus clientes. (Res CNSP 384/20)
6. Filantropia Premiável: A modalidade filantropia premiável é destinada ao subscritor interessado em contribuir com entidades beneficentes de assistências sociais, certificadas nos termos da legislação vigente, e participar de sorteio(s). (Res CNSP 384/20)";Texto;24;Obrigatório;;"TRADICIONAL 
INSTRUMENTO_DE_GARANTIA 
COMPRA_PROGRAMADA 
POPULAR 
INCENTIVO 
FILANTROPIA 
PREMIAVEL";1;1;"";Não permitido;string;TRADICIONAL
/data/product/paymentTerm;paymentTerm;"Pagamento efetuado ao subscritor à sociedade de capitalização para aquisição do título de capitalização, podendo ser única, periódica ou mensal.
1. Pagamento Único
2. Pagamento Mensal
3. Pagamento Periódico";Texto;19;Obrigatório;;"PAGAMENTO_UNICO 
PAGAMENTO_MENSAL 
PAGAMENTO_PERIODICO";1;1;"";Não permitido;string;PAGAMENTO_UNICO
