Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Natureza;"Tipo Dado
Json"
data/<creditCardAccount>/;;"Conjunto de informações de conta de 
pagamento pós-paga";Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<creditCardAccount>/bill/;;"Conjunto das informações referentes a fatura
 associada à conta de  pagamento pós-paga";Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto
data/<creditCardAccount>/bill/billIdentification;billIdentification;Informação que identifica a fatura que está sendo consultada;Texto;40;Obrigatório; ;;1;1;Não há restrição;;Texto
data/<creditCardAccount>/bill/currency;currency;"Moeda referente ao valor de todas  transações relacionadas com  fatura da conta de pagamento pós-paga, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Condicional;statementAccount;moeda (ISO-4217);0;1;Preenchimento obrigatório se informado valor monetário;;Texto
data/<creditCardAccount>/bill/dueDate;dueDate;"Data de vencimento da Fatura, que 
aparece para pagamento pelo cliente";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;Texto
data/<creditCardAccount>/bill/paymentDate;paymentDate;"Data efetiva de quando o Pagamento 
da fatura foi realizado ";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;Texto
data/<brand>/companies/creditCardAccounts/bill/paymentMode;paymentMode;"Traz as formas de efetivação do 
pagamento realizado: (Vide Enum)
- Débito em conta corrente
- Boleto bancário
- Averbação em folha
- PIX";Enum;;Obrigatório;;"DEBITO_CONTA_CORRENTE           
BOLETO_BANCARIO               
AVERBACAO_FOLHA                
PIX
";1;1;Não há restrição;;Enum
data/<brand>/companies/creditCardAccounts/bill/payments/;;"Lista que traz os valores relativos aos 
pagamentos da Fatura da conta de 
pagamento pós-paga";Lista;;Obrigatório;;;1;2;Valor Total da Fatura é seleção obrigatória sempre e a segunda opção corresponde ao valor efetivamente pago da fatura;;Lista
data/<brand>/companies/creditCardAccounts/bill/payments/valueType;valueType;"Traz os tipos dos valores relativos aos 
 pagamentos da fatura da conta de pagamento pós-paga: (Vide Enum)
- Valor total da fatura
- Valor de pagamento mínimo da fatura
- Valor de pagamento total da fatura 
- Valor de pagamento da fatura com parcelamento
- Outro Valor pago na fatura";Enum;;Obrigatório;;"VALOR_TOTAL_FATURA
VALOR_PAGAMENTO_MINIMO_FATURA
VALOR_PAGAMENTO_TOTAL_FATURA
VALOR_PAGAMENTO_FATURA_PARCELADO
OUTRO_VALOR_PAGO_FATURA";1;1;Não há restrição;;Enum
data/<brand>/companies/creditCardAccounts/bill/payments/amount;amount;"Valor da transação. Expresso em valor 
monetário com 2 casas decimais";Número;12;Obrigatório;;;1;1;Não há restrição;;Texto
data/<brand>/companies/creditCardAccounts/bill/payments/financeCharges/;;"Lista dos encargos cobrados na fatura
";Lista;;Obrigatório;;;1;N;;;Lista
data/<brand>/companies/creditCardAccounts/bill/payments/financeCharges/type;type;"Traz a denominação dos Encargos que 
incidem na fatura da conta de pagamento pós-paga. (Vide Enum)
- Juros remuneratórios por atraso no pagamento da fatura
- Multa por atraso no pagamento da fatura
- Juros de mora por atraso no pagamento da fatura
- IOF
- Crédito rotativo
- Parcelamento da fatura
- Empréstimo
- Outros
- NA";Enum;;Obrigatório;;"JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA
MULTA_ATRASO_PAGAMENTO_FATURA
JUROS_MORA_ATRASO_PAGAMENTO_FATURA
IOF
CREDITO_ROTATIVO
PARCELAMENTO_FATURA
EMPRÉSTIMO
OUTROS
NA";1;1;Não há restrição;;Enum
data/<brand>/companies/creditCardAccounts/bill/payments/financeCharges/additionalInfo;additionalInfo;"Campo livre, de preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'";Texto;60;Condicional;\w*\W*;;0;1;"Preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'";;Texto
data/<brand>/companies/creditCardAccounts/bill/payments/financeCharges/amount;amount;"Valor cobrado pelo encargo. Expresso em
valor monetário com 2 casas decimais";Número;12;Obrigatório;;;1;1;Não há restrição;aceita null;Texto
data/<brand>/companies/creditCardAccounts/bill/payments/financeCharges/transactionName;transactionName;Campo de livre preenchimento. Literal usada na instituição financeira para identificar a transação;Texto;40;Condicional;;;0;1;Preenchimento obrigatório se existir a transação a ser informada ;;Texto
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
