Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;;;
GET /accounts/{creditCardAccountId};;Método para obter os dados de identificação da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;;;;;;;;;;;;;
data/;;Conjunto de informações de conta de pagamento pós-paga;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;;;
data/creditCardAccountId;creditCardAccountId;Um identificador único e imutável usado para identificar o recurso da conta de pagamento pós paga. Este identificador não tem significado para o proprietário da conta;Texto;100;Obrigatório;;;1;1;Não há restrição;;String;;;
data/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;String;;;
data/name;name;Denominação/Identificação do nome da conta de pagamento pós-paga (cartão). Conforme CIRCULAR Nº 3.680,BCB, 2013: 'conta de pagamento pós-paga: destinada à execução de transações de pagamento que independem do aporte prévio de recursos' p.ex. 'Cartão Universitário Bem-Vindo';Texto;50;Obrigatório;\w*\W*;;1;1;Não há restrição;;String;;;
data/productType;productType;"Categoria atribuída a um cartão de pagamento, sob uma certa denominação, que lhe agrega um conjunto de vantagens, diferenciando-o de acordo com o perfil do portador. p.ex. 'Classic Nacional', 'Classic Internacional'
Essa categoria é definida pelo BACEN e está contida no documento de nome 'Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento Emissores'";Texto;26;Obrigatório;;"CLASSIC_NACIONAL
CLASSIC_INTERNACIONAL
GOLD
PLATINUM
INFINITE
ELECTRON
STANDARD_NACIONAL
STANDARD_INTERNACIONAL
ELETRONIC
BLACK
REDESHOP
MAESTRO_MASTERCARD_MAESTRO
GREEN
BLUE
BLUEBOX
PROFISSIONAL_LIBERAL
CHEQUE_ELETRONICO
CORPORATIVO
EMPRESARIAL
COMPRAS
BASICO_NACIONAL
BASICO_INTERNACIONAL
NANQUIM
GRAFITE
MAIS
OUTROS
";1;1;Não há restrição;;Enum;;;
data/productAdditionalInfo;productAdditionalInfo;Informações complementares se tipo de Cartão 'OUTROS';Texto;50;Condicional;\w*\W*;;0;1;"Campo deve ser 
obrigatoriamente preenchido se selecionado 'OUTROS'
";;String;;;
data/creditCardNetwork;creditCardNetwork;"Categoria de Bandeiras de Cartões de Crédito (Instituidor do arranjo de pagamento).
Bandeira é a detentora de todos os direitos e deveres da utilização da marca estampada no cartão, inclusive as bandeiras pertencentes aos emissores. p.ex. ""American Express"", ""Diners Club""
Essas bandeiras estão definidas em documento do BACEN de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores""";Texto;17;Obrigatório;;"VISA
MASTERCARD 
AMERICAN_EXPRESS 
DINERS_CLUB 
HIPERCARD 
BANDEIRA_PROPRIA 
CHEQUE_ELETRONICO 
ELO 
OUTRAS";1;1;Não há restrição;;Enum;;;
data/networkAdditionalInfo;networkAdditionalInfo;Texto livre para especificar categoria de bandeira marcada como 'OUTRAS';Texto;50;Condicional;\w*\W*;;0;1;"Se no campo 
'creditCardNetwork' vier selecionado o campo 'OUTRAS' é mandatório que esteja preenchido o 'additonalInfo' com o nome da bandeira";;String;;;
data/paymentMethod/;;"Conjunto de informações relativas aos Meios de Pagamento da Conta de pagamento pós-paga
 ";Lista;;Obrigatório;;;1;N;Não há restrição;;Lista;;;
data/paymentMethod/identificationNumber;identificationNumber;Número de identificação do cartão:  corresponde aos 4 últimos dígitos ;Número;4;Obrigatório;;;1;1;Não há restrição;;Number;;;
data/paymentMethod/isMultipleCreditCard ;isMultipleCreditCard ;"Para Pessoa Natural, informa se a conta de Pagamento pós paga é Múltipla. ""Cartões  denominados múltiplos possuem tanto a função crédito quanto a débito, devendo o proprietário do cartão, no momento de sua utilização, informar se o pagamento é na função crédito (que leva a um pagamento futuro, por meio de uma fatura do cartão de crédito) ou na função débito"".
Fonte: Tipos de cartão - Banco Central do Brasilwww.bcb.gov.br › port ›folder_serie_I_tipos_de_
cartao 
";Texto;;Condicional;;"false
true";0;1;"Obrigatório para
 Pessoa Natural";;String;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
