Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado
 Json"
data/<creditCardAccount>/;;Conjunto de informações de conta de pagamento pós-paga;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<creditCardAccount>/limits/;;Conjunto de informações referentes aos limites da conta de  pagamento pós-paga;Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto
data/<creditCardAccount>/limits/CreditCardAccountId;CreditCardAccountId;Identificador para conta pagamento pós-paga é o creditCardAccountId, chave artificial que permite identificar a conta pagamento pós-paga especifica;Texto;40;Obrigatório;;;1;1;Não há restrição;;Texto
data/<creditCardAccount>/limits/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<creditCardAccount>/limits/brandName;brandName;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<creditCardAccount>/limits/companyCnpj;companyCnpj;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;Texto
data/<creditCardAccount>/limits/currency;currency;"Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Condicional;statementAccount;moeda (ISO-4217);0;1;Preenchimento obrigatório se informado valor da transação;;Texto
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/;;Lista dos Limites (Ttoal e por Modalidade) da conta de pagamento pós-paga;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/creditLineLimitType;creditLineLimitType;"Indicador do tipo de limite: 
- Limite de Crédito Total
- Limite de Crédito por Modalidade de operação
 Vide enum";Enum;;Obrigatório;;"LIMITE_CREDITO_TOTAL
LIMITE_CREDITO_MODALIDADE_OPERACAO";1;1;Não há restrição;;Lista
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/consolidationType;consolidationType;"Indicador que permite informar se o valor do limite é:
consolidado ou individual (vide Enum)";Enum;;Obrigatório;;"CONSOLIDADO
INDIVIDUAL";1;1;;;Enum
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/lineName;lineName;Modalidade de operação - Lista de   Modalidades de Operação relacionadas às Contas de Pagamento Pós-Pagas  (Vide Enum) ;Enum;;Condicional;;"CREDITO_A_VISTA
SAQUE_CREDITO_BRASIL
SAQUE_CREDITO_EXTERIOR
EMPRESTIMO_CARTAO_CONSIGNADO
OUTRAS
";0;1;"Se aplica somente
 se for Limite Modalidade de operação";;Enum
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/lineNameAdditionalInfo;lineNameAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTRAS' em nameLine ;Texto;;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName;;Texto
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/limitType;limitType;Indicador que permite informar se a operação de crédito é: com limite ou com limite flexível (vide Enum);Enum;;Condicional;;"COM_LIMITE
LIMITE_FLEXIVEL";0;1;"Se aplica somente
 se for Limite Modalidade de operação";;Enum
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/balances/;;Lista que traz os valores relativos aos saldos do Limite de crédito total da conta de pagamento pós-paga;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/balances/type;type;"Traz os tipos dos valores relativos aos saldos  do Limite de crédito total da conta de pagamento pós-paga: (Vide Enum)
- Valor Total 
- Valor utilizado o
- Valor disponível ";Enum;;Obrigatório;;"VALOR_TOTAL
VALOR_UTILIZADO
VALOR_DISPONIVEL";1;1;Não há restrição;;Enum
data/<brand>/companies/creditCardAccounts/limits/statementCreditCardAccounts/balances/amount;amount;Valor do limite de crédito informado (total ou por modalidade), relativo ao tipo selecionado. Expresso em valor monetário com 2 casas decimais;Número;12;Obrigatório;;;1;1;Não há restrição;;Texto
;;;;;;;;;;;;
