Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
GET /accounts/;;Método para obter a lista de contas de pagamento pós-paga mantidas pelo cliente na instituição transmissora e para as quais ele tenha fornecido consentimento;;;;;;;;;;
data/;;Conjunto de informações das Contas de pagamento pós paga;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/creditCardAccountId;creditCardAccountId;"Identifica de forma única a conta pagamento pós-paga do cliente; mantendo as regras de imutabilidade dentro da instituição transmissora. ";Texto;100;Obrigatório;"^[a-zA-Z0-9][a-zA-Z0-9\-]{0;99}$";;1;1;Não há restrição;;String
data/brandName;brandName;"Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos; benefícios e serviços uniformes aos clientes";Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/companyCnpj;companyCnpj;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ; sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;String
data/name;name;"Denominação/Identificação do nome da conta de pagamento pós-paga (cartão). Conforme CIRCULAR Nº 3.680;BCB; 2013: 'conta de pagamento pós-paga: destinada à execução de transações de pagamento que independem do aporte prévio de recursos' p.ex. 'Cartão Universitário Bem-Vindo'";Texto;50;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/productType;productType;"Categoria atribuída a um cartão de pagamento; sob uma certa denominação; que lhe agrega um conjunto de vantagens; diferenciando-o de acordo com o perfil do portador. p.ex. 'Classic Nacional'; 'Classic Internacional'
Essa categoria é definida pelo BACEN e está contida no documento de nome 'Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento Emissores'";Texto;26;Obrigatório;;"CLASSIC_NACIONAL
CLASSIC_INTERNACIONAL
GOLD
PLATINUM
INFINITE
ELECTRON
STANDARD_NACIONAL
STANDARD_INTERNACIONAL
ELETRONIC
BLACK
REDESHOP
MAESTRO_MASTERCARD_MAESTRO
GREEN
BLUE
BLUEBOX
PROFISSIONAL_LIBERAL
CHEQUE_ELETRONICO
CORPORATIVO
EMPRESARIAL
COMPRAS
BASICO_NACIONAL
BASICO_INTERNACIONAL
NANQUIM
GRAFITE
MAIS
OUTROS";1;1;Não há restrição;;Enum
data/productAdditionalInfo;productAdditionalInfo;Informações complementares se tipo de Cartão 'OUTROS';Texto;50;Condicional;\w*\W*;;0;1;"Campo deve ser 
obrigatoriamente preenchido se selecionado 'OUTROS'";;String
data/creditCardNetwork;creditCardNetwork;"Categoria de Bandeiras de Cartões de Crédito (Instituidor do arranjo de pagamento).
Bandeira é a detentora de todos os direitos e deveres da utilização da marca estampada no cartão; inclusive as bandeiras pertencentes aos emissores. p.ex. ""American Express""; ""Diners Club""
Essas bandeiras estão definidas em documento do BACEN de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento Emissores""";Texto;17;Obrigatório;;"VISA
MASTERCARD 
AMERICAN_EXPRESS 
DINERS_CLUB 
HIPERCARD 
BANDEIRA_PROPRIA 
CHEQUE_ELETRONICO 
ELO 
OUTRAS";1;1;Não há restrição;;Enum
data/networkAdditionalInfo;networkAdditionalInfo;Texto livre para especificar categoria de bandeira marcada como 'OUTRAS';Texto;50;Condicional;\w*\W*;;0;1;"Se no campo 
'creditCardNetwork' vier selecionado o campo 'OUTRAS' é mandatório que esteja preenchido o 'additonalInfo' com o nome da bandeira";;String
