Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
GET /accounts/{creditCardAccountId}/transactions;;Método para obter a lista de transações da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;;;;;;;;;;
GET /accounts/{creditCardAccountId}/bills/{billId}/transactions;;Método para obter a lista de transações da fatura identificada por billId pertencente à conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;;;;;;;;;;
data/;;Conjunto de informações referentes a lista de transações da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/transactions/;;Lista que traz os valores relativos às transações da conta de pagamento pós-paga;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/transactions/transactionId;transactionId ;Código ou identificador único prestado pela instituição que mantém a conta para representar a transação individual.;String;100;Opcional;"^[a-zA-Z0-9][a-zA-Z0-9\-]{0;99}$ ";;0;1;Não há restrição;;String
data/transactions/identificationNumber;identificationNumber;"Número de identificação do cartão: corresponde aos 4 últimos dígitos para PF; preencher com um identificador para PJ; com as caracteristicas definidas para os ID´s no Open Banking.";Texto;100;Obrigatório;"^[a-zA-Z0-9][a-zA-Z0-9\-]{0;99}$";;1;1;Não há restrição;;String
data/transactions/lineName;lineName;Modalidade de operação - Lista de Modalidades de Operação relacionadas às Contas de Pagamento Pós-Pagas (Vide Enum) ;Texto;28;Obrigatório;;"CREDITO_A_VISTA
CREDITO_PARCELADO
SAQUE_CREDITO_BRASIL
SAQUE_CREDITO_EXTERIOR
EMPRESTIMO_CARTAO_CONSIGNADO
OUTROS";0;1;"Se aplica somente
se for Limite Modalidade de operação";;Enum
data/transactions/transactionName;transactionName;Campo de livre preenchimento. Literal usada na instituição financeira para identificar a transação;Texto;40;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/transactions/billId;billId;Informação que identifica a fatura onde consta a transação informada ;Texto;100;Opcional;"^[a-zA-Z0-9][a-zA-Z0-9\-]{0;99}$ ";;1;1;Não há restrição;;String
data/transactions/creditDebitType;creditDebitType;Informa se a transação corresponde a um lançamento a crédito ou a débito (vide Enum);Texto;7;Obrigatório;;"CREDITO
DEBITO";1;1;Não há restrição;;Enum
