Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Natureza;"Tipo Dado
Json"
data/<brand>/;;Objeto que define a Organização controladora do grupo de instituições financeiras;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/;;Companies traz uma lista de todas as instituições da Marca;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelo Cadastro. p. ex. 'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;Texto
data/<brand>/companies/creditCardAccounts/;;Objeto que agrupa as informações de conta de pagamento pós-paga;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/creditCardAccounts/bill/;;objeto que agrupa as informações referentes a fatura da conta de  pagamento pós-paga;Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto
data/<brand>/companies/creditCardAccounts/bill/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<brand>/companies/creditCardAccounts/bill/updateDateTime;updateDateTime;Data e hora da atualização das informações de conta pós-paga, conforme especificação RFC-3339;Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<brand>/companies/creditCardAccounts/bill/currency;currency;"Moeda referente ao valor de todas  transações relacionadas com  fatura da conta de pagamento pós-paga, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Condicional;statementAccount;moeda (ISO-4217);0;1;Preenchimento obrigatório se informado valor da transação;;Texto
data/<brand>/companies/creditCardAccounts/bill/dueDate;dueDate;Data de vencimento da Fatura;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;Texto
data/<brand>/companies/creditCardAccounts/bill/averageDate;averageDate;Data efetiva de quando o Pagamento da fatura foi realizado ;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;Texto
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/;;Lista que traz os valores relativos aos pagamentos da Fatura da conta de pagamento pós-paga;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/balances/type;type;"Traz os tipos dos valores relativos aos pagamentos da fatura da conta de pagamento pós-paga: (Vide Enum)
- Valor total da fatura
- Valor de pagamento mínimo da fatura
- Valor de pagamento da fatura com parcelamento";Enum;;Obrigatório;;"VALOR_TOTAL_FATURA
VALOR_PAGAMENTO_MINIMO_FATURA
VALOR_PAGAMENTO_FATURA_PARCELAMENTO
";1;1;Não há restrição;;Enum
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/balances/paymentType;paymentType;"Traz as formas de efetivação do pagamento realizado: (Vide Enum)
- Débito em conta corrente
- Boleto bancário
- Averbação em folha
- PIX";Enum;;Obrigatório;;"DEBITO_CONTA_CORRENTE
BOLETO_BANCARIO
AVERBACAO_FOLHA
PIX
";1;1;Não há restrição;;Enum
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/balances/amount;amount;Valor da transação. Expresso em valor monetário com 2 casas decimais;Número;12;Obrigatório;;;1;1;Não há restrição;aceita null;Texto
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/fees/;;Lista dos encargos cobrados na fatura;Lista;;Condicional;;;0;N;"Preenchimento 
obrigatório se houver encargos";;Lista
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/fees/type;type;"Traz a denominação dos Encargos que incidem na fatura da conta de pagamento pós-paga. (Vide Enum)
- Juros remuneratórios por atraso no pagamento da fatura
- Multa por atraso no pagamento da fatura
- Juros de mora por atraso no pagamento da fatura
- IOF
- Crédito rotativo
- Parcelamento da fatura
- Empréstimo
- Outros";Enum;;Obrigatório;;"JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA
MULTA_ATRASO_PAGAMENTO_FATURA
JUROS_MORA_ATRASO_PAGAMENTO_FATURA
IOF
CREDITO_ROTATIVO
PARCELAMENTO_FATURA
EMPRÉSTIMO
OUTROS";1;1;Não há restrição;;Enum
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/fees/additionalInfo;additionalInfo;"Campo livre, de preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'";Texto;60;Condicional;\w*\W*;;0;1;"Preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'";;Texto
data/<brand>/companies/creditCardAccounts/bill/statementCreditCardAccounts/fees/amount;amount;Valor cobrado pelo encargo. Expresso em valor monetário com 2 casas decimais;Número;12;Obrigatório;;;1;1;Não há restrição;aceita null;Texto
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
