Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Objeto que reúne as informações relativas ao processo de qualificação. Considera-se qualificação as informações que permitam as instituições apreciar, avaliar, caracterizar e classificar o cliente com a finalidade de conhecer o seu perfil de risco e sua capacidade econômico-financeira;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/updateDateTime;updateDateTime;Data e hora da atualização do bloco, conforme especificação RFC-3339;Date Hora;20;Obrigatório;;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z
/data/economicActivities;economicActivities;Lista dos demais códigos relativos às demais atividades econômicas da empresa, segundo padrão CNAE (Classificação Nacional de Atividades Econômicas). De preenchimento obrigatório, se houver;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/economicActivities/code;code;Traz o código do ramo da atividade principal da empresa consultada, segundo padrão CNAE (Classificação Nacional de Atividades Econômicas);Número;7;Obrigatório;^\d{7}$|^NA$;;1;1;"";Não permitido;number;8599604
/data/economicActivities/isMain;isMain;Indica se é o ramo principal de atividade da empresa quando true e se é o ramo secundário quando false.;Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;true
/data/informedRevenue;informedRevenue;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/informedRevenue/frequency;frequency;"Traz a frequência ou período do faturamento informado.
O faturamento é calculado a partir de todos os benefícios que a empresa conseguiu com sua atividade econômica em um determinado período. Esses benefícios são os rendimentos ou ganhos da organização através de suas vendas ou serviços prestados.";Texto;;Obrigatório;;"DIARIA 
SEMANAL 
QUINZENAL 
MENSAL 
BIMESTRAL 
TRIMESTRAL 
SEMESTRAL 
ANUAL 
SEM_FREQUENCIA_FATURAMENTO_INFORMADO 
OUTROS";1;1;"";Não permitido;string;DIARIA
/data/informedRevenue/frequencyAdditionalInfo;frequencyAdditionalInfo;Texto livre para complementar informação relativa ao patrimonio.;Texto;100;Condicional;[\w\W\s]*;;0;1;" Preencher quando frequency for igual OUTROS.
";Não permitido;string;Informações adicionais
/data/informedRevenue/amount;amount;"Valor do patrimônio informado. Expresso em valor monetário com 4 casas decimais.
Patrimônio é o conjunto de bens vinculado a uma pessoa ou a uma entidade.";Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.04
/data/informedRevenue/currency;currency;Moeda referente ao valor do patrimônio, segundo modelo ISO-4217.;Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;"";Não permitido;string;BRL
/data/informedRevenue/year;year;Ano de referência do Patrimônio, conforme especificação RFC-3339.;Número;4;Opcional;;;0;1;"";Permitido;number;2010
/data/informedPatrimony;informedPatrimony;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/informedPatrimony/amount;amount;"Valor do patrimônio informado. Expresso em valor monetário com 4 casas decimais.
Patrimônio é o conjunto de bens vinculado a uma pessoa ou a uma entidade.";Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.04
/data/informedPatrimony/currency;currency;Moeda referente ao valor do patrimônio, segundo modelo ISO-4217.;Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;"";Não permitido;string;BRL
/data/informedPatrimony/date;date;Data de referência do Patrimônio, conforme especificação RFC-3339.;Data;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$|^NA$;;1;1;"";Não permitido;string;2021-05-21
