Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<Brand>/name;name;Nome da marca que disponibiliza os Canais de Atendimento Eletrônico (titular). Ex.  'Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/name;name;Nome da Instituição, pertencente à organização, responsável pela Dependência. Ex. 'Empresa da Organização A';Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo canal eletrônico - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Os oito primeiros números à esquerda (XX. XXX. XXX) formam a ""raiz"" ou base, que identifica a empresa de forma única. Ex. '50.685.362'. Os 4 próximos números indicam filial. Os últimos dois dígitos são para o número verificador do CNPJ, calculado em duas etapas utilizando o módulo de divisão 11, utilizando-se os 12 primeiros números do CNPJ - inscrição e filial.
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9.;1;1;N/A;
openBankingBrazil/<Brand>/companies/channels/Identification/type;type;"Tipo de canal de atendimento:
1 'Internet banking'
2 'Mobile banking' 
3 'Central telefônica banking'
4 'SAC'
5 'Ouvidoria'
6 'Chat'";Enum;2;Mandatório;^\d{1,2}$;"1 'Internet banking'
2 'Mobile banking' 
3 'Central telefônica banking'
4 'SAC'
5 'Ouvidoria'
6 'Chat'";1;6;"Números de 0 a 9.
O Tipo de Canal determina o Tipo de Acesso a ele relacionado: 
1. URL para acesso ao internet banking,
2. URL para aquisição do app , 
3. telefone/URL da central, 
4. telefone/URL do SAC, 
5. telefone/URL da ouvidoria, 
6. telefone/URL para chat";
openBankingBrazil/<Brand>/companies/channels/identification/phones/countryCode;countryCode;Número de DDI (Discagem Direta Internacional) para  telefone de acesso ao Canal - se houver. Ex. '55';Texto;2;Opcional;^\d{2}$;;0;N;N/A;
openBankingBrazil/<Brand>/companies/channels/identification/phones/areaCode;areaCode;Número de DDD (Discagem Direta à Distância) para  telefone de acesso ao Canal - se houver. Ex. '19';Texto;2;Opcional;^\d{2}$;;0;N;N/A;
openBankingBrazil/<Brand>/companies/channels/identification/phones/number;number;"Número de telefone de acesso ao canal. Ex:' 4004-4828', '99878-5342', '0800-778-7788' 
";Texto;13;Opcional;^(([0-9]{4,5})-([0-9]{4}))|(([0-9]{4})-([0-9]{3})-([0-9]{4}))$;;0;N;N/A;
openBankingBrazil/<Brand>/companies/channels/identification/phones/additionalInfo;additionalInfo;"Mensagem complementar necessária para o agrupamento da identificação do telefone. Exemplos relativos ao prenchimento do agrupmento telefone: 
DDI '55'; DDD '11', '40044828, 'Para clientes no exterior'
DDI ' ', DDD ' ', 40044828', ""Para regiões metropolitanas'
DDI ' ', DDD ' ', 40044828', ""Para demais localidades'";Texto;50;Opcional;\w*\W*;;0;N;N/A;
openBankingBrazil/<Brand>/companies/channels/identification/url;url;Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking';Texto;1024;Opcional;\w*\W*;;0;N;N/A;
openBankingBrazil/<Brand>/companies/channels/service/codes;codes;"Enumeração de serviços disponíveis no Canal de 
Atendimento Eletrônico consultado:
1 'Abertura de contas'
2 'Recebimentos, pagamentos e transferências eletrônicas'
3 'Recebimentos e pagamentos de qualquer natureza
Operações de crédito'
4 'Cartão de crédito'
5 'Operações de câmbio'
6 'Investimentos'
7 'Seguros'
Essa informação será retornada em um array.";Enum;2;Mandatório;^\d{1,2}$;"1 'Abertura de contas'
2 'Recebimentos, pagamentos e transferências eletrônicas'
3 'Recebimentos e pagamentos de qualquer natureza'
4 'Operações de crédito'
5 'Cartão de crédito'
6 'Operações de câmbio'
7 'Investimentos'
8 'Seguros'";1;7;N/A;
openBankingBrazil/<Brand>/companies/channels/service/additionalInfo;additionalInfo;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;1;1;N/A;
;;;;;;;;;;;
;;;;;;;;;;;
