;bankBorrowing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;contract;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;interestRates; ; ; ; ; ;contractedFees;;;;;;financeCharges;;; 
;ipocCode;requestDateTime;productName;productType;productSubType;contractDate;disbursementDate;contractAmount;currency;dueDate;"instalment
Periodicity";"firstInstalment
DueDate";"totalNumber
OfInstalments";"paid
Instalments";CET;amortizationSchedule;taxType;"interestRate
Type";"tax
Periodicity";calculation;"referentialRate
IndexerType";"referentialRate
IndexerSubType";"referentialRateIndexer
AdditionalInfo";"preFixed
Rate";"postFixed
Rate";additionalInfo;feeName;feeCode;feeChargeType;feeCharge;feeAmount;feeRate;ChargeType;ChargeAdditionalInfo;ChargeRate;cnpjConsignee
1;"92792126019929279212650822221989319252576
";2020-01-05T08:30:00Z';AD ;ADIANTAMENTO_A_DEPOSITANTES;ADIANTAMENTO_A_DEPOSITANTES;2018-01-05T08:30:00Z';2018-01-15T08:30:00Z';26000.00';BRL';2028-01-15T08:30:00Z';SEMANAL;2018-02-15';130';73';0.2900';SAC ;EFETIVA;SIMPLES;AA'; 1.21/25;PRE_FIXADO;TJLP; ;0.6000';0.5500'; ;Excesso em Conta;EXCESSO_CONTA;ÚNICA;MINIMO;50.00; ;JUROS_REMUNERATORIOS_POR_ATRASO; ;0.0700'; 
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"60266408090126026640833616786368109676465
";2020-02-13T08:30:00Z';Desconto Fatura Cartão Crédito ;DIREITOS_CREDITORIOS_DESCONTADOS;CREDITO_PESSOAL_SEM_CONSIGNACAO;2017-02-13T08:30:00Z';2017-02-23T08:30:00Z';100000.00';BRL';2027-02-23T08:30:00Z';QUINZENAL;2017-03-23';60';10';0.2400';PRICE;NOMINAL;COMPOSTO;AM';2.30/360;POS_FIXADO;TR_TBF; ;0.0100';0.0800'; ;TARIFA_MENSAL;TRF ;POR_PARCELA;MAXIMO ;50.00; ;MULTA_ATRASO_PAGAMENTO ; ;0.0100'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"87461192032128746119246910476531896531253
";2020-03-16T08:30:00Z';Desconto de Cheques;DIREITOS_CREDITORIOS_DESCONTADOS;HOME_EQUITY;2019-03-16T08:30:00Z';2019-03-26T08:30:00Z';297720.00';BRL';2029-03-26T08:30:00Z';MENSAL;2019-04-26';180';53';0.2800';SAM;EFETIVA;SIMPLES;AA';3.30/365;POS_FIXADO;LIBOR; ;0.6000';0.5500'; ;TARIFA_MENSAL;TRF ;ÚNICA;FIXO;50.00; ;JUROS_MORA_ATRASO; ;0.0700'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
