;bankBorrowing;;;;;;
;instalments;;;;;;
;requestDateTime;contractRemainingMonths;dueInstalments;pastDueInstalments;balloonPayment;;
;;;;; ;instalments;
;;;;;currency;dueDate;amount
1;2020-01-05T08:30:00Z';57';57';73';BRL';2020-01-10';200.00'
 ;;;;;;;
2;2020-02-13T08:30:00Z';50';50';10';BRL';2020-0-15';500.00'
;;;;;;;
3;2020-03-16T08:30:00Z';127';127';53';BRL';2020-0-25';1654.00'
;;;;;;;
4;2020-04-19T08:30:00Z';42';42';108';BRL';2020-04-30';2000.00'
;;;;;;;
5;2020-05-22T08:30:00Z';60';60';60';BRL';2020-05-30';1590.00'
;;;;;;;
6;2020-06-27T08:30:00Z';57';57';73';BRL';2020-05-30';200.00'
;;;;;;;
7;2020-08-25T08:30:00Z';50';50';10';BRL';2020-08-30';500.00'
;;;;;;;
8;2020-09-22T08:30:00Z';127';127';53';BRL';2020-09-25';1654.00'
;;;;;;;
9;2020-10-29T08:30:00Z';42';42';108';BRL';2020-10-30';2000.00'
;;;;;;;
10;2020-11-11T08:30:00Z';60';60';60';BRL';2020-11-20';1590.00'
