; ;creditCardAccount;;;;;;;;;;;;;;
; ;;;;;bill;;;;;;;;;;
; ;;;;; ; ; ; ;;payments;;;;;
; ;;;;; ; ; ; ;;;;financeCharges;;;
;Exemplo;creditcardAccountId;"bill
Identification";brandName;companyCnpj;requestDateTime;currency;dueDate;paymentDate;paymentMode;valueType;amount;type;additionalInfo;amount;"transaction
Indentification"
;1;XXZTR3459087;3459087XXZTR; 'Organização A';21128159000166';2020-07-21T08:30:00Z';BRL';2021-03-05';2021-03-03';DEBITO_CONTA_CORRENTE;VALOR_TOTAL_FATURA;1000.00';NA;;0.00';
;;;;;;;;;;;VALOR_PAGAMENTO_TOTAL_FATURA;1000.00';;;;
;;;;;;;;;;;;;;;;
;2;ASBCR22987345933;229873ASBCR; Organização A1' ;30817625000101';2020-07-21T08:30:00Z';BRL';2021-03-15';2021-03-17';PIX';VALOR_TOTAL_FATURA;567.43';OUTROS;SAQUE UTILIZANDO A FUNÇÃO CRÉDITO;17.00';CVFDT789650
;;;;;; ; ; ; ; ;VALOR_PAGAMENTO_MINIMO;96.46'; ; ; ; 
;;;;;;;;;;;;;;;;
;3;TTDF9873459229;9873459TTDF; 'Organização B' ;22034751000161';2020-07-21T08:30:00Z';BRL';2021-03-20';2021-03-18';AVERBACAO_FOLHA;VALOR_TOTAL_FATURA;3876.00';JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA;;6.59';
;;;;;; ; ; ; ; ;VALOR_PAGAMENTO_MINIMO_FATURA;659.00';MULTA_ATRASO_PAGAMENTO_FATURA; ;8.73; 
;;;;;;;;;;; ;;;;;
;4;XBCS22678907;22678XBCS; 'Organização B1';22735911000108';2020-07-21T08:30:00Z';BRL';2021-03-25';2021-03-24';BOLETO_BANCARIO;VALOR_TOTAL_FATURA;873.00';NA;;0.00';
;;;;;; ; ; ; ; ;OUTRO_VALOR_FATURA;250.00; ; ; ; 
