 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
 ; ;brand;;;;;;;;;;;;;;;
 ; ; name;companies;;;;;;;;;;;;;;
 ; ;;personalCustomers;;;;;;;;;;;;;;
 ; ;;;;qualification;;;;;;;;;;;;
 ; ;;;;;;informedIncome;;;;informedPatrimony;;;;;;
 ;Exemplo;; name; cnpjNumber;requestDateTime; updateDateTime;frequency;amount;currency;date;amount;currency;year;occupationCode;occupationDescription;;
 ;1; 'Organização A'; 'Empresa A' ;21128159000166';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';DIARIA;3500.00';BRL';2020-12-01';50000.00';BRL';2010;RECEITA_FEDERAL;01';;
 ;; ;;;;;;;;;;;;; ;;
 ;2; 'Organização A1'; 'Empresa A1' ;30817625000101';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';SEMANAL;1000.00';BRL';2020-11-21';100000.00';BRL';2018;CBO;212405';;
;;;;;;;;;;;;;;;;;
 ;3; 'Organização B'; 'Empresa B' ;22034751000161';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';QUINZENAL;3000.00';BRL';2020-10-01';20000.00';BRL';2019;OUTRO;'PROFESSOR';;
;;;;;;;;;;;;;;;;;
 ;4; 'Organização B1'; 'Empresa B1' ;22735911000108';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';MENSAL;8000.00';USD';2020-09-01';4100.00';BRL';2019;RECEITA_FEDERAL;41';;
;;;;;;;;;;;;;;;;;
 ;5; 'Organização C'; 'Empresa C' ;79424399000198';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';BIMESTRAL;30000.00';BRL';2020-08-01';5250.00';BRL';2020;CBO;2235-05';;
;;;;;;;;;;;;;;;;;
 ;6; 'Organização C1'; 'Empresa C1' ;60030188000142';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';TRIMESTRAL;108000.00';BRL';2020-12-23';8000.00';BRL';2017;CBO;2144-25';;
;;;;;;;;;;;;;;;;;
 ;7; 'Organização D'; 'Empresa D' ;68005525000153';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';SEMESTRAL;5000.00';BRL';2020-09-01';1000.00';CAD';2016;CBO;2124-25';;
;;;;;;;;;;;;;;;;;
 ;8; 'Organização D1'; 'Empresa D1' ;69677545000133';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';ANUAL;2000.00';BRL';2020-09-05';1000.00';BRL';2015;OUTRO;'DIARISTA';;
;;;;;;;;;;;;;;;;;
 ;9; 'Organização E'; 'Empresa E ' ;06437130000172';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';MENSAL;1750.00';BRL';2020-09-05';1800.00';BRL';2011;RECEITA_FEDERAL;01';;
;;;;;;;;;;;;;;;;;
 ;10; 'Organização E1'; 'Empresa E1' ;59854754000151';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';SEMESTRAL;60000.00';BRL';2020-09-01';8250.00';BRL';2001;CBO;2235-05';;
