Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações referentes aos pagamentos realizados de uma operação de crédito de adiantamento a depositantes;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/paidInstalments;paidInstalments;Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada.;Número;3;Obrigatório;;;1;1;"";Permitido;number;73
/data/contractOutstandingBalance;contractOutstandingBalance;Saldo devedor Remanescente, divulgado nos canais eletrônicos, do contrato referente à Modalidade de Crédito informada. Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;"";Não permitido;number;100000.04
/data/releases;releases;Lista dos pagamentos realizados no período;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/paymentId;paymentId;Identificador de pagamento de responsabilidade de cada Instituição transmissora.;Texto;100;Opcional;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;0;1;"";Não permitido;string;XlthLXpBLVowLTldW2EtekEtWjAtOVwtXXswLDk5fSQ
/data/releases/isOverParcelPayment;isOverParcelPayment;Identifica se é um pagamento pactuado (false) ou avulso (true).;Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;true
/data/releases/instalmentId;instalmentId;Identificador de parcela, de responsabilidade de cada Instituição transmissora.;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;WGx0aExYcEJMVm93TFRsZFcyRXRla0V0V2pBdE9Wd3RYWH
/data/releases/paidDate;paidDate;Data efetiva do pagamento referente ao contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21
/data/releases/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL'.
Todos os valores monetários informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/releases/paidAmount;paidAmount;"Valor do pagamento referente ao  contrato da modalidade de crédito consultada.
Expresso em valor monetário com até 4 casas decimais.";Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;"";Não permitido;number;100000.04
/data/releases/overParcel;overParcel;Objeto das tarifas e encargos que foram pagos fora da parcela.;Objeto;;Obrigatório;;;1;1;"";Permitido;object;
/data/releases/overParcel/fees;fees;Lista das tarifas que foram pagas fora da parcela, só para pagamento avulso.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/overParcel/fees/feeName;feeName;Denominação da Tarifa pactuada;Texto;140;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Reavaliação periódica do bem
/data/releases/overParcel/fees/feeCode;feeCode;Sigla identificadora da tarifa pactuada;Texto;140;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;aval_bem
/data/releases/overParcel/fees/feeAmount;feeAmount;Valor monetário da tarifa pactuada no contrato.;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;" Preenchimento obrigatório quando a forma de cobrança for: Mínimo, Máximo ou Fixo
";Não permitido;number;100000.04
/data/releases/overParcel/charges;charges;Lista dos encargos que foram pagos fora da parcela.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/overParcel/charges/feeName;feeName;Denominação da Tarifa avulsa paga fora da parcela;Texto;250;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Reavaliação Periódica do Bem
/data/releases/overParcel/charges/feeCode;feeCode;Sigla identificadora da tarifa avulsa fora da parcela;Texto;140;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;avaliação do bem
/data/releases/overParcel/charges/feePaidDate;feePaidDate;Data efetiva do pagamento da tarifa  conforme especificação RFC-3339. p.ex. 2014-03-19;Texto;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2020-01-10
/data/releases/overParcel/charges/feeAmount;feeAmount;Traz o valor do pagamento da tarifa avulsa fora da parcela. Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;"";Não permitido;number;100000.04
