Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Objeto de identificação do participante OB.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da Marca reportada pelo participante do Open Banking.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/participantIdentification/name;name;Nome da Instituição, pertencente à Marca, responsável pela Dependência.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/participantIdentification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição responsável pela dependência o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica.;Texto;14;Obrigatório;[\d]{14};;1;1;"";Não permitido;string;12345678901234
/data/name;name;"Nome da tarifa cobrada sobre o serviço de credenciamento, para pessoa física/jurídica.
1. Taxa de Desconto na Modalidade Crédito
2. Taxa de Desconto na Modalidade Débito";Texto;;Obrigatório;;"TAXA_DE_DESCONTO_NA_MODALIDADE_CREDITO 
TAXA_DE_DESCONTO_NA_MODALIDADE_DEBITO";1;1;"";Não permitido;string;TAXA_DE_DESCONTO_NA_MODALIDADE_CREDITO
/data/code;code;Sigla da Tarifa cobrada sobre o Serviço de Credenciamento informado.;Texto;;Obrigatório;;"MDR_CREDITO 
MDR_DEBITO";1;1;"";Não permitido;string;MDR_CREDITO
/data/price;price;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/price/interval;interval;Identificação do intervalo a ser exibido.;Texto;;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA 
4_FAIXA";1;1;"";Não permitido;string;1_FAIXA
/data/price/value;value;"";Número;;Obrigatório;;;1;1;"";Não permitido;number;0.0203
/data/price/rate;rate;"";Número;;Obrigatório;;;1;1;"";Não permitido;number;0.5
/data/chargingTriggerInfo;chargingTriggerInfo;Recebimento através de transação de cartão.;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/minimum;minimum;"";Número;;Opcional;;;0;1;"";Não permitido;number;
/data/maximum;maximum;"";Número;;Opcional;;;0;1;"";Não permitido;number;
