Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participant/name;name;Nome do participante do Open Banking.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participant/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/society;society;Conjunto de informações relativas à seguradora do produto de open insurance;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/society/name;name;Nome da Sociedade Seguradora.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Society A1
/data/society/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Produto A
/data/code;code;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;0001
/data/coverages;coverages;Coberturas;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/coverages/type;type;É o conjunto dos riscos cobertos elencados na apólice. (RESOLUÇÃO CNSP Nº 341/2016). Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas, conforme Tabela Tipo de Cobertura;Texto;75;Obrigatório;;"ROUBO_TOTAL_OU_PARCIAL 
FURTO_TOTAL_OU_PARCIAL 
ABALROAMENTO 
DESPESAS_NECESSARIAS_SOCORRO_SALVAMENTO 
DESPESAS_HIGIENIZACAO_VEÍCULO 
DESPESAS_EXTRAORDINARIAS 
DESPESAS_EXTRAORDINARIAS_MOTO 
DESPESAS_MEDICO_HOSPITALARES 
DESPESAS_ODONTOLOGICAS 
CREDITOS_CORRIDAS_APLICATIVOS_TRANSPORTE 
COBERTURA_ADICIONAL_PARA_OPCIONAIS 
DESPESAS_EXTRAS_INDENIZACAO_INTEGRAL 
DESPESAS_EXTRAS_EM_INDENIZACAO_PARCIAL 
SEGURO_GARANTIDO_CASO_INDENIZACAO_INTEGRAL 
REPARO_RAPIDO_SUPERMARTELINHO 
ISENCAO_FRANQUIA 
DESCONTO_FRANQUIA 
COBERTURA_VEICULO_REBOCADO 
DANOS_CORPORAIS_RCFV 
DANOS_MATERIAIS_RCFV 
DANOS_MORAIS_RCFV 
DANOS_ESTETICOS_RCFV 
EXTENSAO_COBERTURA_DANOS_CORPORAIS_RCFV 
DANOS_CORPORAIS_RCFC 
DANOS_MATERIAIS_RCFC 
DANOS_MORAIS_RCFC 
DANOS_ESTETICOS_RCFC 
CARTA_VERDE_DANOS_CORPORAIS 
CARTA_VERDE_DANOS_MATERIAIS 
APP_DMHO_PASSAGEIRO 
APP_INVALIDEZ_PERMANENTE_POR_PASSAGEIRO 
APP_MORTE_PASSAGEIRO 
APP_INVALIDEZ_PERMANENTE_TOTAL_PARCIAL 
VIDROS 
RETROVISORES 
FAROIS 
LANTERNAS 
DESPESAS_LOCACAO 
ROUBO_FURTO_RADIO 
ROUBO_FURTO_CD 
ROUBO_FURTO_KIT_GAS 
ROUBO_FURTO_TACOGRAFO 
TAXIMETRO 
LUMINOSO 
CARROCERIA 
EQUIPAMENTOS_ESPECIAIS_OPCIONAIS 
ACESSORIOS 
BLINDAGEM 
COBERTURA_BENS_DEIXADOS_INTERIOR_VEICULO 
COBERTURA_VEICULOS_ADAPTADOS_DEFICIENTES_FISICOS 
EIXO_ADICIONAL 
EQUIPAMENTOS 
REPARO_AIR_BAG_REPOSICAO 
COBERTURA_PARA_CHOQUE 
ENVELOPAMENTO 
DIARIA_INDISPONIBILIDADE 
MOTOR_TRANSMISSÃO 
MOTOR_TRANSMISSAO_DIRECAO_SUSPENSAO_FREIOS 
MOTOR_TRANSMISSAO_DIRECAO_SUSPENSAO_FREIOS_SISTEMA_ELETRICO_AR_CONDICIONADO 
COMPLETA 
CONFORTO 
SIMPLES 
GARANTIA_FRANQUIA_AUTOMOVEL 
OUTRAS_COBERTURAS_AUTO";1;1;"";Não permitido;string;ROUBO_TOTAL_OU_PARCIAL
/data/coverages/detail;detail;Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos a ser feito por cada participante, conforme domínios da lista padronizada de coberturas (macro).;Texto;1000;Opcional;;;0;1;"";Não permitido;string;NA
/data/coverages/permissionSeparateAcquisition;permissionSeparateAcquisition;"Indicação se a cobertura permite contratação separada (por cobertura selecionada) conforme domínios abaixo:
 1. true
 2. false";Booleano;;Opcional;;;0;1;"";Não permitido;boolean;true
/data/coverages/attributes;attributes;Atributos da cobertura;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/coverages/attributes/minLMI;minLMI;"No caso de contratação de várias coberturas numa mesma apólice, é comum o contrato estabelecer, para cada uma delas, um distinto limite máximo de responsabilidade por parte da seguradora. Cada um deles é denominado o Limite Máximo de Indenização (ou a Importância Segurada (IS), de cada cobertura contratada. Ressalte-se que estes limites são independentes, não se somando nem se comunicando. (Circular SUSEP 291/05); Lista com valor mínimo de LMI/IS aceito pela sociedade para cada cobertura. Em reais (R$) Importante: Campo de valor financeiro relacionado à cobertura que possui o campo. Quando não houver o campo, enviar o valor zerado.";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/coverages/attributes/minLMI/amount;amount;Valor mínimo de cobertura (Capital Segurado), diária ou parcela aceito pela sociedade para cada combinação de modalidade/cobertura do produto. Conforme moeda.;Texto;;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;0.01
/data/coverages/attributes/minLMI/currency;currency;Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL'<br>Todos os saldos informados estão representados com a moeda vigente do Brasil;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/coverages/attributes/maxLMI;maxLMI;Valor máximo de LMI/IS aceito pela sociedade para cada cobertura. Em reais (R$) Importante: Campo de valor numérico relacionado à cobertura que possui o campo. Quando não houver o campo, enviar o valor zerado.;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/coverages/attributes/maxLMI/amount;amount;"";Texto;21;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;1000000.01
/data/coverages/attributes/maxLMI/currency;currency;Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL'<br>Todos os saldos informados estão representados com a moeda vigente do Brasil;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/coverages/attributes/newCar;newCar;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
