Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações referentes às informações de câmbio;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification;participantIdentification;Objeto de identificação do participante OB.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da Marca reportada pelo participante do Open Banking.;Texto;120;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;NA
/data/participantIdentification/name;name;Nome da Instituição, pertencente à Marca, responsável pela Dependência.;Texto;120;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;NA
/data/participantIdentification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição responsável pela dependência o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica.;Texto;14;Obrigatório;[\d]*;;1;1;"";Não permitido;string;NA
/data/transactionType;transactionType;"Determina se o Banco está comprando ou vendendo a moeda estrangeira nas operações
spot,  que se liquidam em até dois dias (não aplica-se a operações futuras. (Vide Enum)
- Compra
- Venda";Texto;6;Obrigatório;;"COMPRA 
VENDA";1;1;"";Não permitido;string;COMPRA
/data/foreignCurrency;foreignCurrency;"É a moeda estrangeira, segundo modelo ISO 4217. (Vide Enum)
- USD
- EUR";Texto;3;Obrigatório;;"USD 
EUR";1;1;"";Não permitido;string;USD
/data/transactionCategory;transactionCategory;A classificação do tipo de operação, conforme a circular BCB nº 3690 de 16/12/2013.;Texto;68;Opcional;;"COMERCIO_EXTERIOR 
TRANSPORTE 
SEGUROS 
VIAGENS_INTERNACIONAIS 
TRANSFERENCIAS_UNILATERAIS 
SERVICOS_DIVERSOS 
RENDAS_DE_CAPITAIS 
CAPITAIS_BRASILEIROS 
CAPITAIS_ESTRANGEIROS 
PRESTACAO_DE_SERVICO_DE_PAGAMENTO_OU_TRANSFERENCIA_INTERNACIONAL_EFX";0;1;"";Não permitido;string;COMERCIO_EXTERIOR
/data/deliveryForeignCurrency;deliveryForeignCurrency;"A classificação do tipo de operação, conforme a circular BCB nº 3690 de 16/12/2013. (Vide Enum)
- ESPECIE_CARTAO_PRE_PAGO
- TELETRANSMISSAO_SWIFT";Texto;23;Opcional;;"ESPECIE_CARTAO_PRE_PAGO 
TELETRANSMISSAO_SWIFT";0;1;"";Não permitido;string;ESPECIE_CARTAO_PRE_PAGO
/data/rangeTransactionCategory;rangeTransactionCategory;A classificação conforme a circular BCB nº 4015.;Texto;17;Opcional;;"0,01_200 
200,01_500 
500,01_1.000 
1.000,01_3.000 
3.000,01_10.000 
10.000,01_30.000 
30.000,01_100.000";0;1;"";Não permitido;string;0,01_200
/data/targetAudience;targetAudience;Média das operações PF/PJ.;Texto;5;Opcional;;"PF 
PJ 
PF_PJ";0;1;"";Não permitido;string;PF
/data/vetAmount;vetAmount;"";Número;;Opcional;;;0;1;"";Não permitido;number;5.5023
/data/onlineRate;onlineRate;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/onlineRate/term;term;Formato da taxa online.;Texto;3;Obrigatório;D+[0-9]*;;1;1;"";Não permitido;string;D+2
/data/onlineRate/foreignCurrency;foreignCurrency;"É a moeda estrangeira, segundo modelo ISO 4217. (Vide Enum)
- USD
- EUR";Texto;3;Obrigatório;;"USD 
EUR";1;1;"";Não permitido;string;USD
/data/onlineRate/transactionType;transactionType;"Determina se o Banco está comprando ou vendendo a moeda estrangeira nas operações
spot,  que se liquidam em até dois dias (não aplica-se a operações futuras. (Vide Enum)
- Compra
- Venda";Texto;6;Obrigatório;;"COMPRA 
VENDA";1;1;"";Não permitido;string;COMPRA
/data/onlineRate/targetAudience;targetAudience;Média das operações PF/PJ.;Texto;5;Obrigatório;;"PF 
PJ 
PF_PJ";1;1;"";Não permitido;string;PF
/data/onlineRate/value;value;"";Número;;Obrigatório;;;1;1;"";Não permitido;number;5.5023
