Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participant/name;name;Nome do participante do Open Banking.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participant/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/society;society;Conjunto de informações relativas à seguradora do produto de open insurance;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/society/name;name;Nome da Sociedade Seguradora.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Society A1
/data/society/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Produto A
/data/code;code;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;0001
/data/coverages;coverages;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/coverages/type;type;É o conjunto dos riscos cobertos elencados na apólice. (RESOLUÇÃO CNSP Nº 341/2016). Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas, conforme Tabela Tipo de Cobertura;Texto;40;Obrigatório;;"IMOVEL_BASICA 
IMOVEL_AMPLA 
DANOS_ELETRICOS 
DANOS_AGUA 
ALAGAMENTO 
RESPONSABILIDADE_CIVIL_FAMILIAR 
RESPONSABILIDADE_CIVIL_DANOS_MORAIS 
ROUBO_SUBTRACAO_BENS 
ROUBO_SUBTRACAO_BENS_FORA_LOCAL_SEGURADO 
TACOS_GOLFE_HOLE_ONE 
PEQUENAS_REFORMAS_OBRAS 
GRAVES_TUMULTOS_LOCKOUT 
MICROEMPREENDEDOR 
ESCRITORIO_RESIDENCIA 
DANOS_EQUIPAMENTOS_ELETRONICOS 
QUEBRA_VIDROS 
IMPACTO_VEICULOS 
VENDAVAL 
PERDA_PAGAMENTO_ALUGUEL 
BICICLETA 
RESPONSABILIDADE_CIVIL_BICICLETA 
RC_EMPREGADOR 
DESMORONAMENTO 
DESPESAS 
JOIAS_OBRAS_ARTE 
TERREMOTO 
IMPACTO_AERONAVES 
PAISAGISMO 
INCENDIO 
QUEDA_RAIO 
EXPLOSAO 
OUTROS";1;1;"";Não permitido;string;IMOVEL_BASICA
/data/coverages/detail;detail;Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos a ser feito por cada participante, conforme domínios da lista padronizada de coberturas (macro).;Texto;1000;Opcional;;;0;1;"";Não permitido;string;
/data/coverages/permissionSeparateAcquisition;permissionSeparateAcquisition;"Indicação se a cobertura permite contratação separada (por cobertura selecionada) conforme domínios abaixo:
  1. true
  2. false";Booleano;;Opcional;;;0;1;"";Não permitido;boolean;true
/data/coverages/attributes;attributes;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/coverages/attributes/minLMI;minLMI;"No caso de contratação de várias coberturas numa mesma apólice, é comum o contrato estabelecer, para cada uma delas, um distinto limite máximo de responsabilidade por parte da seguradora. Cada um deles é denominado o Limite Máximo de Indenização (ou a Importância Segurada (IS), de cada cobertura contratada. Ressalte-se que estes limites são independentes, não se somando nem se comunicando. (Circular SUSEP 291/05); Lista com valor mínimo de LMI/IS aceito pela sociedade para cada cobertura. Em reais (R$) Importante: Campo de valor financeiro relacionado à cobertura que possui o campo. Quando não houver o campo, enviar o valor zerado.";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/coverages/attributes/minLMI/amount;amount;Valor mínimo de cobertura (Capital Segurado), diária ou parcela aceito pela sociedade para cada combinação de modalidade/cobertura do produto. Conforme moeda.;Texto;;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;0.01
/data/coverages/attributes/minLMI/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/coverages/attributes/maxLMI;maxLMI;Valor máximo de LMI/IS aceito pela sociedade para cada cobertura. Em reais (R$) Importante: Campo de valor numérico relacionado à cobertura que possui o campo. Quando não houver o campo, enviar o valor zerado.;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/coverages/attributes/maxLMI/amount;amount;"";Texto;21;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;1000000.01
/data/coverages/attributes/maxLMI/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/coverages/attributes/minDeductibleAmount;minDeductibleAmount;Quantia fixa, definida na apólice, que, em caso de sinistro, representa a parte do prejuízo apurado que poderá deixar de ser paga pela Sociedade Seguradora, dependendo das disposições do contrato. (RESOLUÇÃO CNSP Nº 341/2016). Listagem de valor mínimo da franquia (Reais) estabelecida pela sociedade para cada tipo de cobertura do produto.;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/coverages/attributes/minDeductibleAmount/amount;amount;"";Texto;;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;1.1000
/data/coverages/attributes/minDeductibleAmount/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/coverages/attributes/insuredMandatoryParticipationPercentage;insuredMandatoryParticipationPercentage;Participação Obrigatória é o valor ou percentual definido na apólice referente à responsabilidade do Segurado nos prejuízos indenizáveis decorrentes de sinistros cobertos. (Circular SUSEP 347/07). Listagem de percentual de franquia e/ou Percentual Participação Obrigatória do Segurado estabelecida pela sociedade para cada tipo de cobertura do produto. Observação: Sugestão de Criação do campo em substituição ao campo abaixo ‘Valor Máximo de Franquia’.;Texto;8;Opcional;^\d\.\d{6}$;;0;1;"";Não permitido;string;0.000002
/data/propertyCharacteristics;propertyCharacteristics;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/propertyCharacteristics/type;type;"Proposta conforme os domínios abaixo:
  1. Casa
  2. Apartamento";Texto;11;Obrigatório;;"CASA 
APARTAMENTO";1;1;"";Não permitido;string;CASA
/data/propertyCharacteristics/buildTypes;buildTypes;"";Lista;9;Obrigatório;;"ALVENARIA 
MADEIRA 
MISTA";1;N;"";Não permitido;array;ALVENARIA
/data/propertyCharacteristics/usageTypes;usageTypes;"";Lista;17;Obrigatório;;"HABITUAL 
VERANEIO 
DESOCUPADO 
CASA_ESCRITORIO 
ALUGUEL_TEMPORADA";1;N;"";Não permitido;array;HABITUAL
