Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participantIdentification/name;name;Nome do participante do Open Banking.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;45086338000178
/data/participantIdentification/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/products;products;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/products/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Produto A
/data/products/code;code;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;0001
/data/products/modality;modality;"Se Prev. Cob. Risco:

1. Contribuição Variável;
2. Benefício Definido.";Texto;200;Opcional;;"CONTRIBUICAO_VARIAVEL 
BENEFICIO_DEFINIDO";0;1;"";Não permitido;string;BENEFICIO_DEFINIDO
/data/products/coverages;coverages;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/products/coverages/types;types;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/products/coverages/attributes;attributes;Atributos da cobertura;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/products/coverages/attributes/indenizationPaymentMethod;indenizationPaymentMethod;"Listagem da forma de pagamento para cada benefício do produto indicando, conforme Resolução CNSP nº 201/2008:
1. Pagamento único;
2. Sob forma de renda.";Texto;19;Opcional;;"PAGAMENTO_UNICO 
SOB_FORMA_DE_RENDA";0;1;"";Não permitido;string;SOB_FORMA_DE_RENDA
/data/products/coverages/attributes/minValue;minValue;"Listagem do valor mínimo de cobertura (Capital Segurado), diária ou parcela aceito pela sociedade para cada combinação de modalidade/cobertura do produto.
Conforme moeda.";Número;;Obrigatório;;;1;1;"";Não permitido;number;1500
/data/products/coverages/attributes/maxValue;maxValue;"Listagem do valor máximo de cobertura (Capital Segurado), diária ou parcela aceito pela sociedade para cada combinação de modalidade/cobertura do produto.
Conforme moeda.";Número;;Obrigatório;;;1;1;"";Não permitido;number;5000
/data/products/coverages/attributes/indemnifiable;indemnifiable;Indenizável;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/products/coverages/attributes/indemnifiable/period;period;"Listagem do pagamento para cada benefício:
  1. Prazo;
  2. Até o fim de ciclo determinado.";Texto;200;Opcional;;"PRAZO 
ATE_FIM_CICLO_DETERMINADO";0;1;"";Não permitido;string;PRAZO
/data/products/coverages/attributes/indemnifiable/deadline;deadline;Caso o período de pagamento seja relacionado a Prazo, listagem de número máximo de parcelas do benefício. Em meses.;Número;;Opcional;;;0;1;"";Não permitido;number;48
/data/products/coverages/attributes/deductibleDays;deductibleDays;Listagem de franquia em dias para cada combinação de modalidade/cobertura do produto.;Número;;Opcional;;;0;1;"";Não permitido;number;10
/data/products/coverages/attributes/currency;currency;"Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/products/coverages/attributes/gracePeriod;gracePeriod;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/products/coverages/attributes/gracePeriod/deadline;deadline;Informar o prazo de carência;Número;;Obrigatório;;;1;1;"";Não permitido;number;90
/data/products/coverages/attributes/gracePeriod/unit;unit;"Informar o critério de carência para a cobertura
1. Dias
2. Meses
3. Não se aplica";Texto;15;Obrigatório;;"DIAS 
MESES 
NAO_APLICA";1;1;"";Não permitido;string;MESES
/data/products/coverages/attributes/excludedRisk;excludedRisk;Listagem para indicar quais serão o(s) risco(s) excluído(s) aplicável(is) à(s) cobertura(s).;Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/products/coverages/attributes/excludedRisk/type;type;Listagem para indicar quais serão o(s) risco(s) excluído(s) aplicável(is) à(s) cobertura(s).;Texto;;Opcional;;;0;1;"";Não permitido;string;NA
/data/products/coverages/attributes/excludedRisk/url;url;"Campo aberto (possibilidade de incluir URL) Comentários: As URLs são limitadas a 2048 caracteres mas, para o contexto do Open Insurance, foi adotado a metade deste tamanho (1024). tamanho. p.ex.
https://openinsurance.com.br/aaa";Texto;1024;Obrigatório;;;1;1;"";Não permitido;string;https://openinsurance.com.br/aaa
/data/products/coverages/period;period;"1. Vitalícia;
2. Temporária.";Texto;10;Opcional;;"VITALICIA 
TEMPORARIA";0;1;"";Não permitido;string;TEMPORARIA
/data/products/additionals;additionals;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/products/additionalsOthers;additionalsOthers;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/products/assistanceType;assistanceType;Lista padronizada de tipo de assistências ofertadas vinculadas ao produto. Por exemplo, Funeral, Bicicleta, Assistência PET – Tabela padrão a ser consolidada com retorno das empresas com a relação de assistências, permitindo um campo ‘Outros’ para assistências não contempladas na Tabela padronizada.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/products/assistanceTypeAdditionalInfos;assistanceTypeAdditionalInfos;Texto livre para complementar informação relativa ao campo assistanceType, quando no campo 'assistanceType' estiver preenchida a opção 'Outros'.Restrição: Campo de preenchimento obrigatório se 'assistanceType' estiver preenchida a opção 'OUTROS'.;Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/products/termsAndConditions;termsAndConditions;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/products/termsAndConditions/susepProcessNumber;susepProcessNumber;"Sequência numérica utilizada para consulta dos processos eletrônicos na SUSEP, com caracteres especiais, conforme campo de consulta no site da SUSEP (XXXXX.XXXXXX/XXXX-XX)
Observação: Mascaras da SUSEP – Serão permitidos todas as máscaras de Produtos. Limitar pelos códigos das Máscaras.";Texto;20;Obrigatório;^\d{5}\.\d{6}/\d{4}-\d{2}$;;1;1;"";Não permitido;string;15414.622222/2222-22
/data/products/termsAndConditions/detail;detail;Representam as Condições Gerais, Condições Especiais e Condições ou Cláusulas Particulares de um mesmo seguro. (Circular SUSEP 321/06). Campo aberto (possibilidade de incluir URL). Comentários: As URLs são limitadas a 2048 caracteres mas, para o contexto do Open Insurance, foi adotado a metade deste tamanho (1024). tamanho. p.ex. 'https://openinsurance.com.br/aaa’;Texto;1024;Obrigatório;;;1;1;"";Não permitido;string;https://openinsurance.com.br/aaa
/data/products/update;update;Atualização / Remuneração da PMBaC e Remuneração da PMBaC;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/products/update/award;award;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
