Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participantIdentification/name;name;Nome do participante do Open Banking.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participantIdentification/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/products;products;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/products/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Produto A
/data/products/code;code;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;0001
/data/products/type;type;"";Lista;27;Obrigatório;;"PGBL 
PRGP 
PAGP 
PRSA 
PRI 
PDR 
VGBL 
VRGP 
VAGP 
VRSA 
VRI 
VDR 
DEMAIS_PRODUTOS_PREVIDENCIA";1;N;"";Não permitido;array;
/data/products/segment;segment;"Segmento do qual se trata o produto contratado
1. Seguro de Pessoas
2. Previdência";Texto;20;Obrigatório;;"SEGURO_DE_PESSOAS 
PREVIDENCIA";1;1;"";Não permitido;string;PREVIDENCIA
/data/products/modality;modality;"Se Prev. Cob. Risco:

1. Contribuição Variável;
2. Benefício Definido.";Texto;21;Opcional;;"CONTRIBUICAO_VARIAVEL 
BENEFICIO_DEFINIDO";0;1;"";Não permitido;string;BENEFICIO_DEFINIDO
/data/products/adittionalInfo;adittionalInfo;"Campo aberto (possibilidade de incluir URL) para a descrição das coberturas de risco (previdência) comercializadas facultativamente à cobertura de sobrevivência.
Comentários: As URLs são limitadas a 2048 caracteres, mas, para o contexto do Open Insurance, foi adotado a metade deste tamanho (1024). tamanho. p.ex. 'https://openinsurance.com.br/
aaa’.";Texto;1024;Opcional;;;0;1;"";Não permitido;string;https://openinsurance.com.br/aaa
/data/products/minimumRequirements;minimumRequirements;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/products/minimumRequirements/contractType;contractType;"O tipo de serviço contratado. A considerar os domínios abaixo:
1. Coletivo Averbado;
2. Individual.
3. Ambas";Texto;27;Obrigatório;;"COLETIVO 
INDIVIDUAL 
AMBAS";1;1;"";Não permitido;string;COLETIVO
/data/products/minimumRequirements/participantQualified;participantQualified;"Indicação se o plano é destinado para participante qualificado. A considerar os domínios abaixo:
1. true (Sim).
2. false (Não).";Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;true
/data/products/minimumRequirements/contractingMinRequirement;contractingMinRequirement;Campo aberto contendo todos os requisitos mínimos para contratação (possibilidade de incluir URL). Comentários: As URLs são limitadas a 2048 caracteres mas, para o  contexto do Open Insurance, foi adotado a metade deste tamanho (1024). tamanho. p.ex. https://openinsurance.com.br/aaa;Texto;1024;Opcional;;;0;1;"";Não permitido;string;https://openinsurance.com.br/aaa
/data/products/targetAudience;targetAudience;Média das operações PF/PJ.;Texto;5;Opcional;;"PF 
PJ 
PF_PJ";0;1;"";Não permitido;string;PF
/data/products/termsAndConditions;termsAndConditions;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/products/termsAndConditions/susepProcessNumber;susepProcessNumber;"Sequência numérica utilizada para consulta dos processos eletrônicos na SUSEP, com caracteres especiais, conforme campo de consulta no site da SUSEP (XXXXX.XXXXXX/XXXX-XX)
Observação: Mascaras da SUSEP – Serão permitidos todas as máscaras de Produtos. Limitar pelos códigos das Máscaras.";Texto;20;Obrigatório;^\d{5}\.\d{6}/\d{4}-\d{2}$;;1;1;"";Não permitido;string;15414.622222/2222-22
/data/products/termsAndConditions/detail;detail;Representam as Condições Gerais, Condições Especiais e Condições ou Cláusulas Particulares de um mesmo seguro. (Circular SUSEP 321/06). Campo aberto (possibilidade de incluir URL). Comentários: As URLs são limitadas a 2048 caracteres mas, para o contexto do Open Insurance, foi adotado a metade deste tamanho (1024). tamanho. p.ex. 'https://openinsurance.com.br/aaa’;Texto;1024;Obrigatório;;;1;1;"";Não permitido;string;https://openinsurance.com.br/aaa
/data/products/defferalPeriod;defferalPeriod;Período de Diferimento;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/products/defferalPeriod/interestRate;interestRate;Taxa de juros garantida que remunera o plano durante a fase de diferimento/acumulação.;Texto;;Opcional;^[0-1]\.\d{6}$;;0;1;"";Não permitido;string;0.251231
/data/products/defferalPeriod/updateIndex;updateIndex;"Índice utilizado na atualização do prêmio e do capital segurado, caso critério de atualização por meio de índice:
1. IPCA (IBGE);
2. IGP-M (FGV);
3. INPC (IBGE).";Texto;5;Opcional;;"IPCA 
IGP_M 
INPC";0;1;"";Não permitido;string;IPCA
/data/products/defferalPeriod/otherMinimumPerformanceGarantees;otherMinimumPerformanceGarantees;Para produtos do tipo PDR e VDR, indicação do índice de ampla divulgação utilizados como garantia mínima de desempenho.;Texto;12;Opcional;;;0;1;"";Não permitido;string;SELIC
/data/products/defferalPeriod/minimumPremium;minimumPremium;Valor mínimo de prêmio/contribuição;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/products/defferalPeriod/minimumPremium/currency;currency;"Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;;Opcional;^[A-Z]{3}$;;0;1;"";Não permitido;string;BRL
/data/products/defferalPeriod/minimumPremium/periodicity;periodicity;"";Texto;10;Opcional;;"DIÁRIO 
SEMANAL 
QUINZENAL 
MENSAL 
BIMESTRAL 
TRIMESTRAL 
SEMESTRAL 
ANUAL";0;1;"";Não permitido;string;
/data/products/defferalPeriod/minimumPremium/amount;amount;Valor mínimo em R$ de prêmio/ contribuição aceita pela sociedade ao plano (identificar valor mensal e/ou aporte único).;Texto;;Opcional;^\d{1,16}\.\d{2,4}$;;0;1;"";Não permitido;string;250.00
/data/products/defferalPeriod/premiumPaymentMethods;premiumPaymentMethods;"";Lista;27;Obrigatório;;"CARTAO_CREDITO 
DEBITO_CONTA 
DEBITO_CONTA_POUPANCA 
BOLETO_BANCARIO 
PIX 
CARTAO_DEBITO 
REGRA_PARCEIRO 
CONSIGNACAO_FOLHA_PAGAMENTO 
PONTOS_PROGRAMA_BENEFICIO 
TED_DOC 
OUTROS";1;N;"";Não permitido;array;CARTAO_CREDITO
/data/products/defferalPeriod/permissionExtraordinaryContributions;permissionExtraordinaryContributions;"Se ficam permitidos aportes extraordinários. A considerar os seguintes domínios:
1. Sim; (true)
2. Não (false).";Booleano;;Opcional;;;0;1;"";Não permitido;boolean;true
