Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand/name;name;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/brand/companies;companies;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/participantIdentification/brand/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização do produto/serviço. p.ex.'Empresa da Organização A';Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Empresa A1
/data/participantIdentification/brand/companies/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;45086338000178
/data/participantIdentification/brand/companies/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/branches-banking
/data/feesAndRatesForService;feesAndRatesForService;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/feesAndRatesForService/feeName;feeName;"Nome da tarifa cobrada sobre o serviço de credenciamento, para pessoa física/jurídica.
  1. Taxa de Desconto na Modalidade Crédito
  2. Taxa de Desconto na Modalidade Débito";Texto;38;Obrigatório;;"TAXA_DE_DESCONTO_NA_MODALIDADE_CREDITO 
TAXA_DE_DESCONTO_NA_MODALIDADE_DEBITO";1;1;"";Não permitido;string;TAXA_DE_DESCONTO_NA_MODALIDADE_CREDITO
/data/feesAndRatesForService/code;code;Sigla da Tarifa cobrada sobre o Serviço de Credenciamento informado.;Texto;11;Obrigatório;;"MDR_CREDITO 
MDR_DEBITO";1;1;"";Não permitido;string;MDR_CREDITO
/data/feesAndRatesForService/prices;prices;"";Lista;;Obrigatório;;;4;4;"";Não permitido;array;"[{""interval""=>""1_FAIXA"", ""value""=>""0.0203"", ""customerRate""=>""0.5000""}, {""interval""=>""2_FAIXA"", ""value""=>""0.0306"", ""customerRate""=>""0.1000""}, {""interval""=>""3_FAIXA"", ""value""=>""0.0343"", ""customerRate""=>""0.3000""}, {""interval""=>""4_FAIXA"", ""value""=>""0.2468"", ""customerRate""=>""0.1000""}]"
/data/feesAndRatesForService/prices/interval;interval;Identificação do intervalo a ser exibido.;Texto;7;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA 
4_FAIXA";1;1;"";Não permitido;string;1_FAIXA
/data/feesAndRatesForService/prices/value;value;Mediana referente a cada intervalo.;Texto;6;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;0.0203
/data/feesAndRatesForService/prices/customerRate;customerRate;Percentual de cliente em cada intervalo.;Texto;6;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;0.5000
/data/feesAndRatesForService/chargingTriggerInfo;chargingTriggerInfo;Recebimento através de transação de cartão.;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/feesAndRatesForService/minimum;minimum;Valor mínimo;Texto;999999;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;2.0
/data/feesAndRatesForService/maximum;maximum;Valor máximo;Texto;999999;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;5.0
