Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand/name;name;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/brand/companies;companies;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/participantIdentification/brand/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização do produto/serviço. p.ex.'Empresa da Organização A';Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Empresa A1
/data/participantIdentification/brand/companies/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;45086338000178
/data/participantIdentification/brand/companies/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/branches-banking
/data/transactionType;transactionType;"Determina se o Banco está comprando ou vendendo a moeda estrangeira nas operações
spot,  que se liquidam em até dois dias (não aplica-se a operações futuras. (Vide Enum)
- Compra
- Venda";Texto;6;Obrigatório;;"COMPRA 
VENDA";1;1;"";Não permitido;string;COMPRA
/data/foreignCurrency;foreignCurrency;"É a moeda estrangeira, segundo modelo ISO 4217. (Vide Enum)
- USD
- EUR";Texto;3;Obrigatório;;"USD 
EUR";1;1;"";Não permitido;string;USD
/data/transactionCategory;transactionCategory;A classificação do tipo de operação, conforme a circular BCB nº 3690 de 16/12/2013.;Texto;68;Obrigatório;;"COMERCIO_EXTERIOR 
TRANSPORTE 
SEGUROS 
VIAGENS_INTERNACIONAIS 
TRANSFERENCIAS_UNILATERAIS 
SERVICOS_DIVERSOS 
RENDAS_DE_CAPITAIS 
CAPITAIS_BRASILEIROS 
CAPITAIS_ESTRANGEIROS 
PRESTACAO_DE_SERVICO_DE_PAGAMENTO_OU_TRANSFERENCIA_INTERNACIONAL_EFX";1;1;"";Não permitido;string;COMERCIO_EXTERIOR
/data/deliveryForeignCurrency;deliveryForeignCurrency;A classificação do tipo de operação, conforme a circular BCB nº 3690 de 16/12/2013. (Vide Enum)<br><ul><li>ESPECIE</li><li>CARTAO_PRE_PAGO</li><li>TELETRANSMISSAO_SWIFT</li></ul>;Texto;21;Obrigatório;;"ESPECIE 
CARTAO_PRE_PAGO 
TELETRANSMISSAO_SWIFT";1;1;"";Não permitido;string;CARTAO_PRE_PAGO
/data/rangeTransactionCategory;rangeTransactionCategory;A classificação conforme a circular BCB nº 4015.;Texto;17;Obrigatório;;"0,01_200 
200,01_500 
500,01_1.000 
1.000,01_3.000 
3.000,01_10.000 
10.000,01_30.000 
30.000,01_100.000";1;1;"";Não permitido;string;0,01_200
/data/targetAudience;targetAudience;Média das operações PF/PJ.;Texto;5;Opcional;;"PF 
PJ 
PF_PJ";0;1;"";Não permitido;string;PF
/data/vetAmount;vetAmount;Média simples do VET das operações PF/PJ para cada intervalo conforme a circular 4015 BCB.;Texto;7;Obrigatório;^\d{1}\.\d{1,5}$;;1;1;"";Não permitido;string;5.5023
/data/onlineRate;onlineRate;"Taxa disponibilizada (taxa online) pelas instituições no formato D+2 (valor  U$ 100.000-operações cambio pronto) separado por moeda dólar e euro  compra e venda PF/PJ.  
- Não entra operações de cambio futuro, ACC/ACE, futuros, trava.  
- Deve ser adicionado um timestamp no momento da consulta no formato  hh:mm:ss 
- Adicionar disclaimer informando que a taxa apresentada é somente  informativa, para a contratação de uma operação, deverá ser consultado o  canal correspondente de cada instituição.";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/onlineRate/values;values;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;"[{""foreignCurrency""=>""USD"", ""deliveryForeignCurrency""=>""ESPECIE"", ""transactionType""=>""COMPRA"", ""targetAudience""=>""PF"", ""value""=>""5.5023""}, {""foreignCurrency""=>""EUR"", ""deliveryForeignCurrency""=>""CARTAO_PRE_PAGO"", ""transactionType""=>""VENDA"", ""targetAudience""=>""PJ"", ""value""=>""2.7045""}]"
/data/onlineRate/values/foreignCurrency;foreignCurrency;"É a moeda estrangeira, segundo modelo ISO 4217. (Vide Enum)
- USD
- EUR";Texto;3;Obrigatório;;"USD 
EUR";1;1;"";Não permitido;string;USD
/data/onlineRate/values/deliveryForeignCurrency;deliveryForeignCurrency;A classificação do tipo de operação, conforme a circular BCB nº 3690 de 16/12/2013. (Vide Enum)<br><ul><li>ESPECIE</li><li>CARTAO_PRE_PAGO</li><li>TELETRANSMISSAO_SWIFT</li></ul>;Texto;21;Obrigatório;;"ESPECIE 
CARTAO_PRE_PAGO 
TELETRANSMISSAO_SWIFT";1;1;"";Não permitido;string;CARTAO_PRE_PAGO
/data/onlineRate/values/transactionType;transactionType;"Determina se o Banco está comprando ou vendendo a moeda estrangeira nas operações
spot,  que se liquidam em até dois dias (não aplica-se a operações futuras. (Vide Enum)
- Compra
- Venda";Texto;6;Obrigatório;;"COMPRA 
VENDA";1;1;"";Não permitido;string;COMPRA
/data/onlineRate/values/targetAudience;targetAudience;Média das operações PF/PJ.;Texto;5;Obrigatório;;"PF 
PJ 
PF_PJ";1;1;"";Não permitido;string;PF
/data/onlineRate/values/value;value;Valor da operação.;Texto;7;Obrigatório;^\d{1}\.\d{1,5}$;;1;1;"";Não permitido;string;5.5023
/data/onlineRate/timestamp;timestamp;Timestamp do momento da consulta;Date Hora;;Obrigatório;;;1;1;"";Não permitido;string;2017-07-21T17:32:28Z
/data/onlineRate/disclaimer;disclaimer;Disclaimer informando que a taxa apresentada é somente informativa, para a contratação de uma operação, deverá ser consultado o canal correspondente de cada instituição.;Texto;;Obrigatório;;;1;1;"";Não permitido;string;<INSERIR TEXTO DO DISCLAIMER AQUI>
