Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações do seguro pessoal;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participantIdentification/name;name;Nome do participante do Open Banking.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participantIdentification/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/products;products;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/products/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Produto A
/data/products/code;code;Código único a ser definido pela sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;0001
/data/products/insuranceModality;insuranceModality;"Se segmento seguro de pessoas (coletivo e individual):
  1. Funeral;
  2. Prestamista (exceto Habitacional e Rural);
  3. Viagem;
  4. Educacional;
  5. Dotal (Misto e Puro);
  6. Acidentes Pessoais;
  7. Vida;
  8. Perda do Certificado de Habilitação de Voo – PCHV;
  9. Doenças Graves ou Doença Terminal;
  10. Desemprego/ Perda de Renda;
  11. Eventos Aleatórios";Texto;33;Opcional;;"FUNERAL 
PRESTAMISTA 
VIAGEM 
EDUCACIONAL 
DOTAL 
ACIDENTES_PESSOAIS 
VIDA 
PERDA_CERTIFICADO_HABILITACAO_VOO 
DOENCAS_GRAVES_DOENCA_TERMINAL 
DESEMPREGO_PERDA_RENDA 
EVENTOS_ALEATORIOS";0;1;"";Não permitido;string;FUNERAL
/data/products/coverages;coverages;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/products/coverages/type;type;É o conjunto dos riscos cobertos elencados na apólice. (RESOLUÇÃO CNSP Nº 341/2016). Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas, conforme Tabela Tipo de Cobertura;Lista;40;Obrigatório;;"IMOVEL_BASICA 
IMOVEL_AMPLA 
DANOS_ELETRICOS 
DANOS_AGUA 
ALAGAMENTO 
RESPONSABILIDADE_CIVIL_FAMILIAR 
RESPONSABILIDADE_CIVIL_DANOS_MORAIS 
ROUBO_SUBTRACAO_BENS 
ROUBO_SUBTRACAO_BENS_FORA_LOCAL_SEGURADO 
TACOS_GOLFE_HOLE_ONE 
PEQUENAS_REFORMAS_OBRAS 
GRAVES_TUMULTOS_LOCKOUT 
MICROEMPREENDEDOR 
ESCRITORIO_RESIDENCIA 
DANOS_EQUIPAMENTOS_ELETRONICOS 
QUEBRA_VIDROS 
IMPACTO_VEICULOS 
VENDAVAL 
PERDA_PAGAMENTO_ALUGUEL 
BICICLETA 
RESPONSABILIDADE_CIVIL_BICICLETA 
RC_EMPREGADOR 
DESMORONAMENTO 
DESPESAS 
JOIAS_OBRAS_ARTE 
TERREMOTO 
IMPACTO_AERONAVES 
PAISAGISMO 
INCENDIO 
QUEDA_RAIO 
EXPLOSAO 
OUTROS";1;N;"";Não permitido;array;IMOVEL_BASICA
/data/products/coverages/detail;detail;"Lista a ser preenchida pelas participantes quando houver Outros (permitir a publicação de uma nova cobertura que não esteja na lista básica; adotar a mesma sistemática do campo outros em Assistência)";Texto;1000;Opcional;;;0;1;"";Não permitido;string;""
/data/products/coverages/coverageAttributes;coverageAttributes;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/products/coverages/coverageAttributes/indemnityPaymentMethod;indemnityPaymentMethod;"Modalidade de pagamento da indenização, a considerar os domínios abaixo:
  1. Único
  2. Sob a forma de renda";Texto;18;Obrigatório;;"UNICO 
SOB_FORMA_DE_RENDA";1;1;"";Não permitido;string;UNICO
/data/products/coverages/coverageAttributes/indemnityPaymentFrequency;indemnityPaymentFrequency;"";Texto;17;Obrigatório;;"INDENIZACAO_UNICA 
DIARIA_OU_PARCELA";1;1;"";Não permitido;string;INDENIZACAO_UNICA
/data/products/coverages/coverageAttributes/minValue;minValue;"No caso de contratação de várias coberturas numa mesma apólice, é comum o contrato estabelecer, para cada uma delas, um distinto limite máximo de responsabilidade por parte da seguradora. Cada um deles é denominado o Limite Máximo de Indenização (ou a Importância Segurada (IS), de cada cobertura contratada. Ressalte-se que estes limites são independentes, não se somando nem se comunicando. (Circular SUSEP 291/05); Lista com valor mínimo de LMI/IS aceito pela sociedade para cada cobertura. Em reais (R$) Importante: Campo de valor numérico relacionado à cobertura que possui o campo. Quando não houver o campo, enviar o valor zerado.";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/products/coverages/coverageAttributes/minValue/amount;amount;"";Texto;21;Opcional;^\d{1,16}\.\d{2,4}$;;0;1;"";Não permitido;string;0.01
/data/products/coverages/coverageAttributes/minValue/currency;currency;"Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;;Opcional;^[A-Z]{3}$;;0;1;"";Não permitido;string;BRL
/data/products/coverages/coverageAttributes/maxValue;maxValue;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/products/coverages/coverageAttributes/maxValue/amount;amount;Lista com valor máximo de LMI/IS aceito pela sociedade para cada cobertura. Em reais (R$) Importante: Campo de valor numérico relacionado à cobertura que possui o campo. Quando não houver o campo, enviar o valor zerado.;Texto;21;Obrigatório;^\d{1,16}\.\d{2,4}$;;1;1;"";Não permitido;string;1000000.01
/data/products/coverages/coverageAttributes/maxValue/currency;currency;"Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;;Opcional;^[A-Z]{3}$;;0;1;"";Não permitido;string;BRL
/data/products/coverages/coverageAttributes/indemnifiablePeriod;indemnifiablePeriod;"Listagem do pagamento para cada benefício:
  1. Prazo;
  2. Até o fim de ciclo determinado.
Se for pagamento único, esse campo não se aplica (retorna vazio).";Texto;25;Obrigatório;;"PRAZO 
ATE_FIM_CICLO_DETERMINADO";1;1;"";Não permitido;string;PRAZO
/data/products/coverages/coverageAttributes/maximumQtyIndemnifiableInstallments;maximumQtyIndemnifiableInstallments;Caso o período indenizável seja relacionado a parcelas, listagem de número máximo de parcelas indenizáveis para cada combinação de modalidade/ cobertura do produto.;Inteiro;10;Obrigatório;;;1;1;"";Não permitido;integer;10
/data/products/coverages/coverageAttributes/currency;currency;Moeda sobre a qual a cobertura se refere. De acordo com ISO-4217.;Texto;3;Obrigatório;;"AED 
AFN 
ALL 
AMD 
ANG 
AOA 
ARS 
AUD 
AWG 
AZN 
BAM 
BBD 
BDT 
BGN 
BHD 
BIF 
BMD 
BND 
BOB 
BOV 
BRL 
BSD 
BTN 
BWP 
BYR 
BZD 
CAD 
CDF 
CHE 
CHF 
CHW 
CLF 
CLP 
CNY 
COP 
COU 
CRC 
CUC 
CUP 
CVE 
CZK 
DJF 
DKK 
DOP 
DZD 
ECS 
EGP 
ERN 
ETB 
EUR 
FJD 
FKP 
GBP 
GEL 
GHS 
GIP 
GMD 
GNF 
GTQ 
GYD 
HKD 
HNL 
HRK 
HTG 
HUF 
IDR 
ILS 
IMP 
INR 
IQD 
IRR 
ISK 
JMD 
JOD 
JPY 
KES 
KGS 
KHR 
KMF 
KPW 
KRW 
KWD 
KYD 
KZT 
LAK 
LBP 
LKR 
LRD 
LSL 
LTL 
LVL 
LYD 
MAD 
MDL 
MGA 
MKD 
MMK 
MNT 
MOP 
MRO 
MUR 
MVR 
MWK 
MXN 
MXV 
MYR 
MZN 
NAD 
NGN 
NIO 
NOK 
NPR 
NZD 
OMR 
PAB 
PEN 
PGK 
PHP 
PKR 
PLN 
PYG 
QAR 
RON 
RSD 
RUB 
RWF 
SAR 
SBD 
SCR 
SDG 
SEK 
SGD 
SHP 
SLL 
SOS 
SRD 
STN 
SVC 
SYP 
SZL 
THB 
TJS 
TMT 
TND 
TOP 
TRY 
TTD 
TWD 
TZS 
UAH 
UGX 
USD 
USN 
USS 
UYI 
UYU 
UZS 
VES 
VND 
VUV 
WST 
XAF 
XAG 
XAU 
XBA 
XBB 
XBC 
XBD 
XCD 
XDR 
XFU 
XOF 
XPD 
XPF 
XPT 
XTS 
XXX 
YER 
ZAR 
ZMW 
ZWL";1;1;"";Não permitido;string;AED
/data/products/coverages/coverageAttributes/gracePeriod;gracePeriod;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/products/coverages/coverageAttributes/gracePeriod/amount;amount;Informar o prazo de carência;Inteiro;4;Obrigatório;;;1;1;"";Não permitido;integer;180
/data/products/coverages/coverageAttributes/gracePeriod/unit;unit;"Informar o critério de carência para a cobertura
  1. Dias
  2. Meses
  3. Não se aplica";Texto;5;Obrigatório;;"DIAS 
MESES 
NA";1;1;"";Não permitido;string;DIAS
/data/products/coverages/coverageAttributes/differentiatedGracePeriod;differentiatedGracePeriod;Informar o prazo de carência;Inteiro;10;Opcional;;;0;1;"";Não permitido;integer;3
/data/products/coverages/coverageAttributes/deductibleDays;deductibleDays;Listagem de franquia em dias para cada combinação de modalidade/cobertura do produto.;Inteiro;10;Obrigatório;;;1;1;"";Não permitido;integer;10
/data/products/coverages/coverageAttributes/differentiatedDeductibleDays;differentiatedDeductibleDays;Detalhamento da franquia em dias diferentes para cada cobertura que exista alguma especificidade. Caso a seguradora não tenha essa diferenciação, não retornará nada no campo.;Inteiro;10;Opcional;;;0;1;"";Não permitido;integer;15
