Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand/name;name;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/brand/companies;companies;"";Lista;;Opcional;;;0;N;"";Não permitido;array;
/data/participantIdentification/brand/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização do produto/serviço. p.ex.'Empresa da Organização A';Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Empresa A1
/data/participantIdentification/brand/companies/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;45086338000178
/data/participantIdentification/brand/companies/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/branches-banking
/data/productIdentification;productIdentification;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/productIdentification/issuerInstitutionCNPJ;issuerInstitutionCNPJ;CNPJ da instituição emissora.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;45086338000178
/data/productIdentification/productType;productType;Especificação do ativo em questão.<br><ol><li>CDB</li><li>RDB</li><li>LCI</li><li>LCA</li></ol>;Texto;3;Obrigatório;;"CDB 
RDB 
LCI 
LCA";1;1;"";Não permitido;string;CDB
/data/index;index;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/index/indexer;indexer;"Índice utilizado como referência para a correção da rentabilidade e/ou rendimentos do ativo (p.ex. CDI).<br><br>Pré-fixado, em linha com padronização da B3&#58;<br><br><ol><li>CDI</li><li>DI</li><li>TR</li><li>IPCA</li><li>IGP-M</li><li>IGP-DI</li><li>INPC</li><li>BCP</li><li>TLC</li><li>Selic</li><li>Outros</li></ol>";Texto;6;Obrigatório;;"CDI 
DI 
TR 
IPCA 
IGP_M 
IGP_DI 
INPC 
BCP 
TLC 
SELIC 
OUTROS";1;1;"";Não permitido;string;CDI
/data/index/indexerAdditionalInfo;indexerAdditionalInfo;Campo a ser preenchido pelas participantes quando houver ‘Outros’ no campo ‘Indexador’.;Texto;50;Opcional;;;0;1;"";Não permitido;string;Dólar
/data/index/issueRemunerationRate;issueRemunerationRate;Taxa efetiva percebida no momento da emissão do título.<br><br>Distribuição de Frequência, conforme proposta em anexo, segmentadas por grupo de produto, indexador e modalidade de cálculo da taxa.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.040000
/data/investmentConditions;investmentConditions;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/investmentConditions/minimumAmount;minimumAmount;Valor mínimo de aplicação no ativo.;Texto;19;Obrigatório;^\d{1,16}\.\d{2}$;;1;1;"";Não permitido;string;100.00
/data/investmentConditions/redemptionTerm;redemptionTerm;Capacidade de conversão do título em dinheiro (resgate ou recompra).<br><br><ol><li>diária</li><li>na data de vencimento</li><li>diária após prazo de carência</li></ol>;Texto;29;Obrigatório;;"DIARIA 
NA_DATA_DE_VENCIMENTO 
DIARIA_APOS_PRAZO_DE_CARENCIA";1;1;"";Não permitido;string;DIARIA
/data/investmentConditions/minimumExpirationTerm;minimumExpirationTerm;Prazo mínimo referente ao vencimento do título;Número;;Obrigatório;;;1;1;"";Não permitido;number;30
/data/investmentConditions/maximumExpirationTerm;maximumExpirationTerm;Prazo máximo referente ao vencimento do título;Número;;Obrigatório;;;1;1;"";Não permitido;number;720
/data/investmentConditions/minimumGracePeriod;minimumGracePeriod;Prazo mínimo da carência, ou seja, quando passa a ser possível resgatar o investimento;Número;;Obrigatório;;;1;1;"";Não permitido;number;5
/data/investmentConditions/maximumGracePeriod;maximumGracePeriod;Prazo máximo da carência, ou seja, quando passa a ser possível resgatar o investimento;Número;;Obrigatório;;;1;1;"";Não permitido;number;180
