Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participant/name;name;Nome do participante do Open Banking.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participant/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/name;name;Nome oficial do fundo de investimento.;Texto;250;Obrigatório;;;1;1;"";Não permitido;string;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
/data/cnpjNumber;cnpjNumber;CNPJ do fundo de investimento.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;64108803000191
/data/isinCode;isinCode;"Código universal que identifica cada valor mobiliário ou instrumento financeiro, conforme Norma ISO 6166.<br><br>DEFINIÇÃO&#58;O ISIN (International Securities Identification Number) é um código que identifica um valor mobiliário, conforme a norma ISO 6166.<br>ESTRUTURA<br>O ISIN é um código alfanumérico que possui 12 caracteres com a seguinte estrutura&#58;<ul><li>um prefixo, composto de 2 caracteres alfa, que identifica o código do país (Norma ISO 3166);</li><li>o número básico, composto de 9 caracteres alfabéticos ou numéricos em sua extensão;</li><li>um dígito numérico de controle.</li></ul>";Texto;12;Opcional;^[A-Z]{2}([A-Z0-9]){9}\d{1}$;;0;1;"";Não permitido;string;BRAAAAAAA000
/data/admin;admin;"";"";;Obrigatório;;;1;1;"";Não permitido;;
/data/fundManager;fundManager;"";"";;Obrigatório;;;1;1;"";Não permitido;;
/data/anbimaCategory;anbimaCategory;Conforme classificação ANBIMA, que segue a deliberação 77 da ANBIMA.<br><ol><li>Renda Fixa</li><li>Ações</li><li>Multimercado</li><li>Cambial</li></ol><br><br>;Texto;12;Obrigatório;;"RENDA_FIXA 
ACOES 
MULTIMERCADO 
CAMBIAL";1;1;"";Não permitido;string;MULTIMERCADO
/data/fees;fees;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/fees/maxAdminFee;maxAdminFee;Taxa máxima cobrada para remunerar o administrador e os demais prestadores de serviços do fundo. Caso não haja a difererença de Máximo e Mínimo, considerar a taxa de administração do fundo.;Texto;8;Opcional;^\d{1}\.\d{1,6}$;;0;1;"";Não permitido;string;0.020000
/data/fees/entryFee;entryFee;Taxa cobrada no momento da aplicação, que incide sobre o valor investido no fundo.;Texto;8;Opcional;^\d{1}\.\d{1,6}$;;0;1;"";Não permitido;string;0.010000
/data/fees/performanceFee;performanceFee;"";Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/fees/performanceFee/method;method;Metodologia do campo para taxa de performance.<br><ol><li>Passivo</li><li>Ativo</li><li>Ajuste</li></ol>;Texto;7;Opcional;;"PASSIVO 
ATIVO 
AJUSTE";0;1;"";Não permitido;string;PASSIVO
/data/fees/performanceFee/benchmark;benchmark;Índice utilizado como referência para avaliação de desempenho do fundo de investimento.<br><br>Em linha com padronização na listagem de fundos da ANBIMA, com opção “outros”, permitindo campo livre caso a opção não seja previamente fornecida. Listagem de benchmark disponível no link https://data.anbima.com.br/fundos , opção Características > Benchmark;Texto;;Opcional;;"CDI 
IBOVESPA_FECHAMENTO 
IBOVESPA 
IMA_B 
IBRX 
IPCA 
IMA_B_5 
DOLAR_PTAX 
IBRX_100 
TAXA_SELIC 
IMA_B_5_PLUS 
IBOVESPA_MEDIO 
IRF_M 
IMA_GERAL 
INPC 
IGP_M 
SMLL_SMALL_CAP 
IDA_IPCA 
ISE 
IRF_M_1 
IBRX_50 
IDIV_DIVIDENDOS 
IFIX 
GLOBAL_BDRX 
IMA_S 
IDKA_IPCA_2A 
IRF_M_1_PLUS 
OUTROS";0;1;"";Não permitido;string;CDI
/data/fees/performanceFee/benchmarkAdditionalInfo;benchmarkAdditionalInfo;Campo a ser preenchido pelas participantes quando houver ‘Outros’ no campo ‘Taxa de Performance - Benchmark’.;Texto;;Opcional;;;0;1;"";Não permitido;string;
/data/fees/performanceFee/amount;amount;Taxa cobrada do fundo em função de resultado conforme regras dispostas no regulamento do fundo.;Texto;8;Opcional;^\d{1}\.\d{1,6}$;;0;1;"";Não permitido;string;0.050000
/data/fees/exitFee;exitFee;Taxa paga pelo cotista ao resgatar recursos de um fundo.;Texto;8;Opcional;^\d{1}\.\d{1,6}$;;0;1;"";Não permitido;string;0.030000
/data/generalConditions;generalConditions;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/generalConditions/minimumAmount;minimumAmount;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/generalConditions/minimumAmount/value;value;Valor mínimo do primeiro aporte.;Texto;19;Obrigatório;^\d{1,16}\.\d{2}$;;1;1;"";Não permitido;string;100000.12
/data/generalConditions/minimumAmount/currency;currency;Moeda referente ao valor da transação, segundo modelo ISO-4217. p.ex. 'BRL'<br>Todos os saldos informados estão representados com a moeda vigente do Brasil;Texto;;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL
/data/generalConditions/redemption;redemption;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/generalConditions/redemption/quotationDays;quotationDays;Prazo em dias indicada no regulamento do fundo para a conversão das cotas em dinheiro.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;3
/data/generalConditions/redemption/quotationTerm;quotationTerm;Período em dias corridos ou dias úteis do prazo de cotização.<br><br><ol><li>Dias corridos</li><li>Dias úteis</li></ol>;Texto;13;Obrigatório;;"DIAS_CORRIDOS 
DIAS_UTEIS";1;1;"";Não permitido;string;DIAS_CORRIDOS
/data/generalConditions/redemption/paymentDays;paymentDays;Prazo em dias do efetivo pagamento, pelo fundo, do valor líquido devido ao cotista que efetuou pedido de resgate.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;3
/data/generalConditions/redemption/paymentTerm;paymentTerm;Período em dias corridos ou dias úteis do prazo de cotização.<br><br><ol><li>Dias corridos</li><li>Dias úteis</li></ol>;Texto;13;Obrigatório;;"DIAS_CORRIDOS 
DIAS_UTEIS";1;1;"";Não permitido;string;DIAS_CORRIDOS
/data/generalConditions/graceDays;graceDays;Indica se o fundo estabelece um período em que o investidor não pode resgatar os recursos aplicados no fundo. Caso ocorra resgate antes do período, o investidor perderá a rentabilidade do período.;Inteiro;;Opcional;;;0;1;"";Não permitido;integer;60
/data/generalConditions/application;application;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/generalConditions/application/quotationDays;quotationDays;Indica se o fundo estabelece um período em que o investidor não pode resgatar os recursos aplicados no fundo. Caso ocorra resgate antes do período, o investidor perderá a rentabilidade do período.;Inteiro;;Opcional;;;0;1;"";Não permitido;integer;60
