Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participantIdentification/name;name;Nome do participante do Open Banking.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;45086338000178
/data/participantIdentification/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/fees;fees;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/fees/investmentType;investmentType;"Especifica o tipo de ativo negociado&#58;<br><br><ol><li>Tesouro direto</li></ol>";Texto;14;Obrigatório;;TESOURO_DIRETO;1;1;"";Não permitido;string;TESOURO_DIRETO
/data/fees/custodyFee;custodyFee;Distribuição por frequência.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/fees/custodyFee/name;name;Nome do serviço;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/fees/custodyFee/code;code;Código de identificação do serviço.;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/fees/custodyFee/chargingTriggerInfo;chargingTriggerInfo;Fatos geradores de cobrança.;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/fees/custodyFee/prices;prices;Distribuição dos preços.;Lista;;Obrigatório;;;4;4;"";Não permitido;array;"[{""interval""=>""1_FAIXA"", ""value""=>""0.020300"", ""customerRate""=>""0.500000""}, {""interval""=>""2_FAIXA"", ""value""=>""0.030600"", ""customerRate""=>""0.100000""}, {""interval""=>""3_FAIXA"", ""value""=>""0.034300"", ""customerRate""=>""0.300000""}, {""interval""=>""4_FAIXA"", ""value""=>""0.246800"", ""customerRate""=>""0.100000""}]"
/data/fees/custodyFee/prices/interval;interval;Faixas de frequência;Texto;7;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA 
4_FAIXA";1;1;"";Não permitido;string;1_FAIXA
/data/fees/custodyFee/prices/value;value;Mediana.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.020300
/data/fees/custodyFee/prices/customerRate;customerRate;Percentual de clientes.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.500000
/data/fees/custodyFee/minimum;minimum;Valor mínimo.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.010000
/data/fees/custodyFee/maximum;maximum;Valor máximo.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.300000
/data/fees/loadingRate;loadingRate;Distribuição por frequência.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/fees/loadingRate/name;name;Nome do serviço;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/fees/loadingRate/code;code;Código de identificação do serviço.;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/fees/loadingRate/chargingTriggerInfo;chargingTriggerInfo;Fatos geradores de cobrança.;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/fees/loadingRate/prices;prices;Distribuição dos preços.;Lista;;Obrigatório;;;4;4;"";Não permitido;array;"[{""interval""=>""1_FAIXA"", ""value""=>""0.020300"", ""customerRate""=>""0.500000""}, {""interval""=>""2_FAIXA"", ""value""=>""0.030600"", ""customerRate""=>""0.100000""}, {""interval""=>""3_FAIXA"", ""value""=>""0.034300"", ""customerRate""=>""0.300000""}, {""interval""=>""4_FAIXA"", ""value""=>""0.246800"", ""customerRate""=>""0.100000""}]"
/data/fees/loadingRate/prices/interval;interval;Faixas de frequência;Texto;7;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA 
4_FAIXA";1;1;"";Não permitido;string;1_FAIXA
/data/fees/loadingRate/prices/value;value;Mediana.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.020300
/data/fees/loadingRate/prices/customerRate;customerRate;Percentual de clientes.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.500000
/data/fees/loadingRate/minimum;minimum;Valor mínimo.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.010000
/data/fees/loadingRate/maximum;maximum;Valor máximo.;Texto;8;Obrigatório;^\d{1}\.\d{1,6}$;;1;1;"";Não permitido;string;0.300000
