Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações dos pagamentos referentes às operações de direitos creditórios descontados  contratadas;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/paidInstalments;paidInstalments;Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada.;Número;3;Obrigatório;;;1;1;"";Permitido;number;73
/data/contractOutstandingBalance;contractOutstandingBalance;Valor necessario para o cliente liquidar a dívida.;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;number;100000.04
/data/releases;releases;Lista dos pagamentos realizados no período.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/paymentId;paymentId;Identificador de pagamento de responsabilidade de cada Instituição transmissora.;Texto;100;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;Parcela regular
/data/releases/isOverParcelPayment;isOverParcelPayment;Identifica se é um pagamento pactuado (false) ou avulso (true).;Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;true
/data/releases/instalmentId;instalmentId;Identificador de parcela, de responsabilidade de cada Instituição transmissora.;Texto;100;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;15
/data/releases/paidDate;paidDate;Data efetiva do pagamento referente ao contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21
/data/releases/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. ''BRL'''.
Todos os valores monetários informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/releases/paidAmount;paidAmount;"Valor do pagamento referente ao  contrato da modalidade de crédito consultada.
Expresso em valor monetário com até 4 casas decimais.";Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;number;100000.04
/data/releases/overParcel;overParcel;Objeto das tarifas e encargos que foram pagos fora da parcela.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/releases/overParcel/fees;fees;Lista das tarifas que foram pagas fora da parcela, só para pagamento avulso.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/overParcel/fees/feeName;feeName;Denominação da Tarifa pactuada;Texto;140;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Excesso em Conta
/data/releases/overParcel/fees/feeCode;feeCode;Sigla identificadora da tarifa pactuada;Texto;140;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;EXCESSO_CONTA
/data/releases/overParcel/fees/feeAmount;feeAmount;Valor monetário da tarifa pactuada no contrato. Preenchimento obrigatório quando a forma de cobrança for: Mínimo, Máximo ou Fixo;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.04
/data/releases/overParcel/charges;charges;Lista dos encargos que foram pagos fora da parcela.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/overParcel/charges/chargeType;chargeType;Tipo de encargo pago fora da parcela;Texto;31;Obrigatório;;"JUROS_REMUNERATORIOS_POR_ATRASO 
MULTA_ATRASO_PAGAMENTO 
JUROS_MORA_ATRASO 
IOF_CONTRATACAO 
IOF_POR_ATRASO 
SEM_ENCARGO 
OUTROS";1;1;"";Não permitido;string;JUROS_REMUNERATORIOS_POR_ATRASO
/data/releases/overParcel/charges/chargeAdditionalInfo;chargeAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo pago fora da parcela;Texto;140;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Informações adicionais
/data/releases/overParcel/charges/chargeAmount;chargeAmount;Valor do pagamento do encargo pago fora da parcela. Expresso em valor monetário com até 4 casas decimais.;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.04
