Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações referentes às parcelas / prestações da operação de crédito contratada;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/typeNumberOfInstalments;typeNumberOfInstalments;Tipo de prazo total do contrato referente à modalidade de crédito informada.;Texto;15;Obrigatório;;"DIA 
SEMANA 
MES 
ANO 
SEM_PRAZO_TOTAL";1;1;"";Não permitido;string;MES
/data/totalNumberOfInstalments;totalNumberOfInstalments;Prazo Total segundo o tipo (dia, semana, mês, ano) referente à Modalidade de Crédito informada.;Número;6;Obrigatório;;;1;1;"";Permitido;number;130632
/data/typeContractRemaining;typeContractRemaining;Tipo de prazo remanescente do contrato referente à modalidade de crédito informada.;Texto;22;Obrigatório;;"DIA 
SEMANA 
MES 
ANO 
SEM_PRAZO_REMANESCENTE";1;1;"";Não permitido;string;
/data/contractRemainingNumber;contractRemainingNumber;Prazo Remanescente segundo o tipo (dia, semana, mês, ano) referente à Modalidade de Crédito informada.;Número;6;Obrigatório;;;1;1;"";Permitido;number;14600
/data/paidInstalments;paidInstalments;Quantidade de prestações pagas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero);Número;3;Obrigatório;;;1;1;"";Permitido;number;73
/data/dueInstalments;dueInstalments;Quantidade de prestações a vencer.(No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero);Número;3;Obrigatório;;;1;1;"";Permitido;number;57
/data/pastDueInstalments;pastDueInstalments;Quantidade de prestações vencidas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero);Número;3;Obrigatório;;;1;1;"";Permitido;number;73
/data/balloonPayments;balloonPayments;Lista que traz as datas de vencimento e valor das parcelas não regulares do contrato da modalidade de crédito consultada;Lista;;Obrigatório;;;0;N;"";Permitido;array;
/data/balloonPayments/dueDate;dueDate;Data de vencimento da parcela não regular  a vencer do contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21
/data/balloonPayments/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL'
Todos os valores monetários informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/balloonPayments/amount;amount;Valor monetário da parcela não regular a vencer.  Expresso em valor monetário com 4 casas decimais.;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.04
