Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/contractNumber;contractNumber;Número do contrato dado pela instituição contratante.;Texto;100;Obrigatório;;;1;1;"";Não permitido;string;1324926521496
/data/ipocCode;ipocCode;"Número padronizado do contrato - IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por:
- **CNPJ da instituição:** 8 (oito) posições iniciais;
- **Modalidade da operação:** 4 (quatro) posições;
- **Tipo do cliente:** 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- **Código do cliente:** O número de posições varia conforme o tipo do cliente:
  1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
  2. Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
  3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- **Código do contrato:** 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.";Texto;67;Obrigatório;;;1;1;"";Não permitido;string;92792126019929279212650822221989319252576
/data/productName;productName;Denominação/Identificação do nome da Modalidade da Operação de Crédito divulgado ao cliente;Texto;140;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;AD
/data/productType;productType;"Tipo da modalidade de crédito contratada, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Enum)
Direitos creditórios descontados";Texto;32;Obrigatório;;DIREITOS_CREDITORIOS_DESCONTADOS;1;1;"";Não permitido;string;DIREITOS_CREDITORIOS_DESCONTADOS
/data/productSubType;productSubType;"Sub tipo da modalidades de crédito contratadas, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Enum)
Desconto de duplicatas, Desconto de cheques,  Antecipação da fatura do cartão de crédito, Outros direitos creditórios descontados, Outros títulos descontados";Texto;39;Obrigatório;;"DESCONTO_DUPLICATAS 
DESCONTO_CHEQUES 
ANTECIPACAO_FATURA_CARTAO_CREDITO 
OUTROS_DIREITOS_CREDITORIOS_DESCONTADOS 
OUTROS_TITULOS_DESCONTADOS";1;1;"";Não permitido;string;DESCONTO_CHEQUES
/data/contractDate;contractDate;Data de contratação da operação de crédito. Especificação RFC-3339;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2018-01-05
/data/disbursementDate;disbursementDate;Data do Desembolso do valor contratado. Especificação RFC-3339;Data;10;Opcional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;0;1;"";Não permitido;string;2018-01-15
/data/settlementDate;settlementDate;Data de liquidação da operação.;Data;10;Condicional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$|^NA$;;1;1;" Deve aceitar NA caso não seja retornado pela instituição.
";Não permitido;string;2018-01-15
/data/contractAmount;contractAmount;Valor contratado da operação. Expresso em valor monetário com até 4 casas decimais;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.04
