Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
GET /contracts/{contractId}/payments;;Método para obter os dados de pagamentos do contrato de empréstimo identificado por contractId mantido pelo cliente na instituição transmissora;;;;;;1;1;;;
data/;;Conjunto de informações referentes aos pagamentos realizados de uma operação de crédito de empréstimos.;Objeto;;Obrigatório; ;;1;1;Não há restrição;;Object
data/paidInstalments;paidInstalments;Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada;Número;3;Obrigatório;;;1;1;Não há restrição;;Number
data/contractOutstandingBalance;contractOutstandingBalance;"Saldo devedor Remanescente, divulgado nos canais eletrônicos, do contrato referente à Modalidade de Crédito informada.
Expresso em valor monetário com até 4 casas decimais.";Número;19;Obrigatório;;;1;1;Não há restrição;;Number
data/releases/;;Lista dos pagamentos realizados no período;Lista;;Obrigatório;;;1;N;Não há restrição;;Array
data/releases/paymentId;paymentId;Identificador de pagamento de responsabilidade de cada Instituição transmissora.;Texto;100;Obrigatório;;;1;1;Não há restrição;;String
data/releases/isOverParcelPayment;isOverParcelPayment;Identifica se é um pagamento pactuado ou avulso.;Booleano;;Obrigatório;;"true
false";1;1;Não há restrição;;Boolean
data/releases/instalmentId;instalmentId;Identificador de parcela, de responsabilidade de cada Instituição transmissora.;Texto;100;Obrigatório;;;1;1;Não há restrição;;String
data/releases/paidDate;paidDate;Data efetiva do pagamento referente ao contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19;Texto;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;Date
data/releases/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL'.
Todos os valores monetários informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;\W*{3};;1;1;Não há restrição;;String
data/releases/paidAmount;paidAmount;Valor do pagamento referente ao  contrato da modalidade de crédito consultada. Expresso em valor monetário com até 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;Não há restrição;;Number
data/releases/overParcel/;;Lista das tarifas que foram pagas fora da parcela só para pagamento avulso.;Objeto;;Obrigatório;;;1;N;Não há restrição;;Array
data/releases/overParcel/fees/;;;Lista;;;;;;;;;Array
data/releases/overParcel/fees/feeName;feeName;Denominação da Tarifa avulsa paga fora da parcela;Texto;250;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/releases/overParcel/fees/feeCode;feeCode;Sigla identificadora da tarifa avulsa fora da parcela;Texto;140;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/releases/overParcel/fees/feeAmount;feeAmount;Valor monetário da tarifa pactuada no contrato.;Número;19;Obrigatório;;;1;1;Preenchimento obrigatório quando a forma de cobrança for: Mínimo, Máximo ou Fixo;;Number
data/releases/overParcel/changes/;;Lista dos encargos que foram pagos fora da parcela;Lista;;Obrigatório;;;1;N;Não há restrição;;Array
data/releases/overParcel/changes/chargeType;chargeType;Tipo de encargo pago fora da parcela (Vide Enum) ;Texto;31;Obrigatório;;"JUROS_REMUNERATORIOS_POR_ATRASO
MULTA_ATRASO_PAGAMENTO
JUROS_MORA_ATRASO
IOF_CONTRATACAO
IOF_POR_ATRASO
OUTROS";1;1;Não há restrição;;Enum
data/releases/overParcel/changes/chargeAdditionalInfo;chargeAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo pago fora da parcela;Texto;140;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de Encargo;;String
data/releases/overParcel/changes/chargeAmount;chargeAmount;Valor do pagamento do encargo pago fora da parcela. Expresso em valor monetário com até 4 casas decimais.;Número;19;Obrigatório;;;1;1;Não há restrição;;Number
