Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Objeto contendo as informações de resposta do consentimento para a iniciação de pagamento individual.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/consentId;consentId;Identificador único do consentimento.;Texto;36;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;8d886d81-3a1f-48d2-bc15-a19f1f777867
/data/status;status;Status do Consentimento para iniciação de pagamento.;Texto;22;Obrigatório;;"AUTHORISED 
AWAITING_AUTHORISATION 
REJECTED 
REVOKED";1;1;"";Não permitido;string;AUTHORISED
/data/creditor;creditor;Objeto contendo os dados do recebedor (creditor).;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/creditor/personType;personType;Titular, pessoa natural ou juridica a quem se referem os dados de recebedor (creditor).;Texto;;Obrigatório;;"PESSOA_NATURAL 
PESSOA_JURIDICA";1;1;"";Não permitido;string;
/data/creditor/cpfCnpj;cpfCnpj;"Identificação da pessoa envolvida na transação. 
Preencher com o CPF ou CNPJ, de acordo com o valor escolhido no campo type.
O CPF será utilizado com 11 números e deverá ser informado sem pontos ou traços. 
O CNPJ será utilizado com 14 números e deverá ser informado sem pontos ou traços.";Texto;14;Obrigatório;^\d{11,14}$;;1;1;"";Não permitido;string;58764789000137
/data/creditor/name;name;Nome relacionado à Pessoa Natural ou Pessoa jurídica.;Texto;80;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Marco Antonio de Brito
/data/payment;payment;Objeto contendo os dados de pagamento para consentimento.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/payment/type;type;Tipos de pagamentos permitidos pelo Open Banking Brasil.;Texto;3;Obrigatório;;PIX;1;1;"";Não permitido;string;PIX
/data/payment/dateTime;dateTime;"Data e hora do consentimento. 
Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2021-01-01T00:00:00Z
/data/payment/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/payment/amount;amount;Valor da transação efetuada e convertida em moeda nacional com 2 casas decimais.;Número;19;Obrigatório;^((\d{1,16}\.\d{2}))$;;1;1;"";Não permitido;number;100000.12
/data/debtor;debtor;Objeto que contém os dados da conta que devem ser usados para a iniciação de pagamento.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/debtor/ispb;ispb;"Identificador do Sistema de Pagamentos Brasileiros.
Código que define instituições participantes do Sistema de Transferência de Reservas (STR).";Número;8;Obrigatório;^[0-9]{1,8}$;;1;1;"";Não permitido;number;12345678
/data/debtor/branchCode;branchCode;"Código da Agência detentora da conta.
Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, 
no exercício de atividades da instituição, não podendo ser móvel ou transitória.";Texto;4;Opcional;^(\w{4}){1}$;;0;1;" Obrigatório quando tipo de conta for CACC (CONTA_DEPOSITO_A_VISTA) ou SVGS (CONTA_POUPANCA).
";Não permitido;string;1774
/data/debtor/number;number;Número da conta.;Texto;20;Obrigatório;^\d{8,20}$;;1;1;"";Não permitido;string;1234567890
/data/debtor/checkDigit;checkDigit;Dígito da conta.;Texto;4;Obrigatório;^(\w{4}){1}$;;1;1;"";Não permitido;string;1234
/data/debtor/accountType;accountType;"Tipos de contas usadas para pagamento via PIX. Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas, conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica.
Segue descrição de cada valor do ENUM para o escopo do Open Banking Brasil.
CACC - Current (CONTA_DEPOSITO_A_VISTA)
SLRY - Salary (CONTA_SALARIO)
SVGS - Savings (CONTA_POUPANCA)
TRAN - TransactingAccount (CONTA_PAGAMENTO_PRE_PAGA)";Texto;4;Obrigatório;;"CACC 
SLRY 
SVGS 
TRAN";1;1;"";Não permitido;string;CACC
