Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/consentId;consentId;Identificador do consentimento.;Texto;100;Opcional;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;0;1;"";Não permitido;string;8d886d81-3a1f-48d2-bc15-a19f1f777867
/data/status;status;Status do Consentimento de Pagamento;Texto;;Opcional;;"APROVADO 
PENDENTE_APROVACAO";0;1;"";Não permitido;string;APROVADO
/data/creditor;creditor;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/creditor/type;type;Indica se a pessoa da parte envolvida é uma pessoa natural ou juridica;Texto;;Obrigatório;;"PESSOA_NATURAL 
PESSOA_JURIDICA";1;1;"";Não permitido;string;
/data/creditor/cpfCnpj;cpfCnpj;Identificação da pessoa envolvida na transação recebedor (Preencher com o CPF ou CNPJ, sem formatação);Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;12345678901234
/data/creditor/name;name;Nome relacionado à identificação, pode ser Pessoa Natural ou Pessoa jurídica.;Texto;80;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Marco Antonio de Brito
/data/payment;payment;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/payment/type;type;Conjunto de tipos de pagamentos.;Texto;;Obrigatório;;"PIX 
TED 
BOLETO";1;1;"";Não permitido;string;PIX
/data/payment/dateTime;dateTime;"Data e hora do consentimento. 
Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2021-01-01T00:00:00Z
/data/payment/currency;currency;"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/payment/amount;amount;Valor da transação efetuada e convertida em moeda nacional com 4 casas decimais.;Número;19;Obrigatório;^((\d{1,16}\.\d{2}))$;;1;1;"";Não permitido;number;100000.12
/data/debtor;debtor;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/debtor/account;account;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/debtor/account/ispb;ispb;"Identificador do Sistema de Pagamentos Brasileiros.
Código que define instituições participantes do Sistema de Transferência de Reservas (STR).";Número;8;Obrigatório;^[0-9]{1,8}$;;1;1;"";Não permitido;number;12345678
/data/debtor/account/branchCode;branchCode;"Código da Agência detentora da conta.
Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, 
no exercício de atividades da instituição, não podendo ser móvel ou transitória.";Texto;4;Opcional;^(\w{4}){1}$;;0;1;"";Não permitido;string;1234
/data/debtor/account/number;number;Número da conta.;Texto;20;Obrigatório;^\d{8,20}$;;1;1;"";Não permitido;string;1234567890
/data/debtor/account/checkDigit;checkDigit;Dígito da conta.;Texto;4;Obrigatório;^(\w{4}){1}$;;1;1;"";Não permitido;string;1234
/data/debtor/account/accountType;accountType;"Tipos de contas usadas para pagamento via PIX. Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas, conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica.
Segue descrição de cada valor do ENUM para o escopo do Open Banking Brasil.
CACC - Current (CONTA_DEPOSITO_A_VISTA)
SLRY - Salary (CONTA_SALARIO)
SVGS - Savings (CONTA_POUPANCA)
TRAN - TransactingAccount (CONTA_PAGAMENTO_PRE_PAGA)";Texto;19;Obrigatório;;"CURRENT 
SALARY 
SAVINGS 
TRANSACTING_ACCOUNT";1;1;"";Não permitido;string;CURRENT
