Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Objeto contendo dados do pagamento e da conta do recebedor (creditor).;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/paymentId;paymentId;"Código ou identificador único informado pela instituição que mantém a conta para representar  
a iniciação de pagamento individual.  
Esse identificador deve ser usado para consultar o status da iniciação de pagamento.";Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;TXpRMU9UQTROMWhZV2xSU1FUazJSMDl
/data/endToEndId;endToEndId;"Identificador fim a fim da transação. O termo E2E que identifica a transação de forma única dentro do arranjo.  
Esse identificador deve ser único, não podendo ser repetido em qualquer outra operação enviada ao SPI.";Texto;32;Opcional;^([E])([0-9]{8})([0-9]{4})(0[1-9]|1[0-2])(0[1-9]|[1-2][0-9]|3[0-1])(2[0-3]|[01][0-9])([0-5][0-9])([a-zA-Z0-9]{11})$;;0;1;" É obrigatório o retorno após o status ""ACCEPTED_SETTLEMENT_IN_PROCESS"".
";Não permitido;string;E9040088820210128000800123873170
/data/consentId;consentId;Identificador único do consentimento.;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-\:]{0,99}$;;1;1;"";Não permitido;string;urn:bancoex:C1DD33123
/data/creationDateTime;creationDateTime;"Data e hora em que o recurso foi criado.  
Uma string com data e hora conforme especificação RFC-3339,  
sempre com a utilização de timezone UTC(UTC time format).";Date Hora;;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$|^NA$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/statusUpdateDateTime;statusUpdateDateTime;"Data e hora da ultima atualização da iniciação de pagamento.  
Uma string com data e hora conforme especificação RFC-3339,  
sempre com a utilização de timezone UTC(UTC time format).";Date Hora;;Opcional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$|^NA$;;0;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/pixKey;pixKey;"Chave DICT do recebedor. Os tipos de chaves podem ser: telefone, e-mail, cpf/cnpj ou chave aleatória.  
O telefone celular usará o padrão E.1641.  
O E-mail deve ter o formato xxxxxxxx@xxxxxxx.xxx(.xx) e no máximo 77 caracteres.  
O CPF será utilizado com 11 números e deverá ser informado sem pontos ou traços.  
O CNPJ será utilizado com 14 números e deverá ser informado sem pontos ou traços.  
A chave aleatória deve ser UUID gerado pelo DICT, conforme formato especificado na RFC41223.";Texto;77;Opcional;\w*\W*;;0;1;" Obrigatório para pagamentos via Chave.
";Não permitido;string;12345678901
/data/qrCode;qrCode;"Sequência de caracteres que corresponde ao QR Code disponibilizado para o pagador.  
É a sequência de caracteres que seria lida pelo leitor de QR Code, e deve propiciar o retorno dos dados do pagador após consulta na DICT.  
Essa funcionalidade é possível tanto para QR Code estático quanto para QR Code dinâmico.  
No arranjo do Pix esta é a mesma sequência gerada e/ou lida pela funcionalidade Pix Copia e Cola.  
Este campo deverá ser no formato UTF-8.";Texto;512;Opcional;\w*\W*;;0;1;" Obrigatório se for um pagamento por QR Code.
";Não permitido;string;"00020104141234567890123426660014BR.GOV.BCB.PIX014466756C616E6F32303139406578616D706C652E636F6D27300012  
BR.COM.OUTRO011001234567895204000053039865406123.455802BR5915NOMEDORECEBEDOR6008BRASILIA61087007490062  
530515RP12345678-201950300017BR.GOV.BCB.BRCODE01051.0.080450014BR.GOV.BCB.PIX0123PADRAO.URL.PIX/0123AB  
CD81390012BR.COM.OUTRO01190123.ABCD.3456.WXYZ6304EB76
"
/data/status;status;"Estado atual da iniciação de pagamento. O estado evolui na seguinte ordem:  
1. PDNG (PENDING) - Iniciação de pagamento ou transação de pagamento está pendente. Checagens adicionais em realização.  
2. PART (PARTIALLY ACCEPTED) - Aguardando autorização múltipla alçada.  
3. ACSP (ACCEPTED_SETTLEMENT_IN_PROCESS) - Iniciação de pagamento aceita e processamento do pagamento foi iniciado.  
4. ACSC (ACCEPTED_SETTLEMENT_COMPLETED_DEBITOR_ACCOUNT) - Débito realizado na conta do pagador.  
5. ACCC (ACCEPTED_SETTLEMENT_COMPLETED) - Crédito realizado na instituição de destino.  
Em caso insucesso:  
RJCT (REJECTED) - Instrução de pagamento rejeitada.";Texto;45;Obrigatório;;"PDNG 
PART 
ACSP 
ACSC 
ACCC 
RJCT";1;1;"";Não permitido;string;PDNG
/data/rejectionReason;rejectionReason;"Motivo da rejeição do pagamento. Informações complementares sobre o motivo do status.  
AB03 (ABORTED_SETTLEMENT_TIMEOUT) - Liquidação da transação interrompida devido a timeout no SPI.                       
AB09 (ERROR_CREDITOR_AGENT) - Transação interrompida devido a erro no participante do usuário recebedor.  
AB11 (TIMEOUT_DEBTOR_AGENT) - Timeout do participante emissor da ordem de pagamento.  
AC03 (INVALID_CREDITOR_ACCOUNT_NUMBER) - Número da conta transacional do usuário recebedor inexistente ou inválido.  
AC06 (BLOCKED_ACCOUNT) - Conta transacional do usuário recebedor encontra-se bloqueada.  
AC07 (CLOSED_CREDITOR_ACCOUNT_NUMBER) - Número da conta transacional do usuário recebedor encerrada.  
AC14 (INVALID_CREDITOR_ACCOUNTTYPE) - Tipo incorreto para a conta transacional do usuário recebedor.    AG03 (TRANSACTION_NOT_SUPPORTED) - Tipo de transação não é suportado/autorizado na conta transacional do usuário recebedor. Exemplo: transferência para conta salário.  
AG12 (NOT_ALLOWED_BOOK_TRANSFER) - Não é permitida ordem de pagamento/devolução no SPI cujos recursos sejam transferidos de uma conta transacional para outra em uma mesma instituição participante ou entre participantes que utilizem o serviço de liquidação de um mesmo participante liquidante no SPI (booktransfer).  
AG13 (FORBIDDEN_RETURN_PAYMENT) - Não é permitido devolver a devolução de um pagamento instantâneo.  
AGNT (INCORRECT_AGENT) - Participante direto não é liquidante do participante do usuário pagador / participante do usuário recebedor.  
AM01 (ZERO_AMOUNT) - Ordem de pagamento instantâneo com valor zero.  
AM02 (NOT_ALLOWED_AMOUNT) - Ordem de pagamento/devolução em valor que faz superar o limite permitido para o tipo de conta transacional creditada.  
AM04 (INSUFFICIENT_FUNDS) - Saldo insuficiente na conta PI do participante do usuário pagador.  
AM09 (WRONG_AMOUNT) - Devolução de pagamento em valor que faz superar o valor da ordem de pagamento instantâneo correspondente.  
AM12 (INVALID_AMOUNT) - Divergência entre a somatória dos valores do bloco ‘valorDoDinheiroOuCompra’ e o campo ‘valor’.  
AM18 (INVALID_NUMBER_OF_TRANSACTIONS) - Quantidade de transações inválida.  
BE01 (INCONSISTENT_WITH_END_CUSTOMER) - CPF/CNPJ do usuário recebedor não é consistente com o titular da conta transacional especificada.  
BE15 (INVALID_IDENTIFICATION_CODE) - Código de situação de pagamento ou de erro inválido.  
BE17 (INVALID_CREDITOR_IDENTIFICATION_CODE) - QR Code rejeitado pelo participante do usuário recebedor.  
CH11 (CREDITOR_IDENTIFIER_INCORRECT) - CPF/CNPJ do usuário recebedor incorreto.  
CH16 (ELEMENT_CONTENT_FORMALLY_INCORRECT) - Elemento da mensagem incorreto.  
DS04 (ORDER_REJECTED) - Ordem rejeitada pelo participante do usuário recebedor.  
DS0G (NOT_ALLOWED_PAYMENT) - Participante que assinou a mensagem não é autorizado a realizar a operação na conta PI debitada. No caso em que o participante que assinou a mensagem não é o titular da conta PI debitada nem é o liquidante no SPI do participante do usuário pagador.  
DS0H (NOT_ALLOWED_ACCOUNT) - ISPB do participante que submeteu a resposta à ordem de pagamento/devolução diferente do ISPB do participante creditado pela ordem.  
DS27 (USER_NOT_YET_ACTIVATED) - Participante não se encontra cadastrado ou ainda não iniciou a operação no SPI.  
DT02 (INVALID_CREATION_DATE) - Data e Hora do envio da mensagem inválida.  
DT05 (INVALID_CUT_OFF_DATE) - Transação extrapola o prazo máximo para devolução de pagamento instantâneo regulamentado pelo Arranjo Pix.  
ED05 (SETTLEMENT_FAILED) - Erro no processamento do pagamento instantâneo.  
FF07 (INVALID_PURPOSE) - Inconsistência entre a finalidade da transação e o preenchimento do bloco elementos Structured.  
FF08 (INVALID_END_TO_END_ID) - Identificador da operação mal formatado.  
RC09 (INVALID_DEBTOR_CLEARING_SYSTEM_MEMBER_IDENTIFIER) - ISPB do participante do usuário pagador inválido ou inexistente.  
RC10 (INVALID_CREDITOR_CLEARING_SYSTEM_MEMBER_IDENTIFIER) - ISPB do participante do usuário recebedor inválido ou inexistente.  
RR4  (REGULATORY_REASON) - Ordem de pagamento em que o usuário pagador é sancionado por resolução do Conselho de Segurança das Nações Unidas (CSNU). Nos casos em que o usuário recebedor for o sancionado, a ordem de pagamento não deve ser rejeitada.  
SL02 (SPECIFIC_SERVICE_OFFERED_BY_CREDITOR_AGENT) - A transação original não está relacionada ao serviço de Saque Pix.";Texto;4;Opcional;;"AB03 
AB09 
AB11 
AC03 
AC06 
AC07 
AC14 
AG03 
AG12 
AG13 
AGNT 
AM01 
AM02 
AM04 
AM09 
AM12 
AM18 
BE01 
BE15 
BE17 
CH11 
CH16 
DS04 
DS0G 
DS0H 
DS27 
DT02 
DT05 
ED05 
FF07 
FF08 
RC09 
RC10 
RR4 
SL02";0;1;" Esse motivo deverá ser enviado quando o campo /data/status for igual a RJCT (REJECTED).  
";Não permitido;string;DS27
/data/payment;payment;Objeto contendo dados do pagameto como moeda e valor.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/payment/amount;amount;Valor da transação com 2 casas decimais.;Número;19;Obrigatório;^((\d{1,16}\.\d{2}))$;;1;1;"";Não permitido;number;100000.12
/data/payment/currency;currency;"Código da moeda nacional segundo modelo ISO-4217, ou seja, 'BRL'.  
Todos os valores monetários informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/payment/debtorAccount;debtorAccount;Objeto que contém a identificação de uma conta.;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/payment/debtorAccount/ispb;ispb;Deve ser preenchido com o ISPB (Identificador do Sistema de Pagamentos Brasileiros) do participante do SPI somente com números.;Texto;8;Obrigatório;^[0-9]{1,8}$;;1;1;"";Não permitido;string;12345678
/data/payment/debtorAccount/branchCode;branchCode;"Código da Agência detentora da conta sem digito.  
(Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito,  
no exercício de atividades da instituição, não podendo ser móvel ou transitória).";Texto;4;Opcional;^\d{4}$;;0;1;" Obrigatório quando tipo de conta for CACC (CONTA_DEPOSITO_A_VISTA) ou SVGS (CONTA_POUPANCA).
";Não permitido;string;1774
/data/payment/debtorAccount/number;number;Número da conta da iniciação de pagamento, sem o dígito.;Texto;20;Obrigatório;^\d{8,20}$;;1;1;"";Não permitido;string;1234567890
/data/payment/debtorAccount/checkDigit;checkDigit;Dígito da conta da iniciação de pagamento.;Texto;1;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;4
/data/payment/debtorAccount/accountType;accountType;"Tipos de contas usadas para pagamento via Pix.  
Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas,  
conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica.  
Segue descrição de cada valor do ENUM para o escopo do Pix.  
CACC - Current - Conta Corrente.  
SLRY - Salary - Conta-Salário.  
SVGS - Savings - Conta de Poupança.  
TRAN - TransactingAccount - Conta de Pagamento";Texto;4;Obrigatório;;"CACC 
SLRY 
SVGS 
TRAN";1;1;"";Não permitido;string;CACC
/data/payment/creditor;creditor;Objeto contendo os dados do recebedor (creditor).;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/payment/creditor/personType;personType;Titular, pessoa natural ou juridica a quem se referem os dados de recebedor (creditor).;Texto;15;Obrigatório;;"PESSOA_NATURAL 
PESSOA_JURIDICA";1;1;"";Não permitido;string;
/data/payment/creditor/cpfCnpj;cpfCnpj;"Identificação da pessoa envolvida na transação.  
Preencher com o CPF ou CNPJ, de acordo com o valor escolhido no campo type.  
O CPF será utilizado com 11 números e deverá ser informado sem pontos ou traços.  
O CNPJ será utilizado com 14 números e deverá ser informado sem pontos ou traços.";Texto;14;Obrigatório;^\d{11,14}$;;1;1;"";Não permitido;string;58764789000137
/data/payment/creditor/name;name;"Em caso de pessoa física, nome completo do titular da conta do recebedor.  
Em caso de pessoa jurídica, razão social da conta do recebedor.";Texto;140;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Marco Antonio de Brito
/data/additionalInfo;additionalInfo;Descrição do pagamento, em formato livre, feito pelo pagador.;Texto;140;Opcional;\w*\W*;;0;1;"";Não permitido;string;Descrição da Transação
/data/creditorAccount;creditorAccount;Objeto que contém a identificação de uma conta.;Objeto;;Opcional;;;0;1;"";Não permitido;object;
/data/creditorAccount/ispb;ispb;Deve ser preenchido com o ISPB (Identificador do Sistema de Pagamentos Brasileiros) do participante do SPI somente com números.;Texto;8;Obrigatório;^[0-9]{1,8}$;;1;1;"";Não permitido;string;12345678
/data/creditorAccount/branchCode;branchCode;"Código da Agência detentora da conta sem digito.  
(Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito,  
no exercício de atividades da instituição, não podendo ser móvel ou transitória).";Texto;4;Opcional;^\d{4}$;;0;1;" Obrigatório quando tipo de conta for CACC (CONTA_DEPOSITO_A_VISTA) ou SVGS (CONTA_POUPANCA).
";Não permitido;string;1774
/data/creditorAccount/number;number;Número da conta da iniciação de pagamento, sem o dígito.;Texto;20;Obrigatório;^\d{8,20}$;;1;1;"";Não permitido;string;1234567890
/data/creditorAccount/checkDigit;checkDigit;Dígito da conta da iniciação de pagamento.;Texto;1;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;4
/data/creditorAccount/accountType;accountType;"Tipos de contas usadas para pagamento via Pix.  
Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas,  
conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica.  
Segue descrição de cada valor do ENUM para o escopo do Pix.  
CACC - Current - Conta Corrente.  
SLRY - Salary - Conta-Salário.  
SVGS - Savings - Conta de Poupança.  
TRAN - TransactingAccount - Conta de Pagamento";Texto;4;Obrigatório;;"CACC 
SLRY 
SVGS 
TRAN";1;1;"";Não permitido;string;CACC
