Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/paymentId;paymentId;Código ou identificador único informado pela instituição que mantém a conta para representar o pagamento individual.;Texto;36;Obrigatório;^[{]?[0-9a-fA-F]{8}-([0-9a-fA-F]{4}-){3}[0-9a-fA-F]{12}[}]?$;;1;1;"";Não permitido;string;8f800dc8-bc8a-4c0e-b5e6-3c6801cfe135
/data/endToEndId;endToEndId;"Id fim a fim da transação. O termo E2E que identifica a transação no arranjo.
Esse Id deve ser único, não podendo ser repetido em qualquer outra operação enviada ao SPI.";Texto;36;Opcional;^[{]?[0-9a-fA-F]{8}-([0-9a-fA-F]{4}-){3}[0-9a-fA-F]{12}[}]?$;;0;1;" É obrigatório o retorno após o status ""ACCEPTED_SETTLEMENT_IN_PROCESS"".
";Não permitido;string;a9ae654d-e531-4a8b-a926-952d664de203
/data/consentId;consentId;Identificador único do consentimento.;Texto;36;Obrigatório;^[{]?[0-9a-fA-F]{8}-([0-9a-fA-F]{4}-){3}[0-9a-fA-F]{12}[}]?$;;1;1;"";Não permitido;string;3a782761-9573-4e1f-b4d1-4c798955c0b8
/data/creationDateTime;creationDateTime;"Data e hora em que o recurso foi criado. 
Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).";Date Hora;;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$|^NA$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/updatedDateTime;updatedDateTime;"Data e hora da ultima atualização da iniciação de pagamento. 
Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).";Date Hora;;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$|^NA$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/pixKey;pixKey;"Chave DICT do recebedor. Os tipos de chave podem ser: telefone, e-mail, cpf/cnpj ou Chave Aleatória. 
O telefone celular usará o padrão E.1641. O E-mail deve ter o formato xxxxxxxx@xxxxxxx.xxx(.xx) e nomáximo 77 caracteres. 
O CPF será utilizado com 11 números e deverá ser informado sem pontos ou traços. 
O CNPJ será utilizado com 14 números e deverá ser informado sem pontos ou traços. 
A chave aleatória deve ser UUID gerado pelo DICT, conforme formato especificado na RFC41223.";Texto;77;Opcional;\w*\W*;;0;1;" Obrigatório para pagamentos via Chave
";Não permitido;string;12345678901
/data/status;status;"Estado atual da iniciação de pagamento criada. 
Elemento que fornece informações sobre o status, caso o status não seja positivo.
ACCEPTED_SETTLEMENT_COMPLETED - Notificação do SPI da conclusão da transação ao participante do usuário recebedor.
ACCEPTED_SETTLEMENT_COMPLETED_DEBITOR_ACCOUNT - Notificação do SPI da conclusão da transação ao participante do usuário pagador. 
ACCEPTED_SETTLEMENT_IN_PROCESS - Prosseguimento de instrução de pagamento após as validação realizadas pelo participante do usuário recebedor.
REJECTED - Instrução de pagamento rejeitada pelo SPI / participante do usuário recebedor por erro de negócio.";Texto;45;Obrigatório;;"ACCEPTED_SETTLEMENT_COMPLETED 
ACCEPTED_SETTLEMENT_COMPLETED_DEBITOR_ACCOUNT 
ACCEPTED_SETTLEMENT_IN_PROCESS 
REJECTED";1;1;"";Não permitido;string;ACCEPTED_SETTLEMENT_COMPLETED_DEBITOR_ACCOUNT
/data/rejectionReason;rejectionReason;Motivo da rejeição do pagamento. Informações complementares sobre o motivo do status.;Texto;50;Opcional;;"ABORTED_SETTLEMENT_TIMEOUT 
ERROR_CREDITOR_AGENT 
TIMEOUT_DEBTOR_AGENT 
INVALID_CREDITOR_ACCOUNT_NUMBER 
BLOCKED_ACCOUNT 
CLOSED_CREDITOR_ACCOUNT_NUMBER 
INVALID_CREDITOR_ACCOUNTTYPE 
TRANSACTION_NOT_SUPPORTED 
NOT_ALLOWED_BOOK_TRANSFER 
FORBIDDEN_RETURN_PAYMENT 
INCORRECT_AGENT 
ZERO_AMOUNT 
NOT_ALLOWED_AMOUNT 
INSUFFICIENT_FUNDS 
WRONG_AMOUNT 
INVALID_AMOUNT 
INVALID_NUMBER_OF_TRANSACTIONS 
INCONSISTENT_WITH_END_CUSTOMER 
INVALID_IDENTIFICATION_CODE 
INVALID_CREDITOR_IDENTIFICATION_CODE 
CREDITOR_IDENTIFIER_INCORRECT 
ELEMENT_CONTENT_FORMALLY_INCORRECT 
ORDER_REJECTED 
NOT_ALLOWED_PAYMENT 
NOT_ALLOWED_ACCOUNT 
USER_NOT_YET_ACTIVATED 
INVALID_CREATION_DATE 
INVALID_CUT_OFF_DATE 
SETTLEMENT_FAILED 
INVALID_PURPOSE 
INVALID_END_TO_END_ID 
INVALID_DEBTOR_CLEARING_SYSTEM_MEMBER_IDENTIFIER 
INVALID_CREDITOR_CLEARING_SYSTEM_MEMBER_IDENTIFIER 
REGULATORY_REASON 
SPECIFIC_SERVICE_OFFERED_BY_CREDITOR_AGENT";0;1;" Deve ser enviado quando o status é ""REJEITADO"".
";Não permitido;string;WRONG_AMOUNT
/data/payment;payment;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
