Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/paymentId;paymentId;Código ou identificador único informado pela instituição que mantém a conta para representar o pagamento individual.;Texto;36;Obrigatório;^[{]?[0-9a-fA-F]{8}-([0-9a-fA-F]{4}-){3}[0-9a-fA-F]{12}[}]?$;;1;1;"";Não permitido;string;8f800dc8-bc8a-4c0e-b5e6-3c6801cfe135
/data/endToEndId;endToEndId;"Id fim a fim da transação. O termo E2E que identifica a transação no arranjo.
Esse Id deve ser único, não podendo ser repetido em qualquer outra operação enviada ao SPI.";Texto;36;Opcional;^[{]?[0-9a-fA-F]{8}-([0-9a-fA-F]{4}-){3}[0-9a-fA-F]{12}[}]?$;;0;1;" É obrigatório o retorno após o status ""ACCEPTED_SETTLEMENT_IN_PROCESS"".
";Não permitido;string;a9ae654d-e531-4a8b-a926-952d664de203
/data/consentId;consentId;Identificador único do consentimento.;Texto;36;Obrigatório;^[{]?[0-9a-fA-F]{8}-([0-9a-fA-F]{4}-){3}[0-9a-fA-F]{12}[}]?$;;1;1;"";Não permitido;string;3a782761-9573-4e1f-b4d1-4c798955c0b8
/data/creationDateTime;creationDateTime;"Data e hora em que o recurso foi criado. 
Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).";Date Hora;;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$|^NA$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/updatedDateTime;updatedDateTime;"Data e hora da ultima atualização da iniciação de pagamento. 
Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).";Date Hora;;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$|^NA$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/pixKey;pixKey;"Chave DICT do recebedor. Os tipos de chave podem ser: telefone, e-mail, cpf/cnpj ou Chave Aleatória. 
O telefone celular usará o padrão E.1641. O E-mail deve ter o formato xxxxxxxx@xxxxxxx.xxx(.xx) e nomáximo 77 caracteres. 
O CPF será utilizado com 11 números e deverá ser informado sem pontos ou traços. 
O CNPJ será utilizado com 14 números e deverá ser informado sem pontos ou traços. 
A chave aleatória deve ser UUID gerado pelo DICT, conforme formato especificado na RFC41223.";Texto;77;Opcional;\w*\W*;;0;1;" Obrigatório para pagamentos via Chave
";Não permitido;string;12345678901
/data/status;status;Estado atual da iniciação de pagamento criada.;Texto;38;Obrigatório;;"PENDENTE 
AGUARDANDO_AUTORIZACAO_MULTIPLA_ALCADA 
REJEITADO 
ACEITA_EM_PROCESSAMENTO 
FINALIZADO";1;1;"";Não permitido;string;FINALIZADO
/data/rejectionReason;rejectionReason;Motivo da rejeição do pagamento.;Texto;38;Opcional;;"FUNDOS_INSUFICIENTES 
BENEFICARIO_DIFERENTE_DO_CONSENTIMENTO 
VALOR_DIFERENTE_DO_CONSENTIMENTO 
VALOR_ACIMA_DO_LIMITE 
VALOR_INVALIDO 
CONTA_INVALIDA 
CONSENTIMENTO_INVALIDO 
JANELA_DE_OPERACAO 
DESCONHECIDO";0;1;" Deve ser enviado quando o status é ""REJEITADO"".
";Não permitido;string;FUNDOS_INSUFICIENTES
/data/payment;payment;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
