Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo  Dado
Jason"
data/<brand>/;;Objeto que define a Organização controladora do grupo de instituições financeiras;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/;;Companies traz uma lista de todas as instituições da Marca;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelo Cadastro. p. ex. 'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/;;Conjunto de informações Cadastrais do Cliente Pessoa natural;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/identification/;;Conjunto de informações relativas a Identificação ou seja a ação e o efeito de identificar de forma única a pessoa natural através de seus dados cadastrais;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/identification/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data e hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/updateDateTime;updateDateTime;"Data e hora da atualização do bloco de Identificação, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data e hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/documents/;;Objeto agrupador de informações relativas a Documentos da pessoa natural;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/identification/documents/cpfNumber;cpfNumber;Número completo do CPF. O CPF é o Cadastro de Pessoa natural. Ele é um documento feito pela Receita Federal e serve para identificar os contribuintes. O CPF é uma numeração com 11 dígitos, que só mudam por decisão judicial. O documento é emitido pela receita federal;Texto;11;Obrigatório;\d{11}|^NA$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/documents/passportNumber;passportNumber;Número do Passaporte. Documento concedido aos viajantes por uma autoridade administrativa nacional a fim de certificar sua identidade perante autoridades estrangeiras. De preenchimento obrigatório. Aplicável somente à Pessoa natural residente no exterior desobrigada de inscrição no CPF;Texto;20;Condicional;\w*\W*;;0;1;"Aplicável somente
 as Pessoas Físicas residentes no exterior desobrigadas de inscrição no CPF";;Texto
data/<brand>/companies/personalCustomers/identification/documents/passportCountry;passportCountry;Pais de emissão do passaporte. Código do pais de acordo com o código “alpha3” do ISO-3166.p.ex.'CAN';Texto;3;Condicional;;código “alpha3” da ISO-3166;0;1;"Aplicável somente
 as Pessoas Físicas residentes no exterior desobrigadas de inscrição no CPF";;Texto
data/<brand>/companies/personalCustomers/identification/documents/passportExpirationDate;passportExpirationDate;"Data vigência do Passaporte, conforme especificação
RFC-3339. p.ex. ""2014-03-19""";Data;10;Condicional;"^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$
";;0;1;"Aplicável somente
 as Pessoas Físicas residentes no exterior desobrigadas de inscrição no CPF";;Texto
data/<brand>/companies/personalCustomers/identification/otherDocuments/;;Relação dos demais documentos ;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/personalCustomers/identification/otherDocuments/type;type;"Relação dos tipos dos demais documentos pessoa 
natural. Vide Enum";Enum;;;;"CNH
RG
NIF
RNE
OUTROS";0;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/identification/otherDocuments/typeAdditionalInfo;typeAdditionalInfo;"Campo livre de preenchimento obrigatório se selecionada
 a opção OUTROS tipos de documentos";Texto;70;Condicional;\w*\W*;;0;1;"Preenchimento obrigatório se selecionada
 a opção OUTROS tipos de documentos";;Texto
data/<brand>/companies/personalCustomers/identification/otherDocuments/number;number;Identificação/Número do documento informado;Texto;11;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/otherDocuments/checkDigit;checkDigit;Dígito verificador do documento informado. De preenchimento obrigatório se o documento informado tiver dígito verificador;Texto;2;Condicional;\w*\W*;;0;1;"De preenchimento
obrigatório se o documento informado tiver dígito verificador";;Texto
data/<brand>/companies/personalCustomers/identification/otherDocuments/additionalInfo;additionalInfo;"Campo livre, de preenchimento obrigatório quando o documento informado tiver informações complementares. p.ex. RG, este campo deve trazer: ""SSP-SP' para RGs emitidos no estado de São Paulo - SP";Texto;50;Condicional;\w*\W*;;0;1;Preenchimento obrigatório quando o documento informado tiver informações complementares;;Texto
data/<brand>/companies/personalCustomers/identification/otherDocuments/expirationDate;expirationDate;"Data de validade do documento informado, conforme especificação RFC-3339. p.ex. ""2014-03-19"" ";Data;10;Condicional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;0;1;Preenchimento obrigatório quando o documento informado tiver data de validade;;Texto
data/<brand>/companies/personalCustomers/identification/nationality/;;Objeto que agrupa informações relativas à nacionalidade da Pessoa Natural;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/identification/nationality/hasBrazilianNationality;hasBrazilianNationality;"Informa se o Cliente tem nacionalidade brasileira. Vide
Enum";Booleano;;Obrigatório;;"true
false";1;1;Não há restrição;;Booleano
data/<brand>/companies/personalCustomers/identification/nationality/otherNationality/;;;Objeto;;Condicional;;;0;1;Preenchimento obrigatório apenas quando o cliente não tiver nacionalidade brasileira (hasBrazilianNationality=false);;Objeto
data/<brand>/companies/personalCustomers/identification/nationality/otherNationality/additionalInfo;additionalInfo;"Campo de preenchimento obrigatório caso o cliente não
possua nacionalidade brasileira. Preencher utilizando o código de pais de acordo com o código “alpha3” do ISO-3166.p.ex.'CAN' ";Texto;3;Condicional;"código de pais de 
acordo com o código “alpha3” do ISO-3166";;0;1;" Preenchimento obrigatório caso o cliente não
possua nacionalidade brasileira";;Texto
data/<brand>/companies/personalCustomers/identification/nationality/otherNationality/complementaryDocuments/;;Lista que traz relação de documentos complementares de pessoas com nacionalidade diferente de brasileira;Lista;;Obrigatório;;;1;N;;;Lista
data/<brand>/companies/personalCustomers/identification/nationality/otherNationality/complementaryDocuments/type;type;Tipo de documento. Campo livre, de preenchimento obrigatório quando a nacionalidade for diferente de brasileira. Informar tipo e número do documento, além da, vigência e demais informações complementares para se identificar o documento de pessoa estrangeira;Texto;10;Condicional;\w*\W*;;0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/nationality/otherNationality/complementaryDocuments/number;number;Número de identificação do documento. Campo livre, de preenchimento obrigatório quando a nacionalidade for diferente de brasileira. Informar o número do documento e demais informações complementares para se identificar o documento de pessoa estrangeira;Texto;40;Condicional;\w*\W*;;0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/nationality/otherNationality/complementaryDocuments/expirationDate;expirationDate;"Data de validade do documento informado, conforme especificação RFC-3339. p.ex. ""2014-03-19"" ";Data;10;Condicional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;0;1;Preenchimento obrigatório quando o documento informado tiver data de validade;;Texto
data/<brand>/companies/personalCustomers/identification/civilName;civilName;Nome civil completo da pessoa natural (Direito fundamental da pessoa, o nome civil é aquele atribuído à pessoa natural desde o registro de seu nascimento, com o qual será identificada por toda a sua vida, bem como após a sua morte);Texto;70;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/socialName;socialName;Nome social da pessoa natural, se houver. (aquele pelo qual travestis e transexuais se reconhecem, bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Nº 51.180, de 14 de janeiro de 2010);Texto;70;Condicional;\w*\W*;;0;1;"De preenchimento obrigatório, 
se houver";;Texto
data/<brand>/companies/personalCustomers/identification/filiation/;;"Lista que traz as informações relativas à Filiação da pessoa
natural";Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/personalCustomers/identification/filiation/type;type;Tipo de filiação. Vide Enum;Enum;;Obrigatório;;"PAI
MAE
OUTRA";1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/identification/filiation/additionalInfo;additionalInfo;"Campo livre de preenchimento obrigatório para complementar a informação relativa
a filiação, quando selecionada a natureza da filiação igual OUTRA";Texto;70;Condicional;\w*\W*;;0;1;"Preenchimento obrigatório para complementar a informação relativa
a filiação, quando selecionada a natureza da filiação igual OUTRA";;Texto
data/<brand>/companies/personalCustomers/identification/filiation/civilName;civilName;"Nome civil completo da pessoa relativa à filiação. (Direito 
fundamental da pessoa, o nome civil é aquele atribuído à pessoa natural desde o registro de seu nascimento, com o qual será identificada por toda a sua vida, bem como após a sua morte)";Texto;70;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/filiation/socialName;socialName;Nome social da pessoa natural, se houver. (aquele pelo qual travestis e transexuais se reconhecem, bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Nº 51.180, de 14 de janeiro de 2010);Texto;70;Condicional;\w*\W*;;0;1;"De preenchimento obrigatório, 
se houver";;Texto
data/<brand>/companies/personalCustomers/identification/birthDate;birthDate;"Data de nascimento, conforme especificação
RFC-3339. p.ex. 2014-03-19";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/maritalStatusCode;maritalStatusCode;Estado civil do cliente. Vide Enum;Enum;;Obrigatório;;"SOLTEIRO
CASADO
VIUVO
SEPARADO_JUDICIALMENTE
DIVORCIADO
UNIAO_ESTAVEL
OUTROS";1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/identification/maritalStatusAdditionalInfo;maritalStatusAdditionalInfo;Campo livre para complementar a informação relativa ao estado civil, quando selecionada a opção OUTRO;Texto;50;Condicional;\w*\W*;;0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/gender;gender;Informar sexo, segundo enum;Enum;;Obrigatório;;"FEMININO
MASCULINO
OUTRO";1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/identification/contacts/;;"Conjunnto de informações referentes às formas para 
contatar o cliente";Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/;;Lista de endereços  da pessoa natural                                                                                                                                                                          ;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/isMain;isMain;Indica se o  endereço informado é o principal;Booleano;;Obrigatório;;"true
false";1;1;Só deve ser preenchido true para uma ocorrência de Principal;;Booleano
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/address;address;"Deverá trazer toda a informação referente ao endereço:
Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') , como, p.ex.:
'R Diamantina, 59'
'Praça da Boa Vontade s/n'";Texto;150;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/additionalInfo;additionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';Texto;30;Opcional;\w*\W*;;0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. p.ex.: 'Paraíso';Texto;50;Opcional;\w*\W*;;0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/townName;townName;"Localidade: O nome da localidade corresponde à designação da cidade ou município no qual o endereço está localizado. p.ex. 'São Paulo'
";Texto;50;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/ibgeTownCode;ibgeTownCode;Código IBGE de Município. A Tabela de Códigos de Municípios do IBGE apresenta a lista dos municípios brasileiros associados a um código composto de 7 dígitos, sendo os dois primeiros referentes ao código da Unidade da Federação. p.ex.'3550308';Texto;7;Opcional;\d{7}$;;0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. p.ex. 'AC'. São consideradas apenas as siglas para os estados brasileiros;Enum;;Obrigatório;;"AC; AL; AM; AP; BA; CE; DF; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RN; RO; RR; RS; SC; SE; SP; TO, NA";1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/postCode;postCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. p.ex. '01311000';Texto;8;Obrigatório;\d{8}|^NA$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/country;country;Nome do país. p.ex. Brasil;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/countryCode;countryCode;Código do pais de acordo com o código “alpha3” do ISO-3166.p.ex.'BRA';Texto;3;Obrigatório;;"Código do pais de acordo com 
o código “alpha3” do ISO-3166";1;1;"Preencher com o código “alpha3”
do ISO-3166";;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/geographicCoordinates/;;Conjunto de informações, que correspondem aos valores das coordenadas geográficas em graus decimais, no Sistema de referência WGS84;Objeto;;Opcional;;;0;1;Não há restrição;;Objeto
