Xpath;Nome;Definição;Natureza;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado
Json"
data/<brand>/;;Objeto que define a Organização controladora do grupo de instituições financeiras;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/;;Companies traz uma lista de todas as instituições da Marca;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelo Cadastro. p. ex. 'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
data/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/;;Conjunto de informações Cadastrais do Cliente Pessoa natural;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/qualification/;;Conjunto de informações relativas ao processo de qualificação. Considera-se qualificação as informações que permitam as instituições apreciar, avaliar, caracterizar e classificar o cliente com a finalidade de conhecer o seu perfil de risco e sua capacidade econômico-financeira ;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/qualification/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/qualification/updateDateTime;updateDateTime;Data e hora da atualização do bloco de Qualificação, conforme especificação RFC-3339;Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/qualification/informedIncome/;;Conjunto de informações referentes à renda total informada;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/qualification/informedIncome/frequency;frequency;Traz a frequência ou período da renda informada.  Vide enum ;Enum;;Obrigatório;;"DIARIA
SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL";1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/qualification/informedIncome/amount;amount;"Valor total da renda informada. Expresso em valor monetário com 2 casas decimais.                                                                          ""Renda primária indica os montantes a pagar ou a receber em troca do uso temporário de recursos financeiros, trabalho ou ativos não financeiros não produzidos, a saber, remuneração de trabalhadores, renda de investimentos e demais rendas primárias. Fazem parte da primeira a remuneração do trabalho assalariado (salários e ordenados); da segunda, renda de investimento direto, renda de investimento em carteira, renda de outros investimentos e renda de ativos de reserva; e da terceira, tributos sobre a produção e importação, subsídios e aluguéis"". Fonte: Banco Central do Brasil – Departamento Econômico""";Número;12;Obrigatório;;;1;1;Não há restrição;aceita null;Número
data/<brand>/companies/personalCustomers/qualification/informedIncome/currency;currency;Moeda referente ao valor da renda, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Condicional;;moeda (ISO-4217);0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/qualification/informedIncome/date;date;"Data da renda, conforme especificação RFC-3339. 
p.ex. 2014-03-19";Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/qualification/informedPatrimony/;;Conjunto de informações referentes ao patrimônio  informado;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/<brand>/companies/personalCustomers/qualification/informedPatrimony/amount;amount;"Valor do patrimônio informado.  Expresso em valor monetário com 2 casas decimais.
""Patrimônio é o conjunto de bens vinculado a uma pessoa ou a uma entidade"".";Número;12;Obrigatório;;;1;1;Não há restrição;aceita null;Número
data/<brand>/companies/personalCustomers/qualification/informedPatrimony/currency;currency;"Moeda referente ao valor do patrimônio, segundo modelo 
ISO-4217. p.ex.'BRL' ";Texto;3;Condicional;;moeda (ISO-4217);0;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/qualification/informedPatrimony/year;year;"Ano de referência do Patrimônio, conforme especificação
RFC-3339. p.ex. 2014";Número;4;Condicional;;especificação RFC-3339;0;1;De preenchimento obrigatório se houver patrimônio informado;;Número
data/<brand>/companies/personalCustomers/qualification/occupationCode;occupationCode;Traz a relação dos códigos relativos à ocupação (vide Enum);Enum;;Obrigatório;;"RECEITA_FEDERAL
CBO
OUTRO";1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/qualification/occupationDescription;occupationDescription;Campo livre, de preenchimento obrigatório. Traz o código da ocupação ou o descritivo da ocupação, se selecionada a opção 'OUTRO';Texto;100;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
;;;;;;;;;;;;
;;;;;;;;;;;;
