Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/;;Companies traz uma lista de todas as instituições da Marca;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela modalidade de Financiamentos para Pessoa Natural. p.ex.'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara
";Texto;14;Obrigatório;\d{14}|^NA$;Números de 0 a 9;1;1;NA
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL de link para lista complementar com os nomes e CNPJs agrupados para o caso instituições ofertantes de produtos e serviços com as mesmas características. URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. 
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking'

";Texto;1024;Condicional;\w*\W*;;0;1;Será obrigatoriamente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada
openBankingBrazil/<brand>/companies/personalLoans/;;Lista de modalidades de empréstimos;Lista;;;;;1;6;
openBankingBrazil/<brand>/companies/personalLoans/type;type;"Modalidades de empréstimos ofertados para pessoa Natural, conforme Circular 4015-Bacen. Segundo cartilha do Bacen: Empréstimo é um contrato entre o cliente e uma instituição financeira (banco, cooperativa de crédito, caixa econômica) pelo qual o cliente recebe uma quantia em dinheiro que deverá ser devolvida em prazo determinado, acrescida dos juros acertados. Os recursos obtidos no empréstimo não tem destinação específica. 
Empréstimo-Crédito pessoal consignado -  operações de crédito com retenção de parcela do salário ou benefício do tomador, para o pagamento das prestações do empréstimo – desconto em folha de pagamento – nos termos da legislação em vigor
Empréstimo-Home equity - empréstimos pessoa natural, garantidos por hipoteca ou por alienação fiduciária de bens imóveis residenciais, sem vinculação a aquisição de bens
Empréstimo-Microcrédito Produtivo Orientado - segundo PNMPO é o crédito concedido para financiamento das atividades produtivas, cuja metodologia será estabelecida em regulamento, observada a preferência do relacionamento direto com os empreendedores, admitido o uso de tecnologias digitais e eletrônicas que possam substituir o contato presencial
Empréstimo-Crédito pessoal não consignado -  operações de empréstimos às pessoa natural, sem vinculação com aquisição de bem ou serviço e sem retenção de parcela do salário ou benefício do tomador para o pagamento das prestações do empréstimo
Empréstimo-Cheque especial - operações de crédito vinculadas à conta corrente, nas quais determinado limite de crédito é disponibilizado aos clientes para utilização de acordo com suas conveniências, sem necessidade de comunicação prévia à instituição financeira
Empréstimo-Conta garantida - operações de crédito rotativo, nas quais determinado limite de crédito é disponibilizado para utilização pelo cliente, através da simples movimentação da conta corrente e/ou solicitação formal à instituição financeira. As operações classificadas nessa modalidade não devem ter data definida para a amortização do saldo devedor, exceto a estabelecida para vigência do contrato



";Texto;;Obrigatório;;"EMPRESTIMO_CREDITO_PESSOAL_SEM_CONSIGNACAO
EMPRESTIMO_CREDITO_PESSOAL_CONSIGNADO
EMPRESTIMO_HOME_EQUITY
EMPRESTIMO_MICROCREDITO_PRODUTIVO_ORIENTADO
EMPRESTIMO_CHEQUE_ESPECIAL
EMPRESTIMO_CONTA_GARANTIDA



";1;1;NA
openBankingBrazil/<brand>/companies/personalLoans/fees/;;Objeto que reúne informações de tarifas de serviços;Objeto;;;;;;;
openBankingBrazil/<brand>/companies/personalLoans/fees/services/;;Lista das Tarifas cobradas sobre Serviços;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/personalLoans/fees/services/name;name;Nomes das Tarifas cobradas sobre Serviços ofertados à Modalidade de Empréstimo, para pessoa natural. (Campo Livre). p.ex. 'Cheque  Especial';Texto;250;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/personalLoans/fees/services/code;code;Sigla de identificação do serviço relacionado à Modalidade de Empréstimo informada, para pessoa natural.(Campo Livre). p ex. 'ChequeEspecial';Texto;100;Obrigatório;\w*\W*;;1;1;NA
